entity,coupled,cochanges
CONTRIBUTORS,WHATSNEW,7
CONTRIBUTORS,contributors.xml,11
WHATSNEW,contributors.xml,7
WHATSNEW,lib/libraries.properties,3
build.xml,manual/install.html,3
build.xml,manual/tasklist.html,3
build.xml,release/ivy.xml,3
build.xml,src/etc/poms/ant-antlr/pom.xml,4
build.xml,src/etc/poms/ant-apache-bcel/pom.xml,4
build.xml,src/etc/poms/ant-apache-bsf/pom.xml,4
build.xml,src/etc/poms/ant-apache-log4j/pom.xml,4
build.xml,src/etc/poms/ant-apache-oro/pom.xml,4
build.xml,src/etc/poms/ant-apache-regexp/pom.xml,4
build.xml,src/etc/poms/ant-apache-resolver/pom.xml,4
build.xml,src/etc/poms/ant-apache-xalan2/pom.xml,4
build.xml,src/etc/poms/ant-commons-logging/pom.xml,4
build.xml,src/etc/poms/ant-commons-net/pom.xml,4
build.xml,src/etc/poms/ant-imageio/pom.xml,3
build.xml,src/etc/poms/ant-jai/pom.xml,5
build.xml,src/etc/poms/ant-javamail/pom.xml,4
build.xml,src/etc/poms/ant-jdepend/pom.xml,4
build.xml,src/etc/poms/ant-jmf/pom.xml,4
build.xml,src/etc/poms/ant-jsch/pom.xml,4
build.xml,src/etc/poms/ant-junit/pom.xml,4
build.xml,src/etc/poms/ant-junit4/pom.xml,4
build.xml,src/etc/poms/ant-launcher/pom.xml,4
build.xml,src/etc/poms/ant-netrexx/pom.xml,4
build.xml,src/etc/poms/ant-swing/pom.xml,4
build.xml,src/etc/poms/ant-testutil/pom.xml,4
build.xml,src/etc/poms/ant/pom.xml,5
build.xml,src/etc/poms/pom.xml,4
build.xml,src/main/org/apache/tools/ant/taskdefs/defaults.properties,3
contributors.xml,manual/Tasks/junitlauncher.html,3
fetch.xml,lib/libraries.properties,5
manual/Integration/jext-plugin.html,manual/Tasks/antversion.html,3
manual/Integration/jext-plugin.html,manual/Tasks/changelog.html,3
manual/Integration/jext-plugin.html,manual/Tasks/conditions.html,3
manual/Integration/jext-plugin.html,manual/Tasks/copy.html,3
manual/Integration/jext-plugin.html,manual/Tasks/cvstagdiff.html,3
manual/Integration/jext-plugin.html,manual/Tasks/ejb.html,3
manual/Integration/jext-plugin.html,manual/Tasks/get.html,3
manual/Integration/jext-plugin.html,manual/Tasks/jar.html,3
manual/Integration/jext-plugin.html,manual/Tasks/jarlib-manifest.html,3
manual/Integration/jext-plugin.html,manual/Tasks/jarlib-resolve.html,3
manual/Integration/jext-plugin.html,manual/Tasks/javac.html,3
manual/Integration/jext-plugin.html,manual/Tasks/javah.html,3
manual/Integration/jext-plugin.html,manual/Tasks/jdepend.html,3
