entity,n-revs,bugs,added,removed
.gitignore,3,0,3,0
CONTRIBUTING.md,2,0,4,4
CONTRIBUTORS,16,0,58,28
INSTALL,1,0,1,1
LICENSE,3,0,4,4
NOTICE,2,0,2,2
README,1,0,4,4
ReleaseInstructions,6,0,120,39
STATUS,1,0,2,2
WHATSNEW,37,0,183,10
ant.properties.sample,1,0,1,1
bootstrap.bat,4,0,16,6
bootstrap.sh,2,0,18,3
build.bat,1,0,1,1
build.sh,1,0,1,1
build.xml,23,0,174,107
check.xml,8,0,82,26
contributors.xml,14,0,258,99
docs.xml,4,0,4,4
fetch.xml,6,0,27,9
get-m2.xml,1,0,1,1
launch-build.xml,1,0,1,1
lib/libraries.properties,10,0,15,10
manual/Integration/jext-plugin.html,3,0,6,6
manual/LICENSE,2,0,2,2
manual/Tasks/BorlandEJBTasks.html,2,0,3,3
manual/Tasks/BorlandGenerateClient.html,2,0,3,3
manual/Tasks/ant.html,2,0,3,3
manual/Tasks/antcall.html,2,0,3,3
manual/Tasks/antlr.html,2,0,3,3
manual/Tasks/antstructure.html,2,0,3,3
manual/Tasks/antversion.html,3,0,4,4
manual/Tasks/apply.html,2,0,3,3
manual/Tasks/attrib.html,2,0,3,3
manual/Tasks/augment.html,2,0,3,3
manual/Tasks/available.html,3,0,5,3
manual/Tasks/basename.html,2,0,3,3
manual/Tasks/bindtargets.html,2,0,3,3
manual/Tasks/buildnumber.html,2,0,3,3
manual/Tasks/cab.html,2,0,3,3
manual/Tasks/ccm.html,2,0,3,3
manual/Tasks/changelog.html,3,0,4,4
manual/Tasks/checksum.html,2,0,3,3
manual/Tasks/chgrp.html,2,0,3,3
manual/Tasks/chmod.html,2,0,3,3
manual/Tasks/chown.html,2,0,3,3
manual/Tasks/clearcase.html,2,0,3,3
manual/Tasks/common.html,2,0,3,3
manual/Tasks/componentdef.html,2,0,3,3
manual/Tasks/concat.html,2,0,3,3
manual/Tasks/condition.html,2,0,3,3
manual/Tasks/conditions.html,8,0,17,15
manual/Tasks/copy.html,3,0,5,5
manual/Tasks/copydir.html,2,0,3,3
manual/Tasks/copyfile.html,2,0,3,3
manual/Tasks/cvs.html,2,0,3,3
manual/Tasks/cvspass.html,2,0,3,3
manual/Tasks/cvstagdiff.html,3,0,4,4
manual/Tasks/cvsversion.html,2,0,3,3
manual/Tasks/defaultexcludes.html,2,0,3,3
manual/Tasks/delete.html,2,0,3,3
manual/Tasks/deltree.html,2,0,3,3
manual/Tasks/depend.html,2,0,3,3
manual/Tasks/dependset.html,2,0,3,3
manual/Tasks/diagnostics.html,2,0,3,3
manual/Tasks/dirname.html,2,0,3,3
manual/Tasks/ear.html,2,0,3,3
manual/Tasks/echo.html,2,0,3,3
manual/Tasks/echoproperties.html,2,0,3,3
manual/Tasks/echoxml.html,2,0,3,3
manual/Tasks/ejb.html,5,0,8,12
manual/Tasks/exec.html,2,0,3,3
manual/Tasks/fail.html,2,0,3,3
manual/Tasks/filter.html,2,0,3,3
manual/Tasks/fixcrlf.html,2,0,3,3
manual/Tasks/ftp.html,6,0,19,6
manual/Tasks/genkey.html,3,0,9,3
manual/Tasks/get.html,3,0,11,11
manual/Tasks/gunzip.html,2,0,3,3
manual/Tasks/gzip.html,2,0,3,3
manual/Tasks/hostinfo.html,2,0,3,3
manual/Tasks/image.graphml,2,0,502,1
manual/Tasks/image.html,3,0,359,19
manual/Tasks/imageio.graphml,2,0,499,1
manual/Tasks/imageio.html,4,0,704,6
manual/Tasks/import.html,2,0,3,3
manual/Tasks/include.html,2,0,3,3
manual/Tasks/input.html,2,0,3,3
manual/Tasks/jar.html,3,0,5,5
manual/Tasks/jarlib-available.html,2,0,3,3
manual/Tasks/jarlib-display.html,2,0,3,3
manual/Tasks/jarlib-manifest.html,3,0,5,5
manual/Tasks/jarlib-resolve.html,3,0,5,5
manual/Tasks/java.html,2,0,3,3
manual/Tasks/javac.html,3,0,5,5
manual/Tasks/javacc.html,2,0,3,3
manual/Tasks/javadoc.html,5,0,75,20
manual/Tasks/javah.html,3,0,4,4
manual/Tasks/jdepend.html,3,0,4,4
manual/Tasks/jjdoc.html,2,0,4,4
manual/Tasks/jjtree.html,2,0,4,4
manual/Tasks/jlink.html,3,0,9,3
manual/Tasks/jmod.html,5,0,337,5
manual/Tasks/jspc.html,2,0,3,3
manual/Tasks/junit.html,2,0,3,2
manual/Tasks/junitlauncher.html,9,0,229,56
manual/Tasks/junitreport.html,2,0,3,2
manual/Tasks/length.html,3,0,5,7
manual/Tasks/link.html,6,0,588,8
manual/Tasks/loadfile.html,2,0,3,2
manual/Tasks/loadproperties.html,3,0,5,4
manual/Tasks/loadresource.html,3,0,4,3
manual/Tasks/local.html,2,0,3,3
manual/Tasks/macrodef.html,2,0,3,3
manual/Tasks/mail.html,2,0,3,3
manual/Tasks/makeurl.html,2,0,3,3
manual/Tasks/manifest.html,2,0,3,3
manual/Tasks/manifestclasspath.html,2,0,3,3
manual/Tasks/mimemail.html,4,0,12,9
manual/Tasks/mkdir.html,2,0,3,3
manual/Tasks/move.html,2,0,3,3
manual/Tasks/native2ascii.html,3,0,4,3
manual/Tasks/netrexxc.html,2,0,3,3
