entity,coupled,cochanges
.travis.yml,pom.xml,7
README,pom.xml,5
README,site/_docs/history.md,4
README,site/_docs/howto.md,5
babel/pom.xml,cassandra/pom.xml,8
babel/pom.xml,core/pom.xml,9
babel/pom.xml,druid/pom.xml,8
babel/pom.xml,elasticsearch/pom.xml,8
babel/pom.xml,example/csv/pom.xml,8
babel/pom.xml,example/function/pom.xml,8
babel/pom.xml,example/pom.xml,8
babel/pom.xml,file/pom.xml,8
babel/pom.xml,geode/pom.xml,8
babel/pom.xml,kafka/pom.xml,4
babel/pom.xml,linq4j/pom.xml,8
babel/pom.xml,mongodb/pom.xml,8
babel/pom.xml,pig/pom.xml,8
babel/pom.xml,piglet/pom.xml,8
babel/pom.xml,plus/pom.xml,8
babel/pom.xml,pom.xml,9
babel/pom.xml,server/pom.xml,9
babel/pom.xml,spark/pom.xml,8
babel/pom.xml,splunk/pom.xml,8
babel/pom.xml,ubenchmark/pom.xml,8
babel/src/main/codegen/config.fmpp,babel/src/main/codegen/includes/parserImpls.ftl,4
babel/src/main/codegen/config.fmpp,babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,4
babel/src/main/codegen/config.fmpp,core/src/main/codegen/config.fmpp,11
babel/src/main/codegen/config.fmpp,core/src/main/codegen/templates/Parser.jj,13
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,7
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/runtime/CalciteResource.java,6
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,7
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/sql/SqlKind.java,3
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/sql/fun/SqlStdOperatorTable.java,7
babel/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,7
babel/src/main/codegen/config.fmpp,core/src/main/resources/org/apache/calcite/runtime/CalciteResource.properties,6
babel/src/main/codegen/config.fmpp,core/src/test/codegen/config.fmpp,12
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/rel/rel2sql/RelToSqlConverterTest.java,6
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/sql/parser/SqlParserTest.java,8
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/sql/test/SqlOperatorBaseTest.java,6
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/JdbcTest.java,5
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/SqlJsonFunctionsTest.java,6
babel/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/SqlValidatorTest.java,7
babel/src/main/codegen/config.fmpp,server/src/main/codegen/config.fmpp,12
babel/src/main/codegen/config.fmpp,site/_docs/reference.md,8
babel/src/main/codegen/includes/parserImpls.ftl,babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,3
babel/src/main/codegen/includes/parserImpls.ftl,core/src/main/codegen/config.fmpp,3
babel/src/main/codegen/includes/parserImpls.ftl,core/src/main/codegen/templates/Parser.jj,4
babel/src/main/codegen/includes/parserImpls.ftl,core/src/test/codegen/config.fmpp,3
babel/src/main/codegen/includes/parserImpls.ftl,server/src/main/codegen/config.fmpp,3
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,core/src/main/codegen/config.fmpp,3
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,core/src/main/codegen/templates/Parser.jj,5
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,core/src/test/codegen/config.fmpp,3
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,core/src/test/java/org/apache/calcite/sql/parser/SqlParserTest.java,3
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,server/src/main/codegen/config.fmpp,3
cassandra/pom.xml,core/pom.xml,8
cassandra/pom.xml,druid/pom.xml,8
cassandra/pom.xml,elasticsearch/pom.xml,8
cassandra/pom.xml,example/csv/pom.xml,8
cassandra/pom.xml,example/function/pom.xml,8
cassandra/pom.xml,example/pom.xml,8
cassandra/pom.xml,file/pom.xml,8
cassandra/pom.xml,geode/pom.xml,8
cassandra/pom.xml,kafka/pom.xml,4
cassandra/pom.xml,linq4j/pom.xml,8
cassandra/pom.xml,mongodb/pom.xml,8
cassandra/pom.xml,pig/pom.xml,8
cassandra/pom.xml,piglet/pom.xml,8
cassandra/pom.xml,plus/pom.xml,8
cassandra/pom.xml,pom.xml,9
cassandra/pom.xml,server/pom.xml,8
cassandra/pom.xml,spark/pom.xml,8
cassandra/pom.xml,splunk/pom.xml,8
cassandra/pom.xml,ubenchmark/pom.xml,8
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,core/src/test/java/org/apache/calcite/test/CalciteAssert.java,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,core/src/test/java/org/apache/calcite/test/JdbcTest.java,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,druid/src/test/java/org/apache/calcite/test/DruidAdapter2IT.java,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,druid/src/test/java/org/apache/calcite/test/DruidAdapterIT.java,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,example/csv/src/test/java/org/apache/calcite/test/CsvTest.java,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,pom.xml,3
core/pom.xml,druid/pom.xml,9
core/pom.xml,elasticsearch/pom.xml,8
core/pom.xml,example/csv/pom.xml,8
core/pom.xml,example/function/pom.xml,8
core/pom.xml,example/pom.xml,8
core/pom.xml,file/pom.xml,8
core/pom.xml,geode/pom.xml,8
core/pom.xml,kafka/pom.xml,4
core/pom.xml,linq4j/pom.xml,8
core/pom.xml,mongodb/pom.xml,8
core/pom.xml,pig/pom.xml,8
core/pom.xml,piglet/pom.xml,9
core/pom.xml,plus/pom.xml,8
core/pom.xml,pom.xml,16
core/pom.xml,server/pom.xml,11
core/pom.xml,spark/pom.xml,8
core/pom.xml,splunk/pom.xml,8
core/pom.xml,ubenchmark/pom.xml,8
core/src/main/codegen/config.fmpp,core/src/main/codegen/templates/Parser.jj,14
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,7
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/runtime/CalciteResource.java,7
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,7
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/sql/SqlKind.java,4
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/sql/fun/SqlStdOperatorTable.java,8
core/src/main/codegen/config.fmpp,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,7
core/src/main/codegen/config.fmpp,core/src/main/resources/org/apache/calcite/runtime/CalciteResource.properties,7
core/src/main/codegen/config.fmpp,core/src/test/codegen/config.fmpp,11
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/rel/rel2sql/RelToSqlConverterTest.java,6
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/sql/parser/SqlParserTest.java,10
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/sql/test/SqlOperatorBaseTest.java,7
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/JdbcTest.java,6
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/SqlJsonFunctionsTest.java,6
core/src/main/codegen/config.fmpp,core/src/test/java/org/apache/calcite/test/SqlValidatorTest.java,10
core/src/main/codegen/config.fmpp,server/src/main/codegen/config.fmpp,11
core/src/main/codegen/config.fmpp,site/_docs/reference.md,11
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,15
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/rel/core/AggregateCall.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/rel/rules/AggregateReduceFunctionsRule.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/runtime/CalciteResource.java,12
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,12
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlDataTypeSpec.java,4
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlJsonQueryEmptyOrErrorBehavior.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlJsonValueEmptyOrErrorBehavior.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlKind.java,8
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlRowTypeNameSpec.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/SqlTypeNameSpec.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonApiCommonSyntaxOperator.java,5
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonArrayAggAggFunction.java,5
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonArrayFunction.java,4
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonDepthFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonExistsFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonKeysFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonLengthFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonObjectAggAggFunction.java,4
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonObjectFunction.java,4
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonPrettyFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonQueryFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonTypeFunction.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonValueExpressionOperator.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlJsonValueFunction.java,4
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlLibraryOperators.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/fun/SqlStdOperatorTable.java,15
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql/type/ReturnTypes.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/sql2rel/StandardConvertletTable.java,7
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/tools/RelBuilder.java,3
core/src/main/codegen/templates/Parser.jj,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,13
core/src/main/codegen/templates/Parser.jj,core/src/main/resources/org/apache/calcite/runtime/CalciteResource.properties,11
core/src/main/codegen/templates/Parser.jj,core/src/test/codegen/config.fmpp,12
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/rel/rel2sql/RelToSqlConverterTest.java,9
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/sql/parser/SqlParserTest.java,25
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/sql/test/SqlAdvisorTest.java,6
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/sql/test/SqlOperatorBaseTest.java,14
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/test/JdbcTest.java,7
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/test/SqlJsonFunctionsTest.java,9
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/test/SqlToRelConverterTest.java,7
core/src/main/codegen/templates/Parser.jj,core/src/test/java/org/apache/calcite/test/SqlValidatorTest.java,21
core/src/main/codegen/templates/Parser.jj,core/src/test/resources/org/apache/calcite/test/SqlToRelConverterTest.xml,8
core/src/main/codegen/templates/Parser.jj,core/src/test/resources/sql/agg.iq,5
core/src/main/codegen/templates/Parser.jj,pom.xml,4
core/src/main/codegen/templates/Parser.jj,server/src/main/codegen/config.fmpp,12
core/src/main/codegen/templates/Parser.jj,site/_docs/reference.md,21
core/src/main/java/org/apache/calcite/DataContext.java,core/src/main/java/org/apache/calcite/jdbc/CalciteConnectionImpl.java,3
core/src/main/java/org/apache/calcite/DataContext.java,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/rel/rules/AbstractMaterializedViewRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/rel/rules/AggregateExpandDistinctAggregatesRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/rel/rules/AggregateFilterTransposeRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/rel/rules/AggregateProjectMergeRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/rel/rules/AggregateStarTableRule.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/test/java/org/apache/calcite/plan/volcano/TraitPropagationTest.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/test/java/org/apache/calcite/sql/test/SqlOperatorBaseTest.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,core/src/test/java/org/apache/calcite/test/JdbcTest.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,core/src/main/java/org/apache/calcite/rel/core/JoinRelType.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,core/src/test/java/org/apache/calcite/test/enumerable/EnumerableCorrelateTest.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,linq4j/src/main/java/org/apache/calcite/linq4j/EnumerableDefaults.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,linq4j/src/test/java/org/apache/calcite/linq4j/test/JoinPreserveOrderTest.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,5
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,core/src/test/java/org/apache/calcite/runtime/EnumerablesTest.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,linq4j/src/main/java/org/apache/calcite/linq4j/EnumerableDefaults.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,linq4j/src/test/java/org/apache/calcite/linq4j/test/JoinPreserveOrderTest.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpretable.java,core/src/main/java/org/apache/calcite/config/CalciteSystemProperty.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMatch.java,core/src/main/java/org/apache/calcite/rel/core/Match.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMatch.java,core/src/test/resources/sql/match.iq,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoin.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoinRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/core/Correlate.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/logical/LogicalCorrelate.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdCollation.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdColumnUniqueness.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdDistinctRowCount.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdSize.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdUniqueKeys.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/metadata/RelMdUtil.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,core/src/main/java/org/apache/calcite/rel/rules/JoinToCorrelateRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,site/_docs/history.md,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,core/src/main/java/org/apache/calcite/rel/core/JoinRelType.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,core/src/main/java/org/apache/calcite/util/BuiltInMethod.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,linq4j/src/main/java/org/apache/calcite/linq4j/EnumerableDefaults.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,linq4j/src/test/java/org/apache/calcite/linq4j/test/JoinPreserveOrderTest.java,4
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRelImplementor.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindow.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRelImplementor.java,core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableSpool.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableSpoolRule.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,core/src/main/java/org/apache/calcite/rel/core/RelFactories.java,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,core/src/main/java/org/apache/calcite/rel/core/RepeatUnion.java,3
