entity,n-revs,bugs,added,removed
.gitignore,2,0,4,0
.mvn/wrapper/maven-wrapper.properties,4,0,31,0
.travis.yml,12,0,23,16
NOTICE,1,0,1,1
README,5,0,5,5
README.md,3,0,4,2
appveyor.yml,3,0,87,2
babel/pom.xml,9,0,34,53
babel/src/main/codegen/config.fmpp,13,0,875,73
babel/src/main/codegen/includes/parserImpls.ftl,4,0,76,1
babel/src/test/java/org/apache/calcite/test/BabelParserTest.java,7,0,224,10
babel/src/test/java/org/apache/calcite/test/BabelTest.java,1,0,40,5
cassandra/pom.xml,10,0,37,18
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraFilter.java,1,0,4,4
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraProject.java,1,0,1,1
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraRel.java,1,0,3,3
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraRules.java,1,0,1,1
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraSchema.java,2,0,40,9
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraSchemaFactory.java,2,0,14,2
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraSort.java,1,0,1,1
cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraToEnumerableConverter.java,2,0,3,3
cassandra/src/test/java/org/apache/calcite/test/CassandraAdapterTest.java,10,0,113,53
cassandra/src/test/resources/cassandra.yaml,2,0,603,1
cassandra/src/test/resources/logback-test.xml,2,0,33,1
cassandra/src/test/resources/model.json,1,0,1,0
cassandra/src/test/resources/twissandra.cql,2,0,664,1
core/custom-schema-model.json,2,0,15,15
core/pom.xml,19,1,137,64
core/src/main/codegen/config.fmpp,14,0,327,9
core/src/main/codegen/templates/Parser.jj,39,0,1726,967
core/src/main/java/org/apache/calcite/DataContext.java,3,0,23,1
core/src/main/java/org/apache/calcite/Demo.java,1,0,1,1
core/src/main/java/org/apache/calcite/adapter/Java9Workaround.java,1,0,6,7
core/src/main/java/org/apache/calcite/adapter/enumerable/AggImpState.java,1,0,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/AggregateLambdaFactory.java,1,0,48,0
core/src/main/java/org/apache/calcite/adapter/enumerable/BasicAggregateLambdaFactory.java,2,0,91,3
core/src/main/java/org/apache/calcite/adapter/enumerable/BasicLazyAccumulator.java,1,0,45,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java,6,1,92,25
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregate.java,7,0,178,67
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableAggregateRule.java,2,0,1,2
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableBatchNestedLoopJoin.java,2,0,255,37
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableBatchNestedLoopJoinRule.java,1,0,142,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCalc.java,2,0,8,2
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCollect.java,1,0,15,3
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelate.java,6,1,48,24
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCorrelateRule.java,1,0,1,6
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java,7,1,176,150
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableInterpretable.java,3,0,47,13
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java,4,1,73,62
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableLimitRule.java,1,0,2,10
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMatch.java,3,0,466,36
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMatchRule.java,1,0,44,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoin.java,2,1,22,30
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMergeJoinRule.java,4,1,22,26
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableNestedLoopJoin.java,7,1,47,91
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRel.java,1,0,8,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRelImplementor.java,6,0,43,21
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnion.java,3,0,107,18
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRepeatUnionRule.java,2,0,57,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRules.java,8,1,55,15
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoin.java,6,1,112,245
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoinRule.java,4,1,23,75
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableFunctionScan.java,1,0,2,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java,1,0,1,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScan.java,2,0,1,14
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableSpool.java,3,0,127,12
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableSpoolRule.java,3,0,59,6
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableValues.java,1,0,2,2
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableWindow.java,5,0,20,19
core/src/main/java/org/apache/calcite/adapter/enumerable/LazyAggregateLambdaFactory.java,2,0,129,16
core/src/main/java/org/apache/calcite/adapter/enumerable/NestedBlockBuilderImpl.java,1,0,3,3
core/src/main/java/org/apache/calcite/adapter/enumerable/NullPolicy.java,1,0,2,0
core/src/main/java/org/apache/calcite/adapter/enumerable/PhysType.java,2,0,15,4
core/src/main/java/org/apache/calcite/adapter/enumerable/PhysTypeImpl.java,2,0,21,5
core/src/main/java/org/apache/calcite/adapter/enumerable/ReflectiveCallNotNullImplementor.java,1,0,19,2
core/src/main/java/org/apache/calcite/adapter/enumerable/RexImpTable.java,40,0,510,132
core/src/main/java/org/apache/calcite/adapter/enumerable/RexToLixTranslator.java,7,0,131,87
core/src/main/java/org/apache/calcite/adapter/enumerable/SourceSorter.java,2,0,72,5
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcCatalogSchema.java,1,0,147,0
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java,6,1,156,23
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcSchema.java,2,0,98,26
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcTable.java,1,0,17,14
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcTableScan.java,1,0,3,3
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcToEnumerableConverter.java,5,0,61,28
core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcToEnumerableConverterRule.java,1,0,1,1
core/src/main/java/org/apache/calcite/avatica/AvaticaConnection.java,1,0,1,1
core/src/main/java/org/apache/calcite/avatica/DriverVersion.java,1,0,6,6
core/src/main/java/org/apache/calcite/avatica/proto/Common.java,1,0,775,219
core/src/main/java/org/apache/calcite/avatica/proto/Requests.java,1,0,1106,313
core/src/main/java/org/apache/calcite/avatica/proto/Responses.java,1,0,846,232
core/src/main/java/org/apache/calcite/avatica/remote/AvaticaCommonsHttpClientImpl.java,1,0,6,0
core/src/main/java/org/apache/calcite/avatica/util/DateTimeUtils.java,1,0,1,1
core/src/main/java/org/apache/calcite/config/CalciteConnectionConfig.java,3,0,6,0
core/src/main/java/org/apache/calcite/config/CalciteConnectionConfigImpl.java,4,0,24,33
core/src/main/java/org/apache/calcite/config/CalciteConnectionProperty.java,4,0,19,5
