entity,coupled,cochanges
README.adoc,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueBuilder.java,3
benchmarks/pom.xml,chronicle-sandbox/pom.xml,3
benchmarks/pom.xml,chronicle-test/pom.xml,3
benchmarks/pom.xml,load-harness/pom.xml,78
benchmarks/pom.xml,pom.xml,78
benchmarks/src/main/java/net/openhft/chronicle/queue/benchmark/LatencyDistributionMain.java,benchmarks/src/main/java/net/openhft/chronicle/queue/benchmark/Main.java,3
chronicle-sandbox/pom.xml,chronicle-test/pom.xml,3
chronicle-sandbox/pom.xml,load-harness/pom.xml,3
chronicle-sandbox/pom.xml,pom.xml,3
chronicle-test/pom.xml,load-harness/pom.xml,3
chronicle-test/pom.xml,pom.xml,3
load-harness/pom.xml,pom.xml,79
src/main/java/net/openhft/chronicle/queue/ChronicleQueue.java,src/main/java/net/openhft/chronicle/queue/ExcerptTailer.java,3
src/main/java/net/openhft/chronicle/queue/ChronicleQueue.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,3
src/main/java/net/openhft/chronicle/queue/ExcerptTailer.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,4
src/main/java/net/openhft/chronicle/queue/RollCycles.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueBuilder.java,3
src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueue.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueBuilder.java,3
src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueue.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,5
src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueBuilder.java,src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,3
src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,src/test/java/net/openhft/chronicle/queue/ChronicleQueueIndexTest.java,3
src/main/java/net/openhft/chronicle/queue/impl/single/SingleChronicleQueueExcerpts.java,src/test/java/net/openhft/chronicle/queue/PeekDocumentTest.java,3
src/main/java/net/openhft/chronicle/queue/reader/ChronicleReader.java,src/main/java/net/openhft/chronicle/queue/reader/ChronicleReaderPlugin.java,3
src/test/java/net/openhft/chronicle/queue/impl/single/RollCycleMultiThreadStressPretouchTest.java,src/test/java/net/openhft/chronicle/queue/impl/single/RollCycleMultiThreadStressSharedWriterQueueTest.java,3
src/test/java/net/openhft/chronicle/queue/impl/single/RollCycleMultiThreadStressReadOnlyTest.java,src/test/java/net/openhft/chronicle/queue/impl/single/RollCycleMultiThreadStressTest.java,3
src/test/java/net/openhft/chronicle/queue/watcher/QueueFileManager.java,src/test/java/net/openhft/chronicle/queue/watcher/QueueFileManagerMBean.java,3
