entity,n-revs,bugs,added,removed
.github/ISSUE_TEMPLATE/bug.md,12,0,39,32
.github/ISSUE_TEMPLATE/content_not_playing.md,14,0,53,133
.github/ISSUE_TEMPLATE/feature_request.md,8,0,16,18
.github/ISSUE_TEMPLATE/question.md,12,0,74,19
.gitignore,5,0,5,8
.hgignore,6,0,8,10
404.html,1,0,3,0
CNAME,15,0,9,8
Gemfile,1,0,6,2
LICENSE,1,0,8,6
Project Default.xml,2,0,5,5
README.md,5,0,5,17
RELEASENOTES.md,493,2,4553,3519
_config.yml,4,0,94,4
_data/locale.yml,1,0,111,0
_data/navigation.yml,5,0,68,1
_data/variables.yml,2,0,66,2
_includes/.DS_Store,1,0,0,0
_includes/analytics-providers/custom.html,1,0,3,0
_includes/analytics-providers/google.html,1,0,14,0
_includes/analytics.html,1,0,7,8
_includes/article-footer.html,1,0,55,0
_includes/article-header.html,1,0,49,0
_includes/article-info.html,1,0,96,0
_includes/article-list.html,1,0,144,0
_includes/article-section-navigator.html,1,0,54,0
_includes/article/footer/author-profile.html,1,0,47,0
_includes/article/footer/custom.html,1,0,3,0
_includes/article/footer/license.html,1,0,14,0
_includes/article/footer/subscribe.html,1,0,6,0
_includes/article/top/custom.html,1,0,3,0
_includes/aside/toc.html,1,0,1,0
_includes/author-links.html,1,0,120,0
_includes/comments-providers/custom.html,1,0,3,0
_includes/comments-providers/disqus.html,1,0,22,0
_includes/comments-providers/gitalk.html,1,0,39,0
_includes/comments-providers/valine.html,1,0,33,0
_includes/comments.html,1,0,11,0
_includes/extensions/bilibili.html,1,0,5,0
_includes/extensions/codepen.html,1,0,4,0
_includes/extensions/netease-cloud-music.html,1,0,4,0
_includes/extensions/slideshare.html,1,0,6,0
_includes/extensions/soundcloud.html,1,0,4,0
_includes/extensions/ted.html,1,0,5,0
_includes/extensions/youtube.html,1,0,4,0
_includes/figure.html,1,0,3,1
_includes/footer.html,1,0,37,0
_includes/head.html,1,0,24,0
_includes/head/custom.html,1,0,7,0
_includes/head/favicon.html,1,0,26,0
_includes/header.html,1,0,46,0
_includes/info-box.html,1,0,0,4
_includes/known-issue-box.html,1,0,2,4
_includes/main/bottom/custom.html,1,0,3,0
_includes/main/top/custom.html,1,0,3,0
_includes/markdown-enhancements.html,1,0,17,0
_includes/markdown-enhancements/chart.html,1,0,15,0
_includes/markdown-enhancements/mathjax.html,1,0,17,0
_includes/markdown-enhancements/mermaid.html,1,0,10,0
_includes/pageview-providers/custom/home.html,1,0,3,0
_includes/pageview-providers/custom/post.html,1,0,3,0
_includes/pageview-providers/leancloud/home.html,1,0,35,0
_includes/pageview-providers/leancloud/leancloud.js,1,0,71,0
_includes/pageview-providers/leancloud/post.html,1,0,31,0
_includes/pageview.html,1,0,29,0
_includes/paginator.html,1,0,98,0
_includes/scripts/archieve.js,1,0,135,0
_includes/scripts/article.js,1,0,24,0
_includes/scripts/aside/affix.js,1,0,26,0
_includes/scripts/aside/toc.js,1,0,35,0
_includes/scripts/common.js,1,0,7,0
_includes/scripts/components/lightbox.js,1,0,49,0
_includes/scripts/components/search.js,1,0,86,0
_includes/scripts/components/sidebar.js,1,0,31,0
_includes/scripts/home.js,1,0,3,0
_includes/scripts/lib/affix.js,1,0,111,0
_includes/scripts/lib/gallery.js,1,0,192,0
_includes/scripts/lib/lazyload.js,1,0,143,0
_includes/scripts/lib/modal.js,1,0,64,0
_includes/scripts/lib/scroll-to.js,1,0,13,0
_includes/scripts/lib/swiper.js,1,0,203,0
_includes/scripts/lib/throttle.js,1,0,28,0
_includes/scripts/lib/toc.js,1,0,107,0
_includes/scripts/page.js,1,0,3,0
_includes/scripts/utils/imagesLoad.js,1,0,28,0
_includes/scripts/utils/utils.js,1,0,43,0
_includes/scripts/variables.html,1,0,35,0
_includes/search-providers/custom/search.html,1,0,3,0
_includes/search-providers/default/search-data.js,1,0,14,0
_includes/search-providers/default/search.html,1,0,18,0
_includes/search-providers/default/search.js,1,0,127,0
_includes/search-providers/google-custom-search-engine/search.html,1,0,21,0
_includes/search-providers/google-custom-search-engine/search.js,3,0,36,3
_includes/search.html,1,0,20,0
_includes/sharing-providers/addthis.html,1,0,9,0
_includes/sharing-providers/addtoany.html,1,0,10,0
_includes/sharing-providers/custom.html,1,0,3,0
_includes/sharing.html,1,0,7,0
_includes/sidebar/toc.html,1,0,25,0
_includes/snippets/assign.html,1,0,9,0
_includes/snippets/get-article-title.html,1,0,11,0
_includes/snippets/get-lang.html,1,0,6,0
_includes/snippets/get-locale-string.html,1,0,12,0
_includes/snippets/get-nav-url.html,1,0,8,0
_includes/snippets/get-sources.html,1,0,2,0
_includes/snippets/get-string-from-locale-config.html,1,0,7,0
_includes/snippets/is_collection.html,1,0,6,0
_includes/snippets/page-url.html,1,0,2,0
_includes/snippets/prepend-baseurl.html,1,0,4,0
_includes/snippets/prepend-path.html,1,0,1,0
_includes/svg/icon/social/behance.svg,1,0,3,0
_includes/svg/icon/social/douban.svg,1,0,5,0
_includes/svg/icon/social/facebook.svg,1,0,3,0
_includes/svg/icon/social/flicker.svg,1,0,5,0
_includes/svg/icon/social/github.svg,1,0,3,0
_includes/svg/icon/social/googleplus.svg,1,0,3,0
_includes/svg/icon/social/linkedin.svg,1,0,3,0
_includes/svg/icon/social/mail.svg,1,0,6,0
_includes/svg/icon/social/medium.svg,1,0,3,0
_includes/svg/icon/social/npm.svg,1,0,9,0
_includes/svg/icon/social/pinterest.svg,1,0,3,0
_includes/svg/icon/social/qq.svg,1,0,3,0
_includes/svg/icon/social/telegram.svg,1,0,4,0
_includes/svg/icon/social/twitter.svg,1,0,3,0
_includes/svg/icon/social/weibo.svg,1,0,6,0
_includes/svg/icon/social/weixin.svg,1,0,3,0
_includes/svg/icon/social/zhihu.svg,1,0,3,0
_includes/svg/logo.svg,1,0,1,0
_includes/tags.html,1,0,52,0
_layouts/404.html,1,0,13,0
_layouts/archive.html,1,0,31,0
_layouts/article.html,1,0,29,0
_layouts/articles.html,1,0,89,0
_layouts/base.html,1,0,25,0
_layouts/default.html,1,0,0,70
_layouts/home.html,1,0,34,0
_layouts/landing.html,1,0,178,0
_layouts/none.html,1,0,1,0
_layouts/page.html,1,0,270,0
_sass/additional/_alert.scss,1,0,29,0
_sass/additional/_photo-frame.scss,1,0,17,0
_sass/additional/_tag.scss,1,0,21,0
_sass/animate/_fade-in-down.scss,1,0,10,0
_sass/animate/_fade-in-up.scss,1,0,10,0
_sass/animate/_fade-in.scss,1,0,8,0
_sass/common/_classes.scss,1,0,23,0
_sass/common/_function.scss,1,0,15,0
_sass/common/_print.scss,1,0,20,0
