entity,coupled,cochanges
.mvn/maven.config,packaging-ref.txt,4
.mvn/maven.config,pom.xml,4
bom/pom.xml,cli/pom.xml,92
bom/pom.xml,core/pom.xml,92
bom/pom.xml,pom.xml,93
bom/pom.xml,test-jdk8/pom.xml,46
bom/pom.xml,test-pom/pom.xml,46
bom/pom.xml,test/pom.xml,92
bom/pom.xml,war/pom.xml,92
cli/pom.xml,core/pom.xml,145
cli/pom.xml,pom.xml,144
cli/pom.xml,test-jdk8/pom.xml,95
cli/pom.xml,test-pom/pom.xml,97
cli/pom.xml,test/pom.xml,142
cli/pom.xml,war/pom.xml,144
core/pom.xml,core/src/main/java/jenkins/model/Jenkins.java,4
core/pom.xml,pom.xml,143
core/pom.xml,test-jdk8/pom.xml,95
core/pom.xml,test-pom/pom.xml,97
core/pom.xml,test/pom.xml,141
core/pom.xml,test/src/test/java/jenkins/security/StackTraceSuppressionTest.java,10
core/pom.xml,war/pom.xml,146
core/src/main/java/hudson/DescriptorExtensionList.java,core/src/main/java/hudson/util/DescriptorList.java,6
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/Functions.java,4
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/PluginManager.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/PluginWrapper.java,4
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/TcpSlaveAgentListener.java,4
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/Util.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/model/Descriptor.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/model/Items.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/model/UpdateCenter.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/model/UpdateSite.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/model/User.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/hudson/scm/SCM.java,3
core/src/main/java/hudson/FilePath.java,core/src/main/java/jenkins/model/Jenkins.java,4
core/src/main/java/hudson/FilePath.java,core/src/main/java/jenkins/model/JenkinsLocationConfiguration.java,3
core/src/main/java/hudson/Functions.java,core/src/main/java/hudson/model/Computer.java,3
core/src/main/java/hudson/Functions.java,core/src/main/java/hudson/model/Descriptor.java,6
core/src/main/java/hudson/Functions.java,core/src/main/java/hudson/model/ManagementLink.java,3
core/src/main/java/hudson/Functions.java,core/src/main/java/hudson/model/TimeZoneProperty.java,3
core/src/main/java/hudson/Functions.java,core/src/main/java/hudson/model/UpdateSite.java,4
