File Name,Project Name,Package Name,Type Name,Code Smell
jenkins/core/src/main/java/hudson/DescriptorExtensionList.java,jenkins,hudson,DescriptorExtensionList,Cyclic-Dependent Modularization
jenkins/core/src/main/java/hudson/ExtensionListView.java,jenkins,hudson,ExtensionListView,Unutilized Abstraction
jenkins/core/src/main/java/hudson/ExtensionListView.java,jenkins,hudson,ExtensionListView,Insufficient Modularization
jenkins/core/src/main/java/hudson/ExpressionFactory2.java,jenkins,hudson,JexlExpression,Unutilized Abstraction
jenkins/core/src/main/java/hudson/ExpressionFactory2.java,jenkins,hudson,JellyJexlContext,Unutilized Abstraction
jenkins/core/src/main/java/hudson/ExpressionFactory2.java,jenkins,hudson,JellyMap,Unutilized Abstraction
jenkins/core/src/main/java/hudson/BulkChange.java,jenkins,hudson,BulkChange,Deficient Encapsulation
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,Functions,Deficient Encapsulation
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,Functions,Cyclic-Dependent Modularization
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,Functions,Insufficient Modularization
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,Functions,Hub-like Modularization
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,RunUrl,Unutilized Abstraction
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,Tag,Cyclic-Dependent Modularization
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,ThreadSorterBase,Unutilized Abstraction
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,ThreadGroupMap,Unutilized Abstraction
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,ThreadGroupMap,Broken Hierarchy
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,ThreadSorter,Unutilized Abstraction
jenkins/core/src/main/java/hudson/Functions.java,jenkins,hudson,ThreadSorter,Broken Hierarchy
jenkins/core/src/main/java/hudson/Util.java,jenkins,hudson,Util,Deficient Encapsulation
jenkins/core/src/main/java/hudson/Util.java,jenkins,hudson,Util,Cyclic-Dependent Modularization
jenkins/core/src/main/java/hudson/Util.java,jenkins,hudson,Util,Insufficient Modularization
jenkins/core/src/main/java/hudson/EnvVars.java,jenkins,hudson,EnvVars,Deficient Encapsulation
jenkins/core/src/main/java/hudson/EnvVars.java,jenkins,hudson,EnvVars,Cyclic-Dependent Modularization
