entity,n-revs,bugs,added,removed
.github/FUNDING.yml,1,0,1,0
.github/PULL_REQUEST_TEMPLATE.md,3,0,25,5
.github/release-drafter.yml,19,0,166,121
.github/workflows/changelog.yml,13,0,100,27
.gitignore,1,0,1,0
.mvn/maven.config,5,0,5,0
.vscode/settings.json,2,0,3,3
CONTRIBUTING.md,13,0,58,24
Jenkinsfile,11,0,33,28
README.md,5,0,9,28
bom/pom.xml,111,0,350,148
cli/pom.xml,162,1,251,223
cli/src/main/java/hudson/cli/CLI.java,7,2,169,66
cli/src/main/java/hudson/cli/CLIConnectionFactory.java,1,0,2,3
cli/src/main/java/hudson/cli/DiagnosedStreamCorruptionException.java,2,0,3,3
cli/src/main/java/hudson/cli/FullDuplexHttpStream.java,2,0,12,5
cli/src/main/java/hudson/cli/NoCheckTrustManager.java,2,0,6,1
cli/src/main/java/hudson/cli/PlainCLIProtocol.java,1,0,123,98
cli/src/main/java/hudson/cli/PrivateKeyProvider.java,1,0,1,4
cli/src/main/java/hudson/cli/SSHCLI.java,2,0,7,3
cli/src/main/java/hudson/util/QuotedStringTokenizer.java,1,0,1,1
cli/src/main/resources/hudson/cli/client/Messages.properties,1,0,1,0
cli/src/main/resources/hudson/cli/client/Messages_da.properties,1,0,1,1
cli/src/main/resources/hudson/cli/client/Messages_ja.properties,1,0,1,1
cli/src/test/java/hudson/cli/HexDumpTest.java,3,0,55,14
cli/src/test/java/hudson/cli/PlainCLIProtocolTest.java,3,0,22,6
cli/src/test/java/hudson/cli/PrivateKeyProviderTest.java,2,0,24,25
core/move-l10n.groovy,1,0,13,13
core/pom.xml,193,7,277,250
core/src/filter/resources/hudson/model/UpdateCenter/CoreUpdateMonitor/message_bg.properties,1,0,0,32
core/src/filter/resources/hudson/model/UpdateCenter/CoreUpdateMonitor/message_it.properties,1,0,0,6
core/src/filter/resources/hudson/model/UpdateCenter/CoreUpdateMonitor/message_ru.properties,1,0,0,27
core/src/filter/resources/hudson/model/hudson-version.properties,1,0,1,0
