entity,coupled,cochanges
build.xml,pom.xml,34
build.xml,src/org/jgroups/Version.java,34
build.xml,src/org/jgroups/blocks/RequestCorrelator.java,3
conf/fast-local.xml,conf/tcp.xml,5
conf/fast-local.xml,conf/toa.xml,4
conf/fast-local.xml,conf/udp-largecluster.xml,5
conf/fast-local.xml,conf/udp.xml,5
conf/fast-local.xml,src/org/jgroups/protocols/TP.java,3
conf/jg-magic-map.xml,conf/jg-protocol-ids.xml,9
conf/jg-magic-map.xml,src/org/jgroups/protocols/relay/RELAY2.java,6
conf/jg-messages.properties,conf/jg-messages_de.properties,10
conf/jg-messages.properties,src/org/jgroups/protocols/TP.java,5
conf/jg-messages.properties,src/org/jgroups/protocols/pbcast/NAKACK.java,3
conf/jg-messages.properties,src/org/jgroups/protocols/pbcast/NAKACK2.java,4
conf/jg-messages.properties,src/org/jgroups/stack/Protocol.java,4
conf/jg-messages.properties,src/org/jgroups/util/Util.java,3
conf/jg-messages.properties,tests/junit-functional/org/jgroups/tests/MessageBatchTest.java,3
conf/jg-messages_de.properties,src/org/jgroups/protocols/TP.java,5
conf/jg-messages_de.properties,src/org/jgroups/protocols/pbcast/NAKACK.java,3
conf/jg-messages_de.properties,src/org/jgroups/protocols/pbcast/NAKACK2.java,4
conf/jg-messages_de.properties,src/org/jgroups/stack/Protocol.java,4
conf/jg-messages_de.properties,src/org/jgroups/util/Util.java,3
conf/jg-messages_de.properties,tests/junit-functional/org/jgroups/tests/MessageBatchTest.java,3
conf/jg-protocol-ids.xml,doc/manual/en/modules/protocols.xml,3
conf/jg-protocol-ids.xml,src/org/jgroups/protocols/relay/RELAY2.java,3
conf/jg-protocol-ids.xml,src/org/jgroups/util/PropertiesToXML.java,3
conf/relay.xsd,conf/relay1.xml,4
conf/relay.xsd,conf/relay2.xml,3
conf/relay.xsd,src/org/jgroups/protocols/relay/RELAY2.java,3
conf/relay1.xml,conf/relay2.xml,7
conf/relay1.xml,src/org/jgroups/protocols/relay/RELAY2.java,5
conf/relay1.xml,src/org/jgroups/protocols/relay/Relayer.java,3
conf/relay1.xml,src/org/jgroups/protocols/relay/config/RelayConfig.java,3
conf/relay2.xml,src/org/jgroups/protocols/relay/RELAY2.java,4
conf/relay2.xml,src/org/jgroups/protocols/relay/Relayer.java,4
conf/scripts/BecomeServerTest/testSendingOfMsgsOnUnconnectedChannel.btm,src/org/jgroups/protocols/pbcast/NAKACK2.java,3
conf/scripts/BecomeServerTest/testSendingOfMsgsOnUnconnectedChannel.btm,tests/byteman/org/jgroups/tests/byteman/BecomeServerTest.java,4
conf/scripts/SequencerFailoverTest/testResendingVersusNewMessages.btm,src/org/jgroups/protocols/SEQUENCER.java,5
conf/scripts/SequencerFailoverTest/testResendingVersusNewMessages.btm,tests/byteman/org/jgroups/tests/byteman/SequencerFailoverTest.java,4
conf/scripts/SequencerFailoverTest/testResendingVersusNewMessages.btm,tests/byteman/org/jgroups/tests/helpers/SequencerFailoverTestHelper.java,3
conf/tcp.xml,conf/toa.xml,4
