File Name,Project Name,Package Name,Type Name,Code Smell
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Deficient Encapsulation
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Insufficient Modularization
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,Deficient Encapsulation
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,Insufficient Modularization
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,MyProbeHandler,Unutilized Abstraction
JGroups/src/org/jgroups/MergeView.java,JGroups,org.jgroups,MergeView,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/Receiver.java,JGroups,org.jgroups,Receiver,Unnecessary Abstraction
JGroups/src/org/jgroups/Global.java,JGroups,org.jgroups,Global,Deficient Encapsulation
JGroups/src/org/jgroups/ChannelListener.java,JGroups,org.jgroups,ChannelListener,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/Address.java,JGroups,org.jgroups,Address,Deficient Encapsulation
JGroups/src/org/jgroups/Channel.java,JGroups,org.jgroups,Channel,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/Channel.java,JGroups,org.jgroups,Channel,Insufficient Modularization
JGroups/src/org/jgroups/Event.java,JGroups,org.jgroups,Event,Deficient Encapsulation
JGroups/src/org/jgroups/ReceiverAdapter.java,JGroups,org.jgroups,ReceiverAdapter,Unutilized Abstraction
JGroups/src/org/jgroups/ReceiverAdapter.java,JGroups,org.jgroups,ReceiverAdapter,Broken Hierarchy
JGroups/src/org/jgroups/ViewId.java,JGroups,org.jgroups,ViewId,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/View.java,JGroups,org.jgroups,View,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/TimeoutException.java,JGroups,org.jgroups,TimeoutException,Unutilized Abstraction
JGroups/src/org/jgroups/UnreachableException.java,JGroups,org.jgroups,UnreachableException,Unutilized Abstraction
JGroups/src/org/jgroups/PhysicalAddress.java,JGroups,org.jgroups,PhysicalAddress,Unnecessary Abstraction
JGroups/src/org/jgroups/StateTransferException.java,JGroups,org.jgroups,StateTransferException,Unutilized Abstraction
JGroups/src/org/jgroups/Version.java,JGroups,org.jgroups,Version,Deficient Encapsulation
JGroups/src/org/jgroups/SuspectedException.java,JGroups,org.jgroups,SuspectedException,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/RpcDispatcher.java,JGroups,org.jgroups.blocks,RpcDispatcher,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/RpcDispatcher.java,JGroups,org.jgroups.blocks,RpcDispatcher,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ReplicatedTree.java,JGroups,org.jgroups.blocks,ReplicatedTree,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/ReplicatedTree.java,JGroups,org.jgroups.blocks,ReplicatedTree,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ReplicatedTree.java,JGroups,org.jgroups.blocks,MyListener,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/MessageDispatcher.java,JGroups,org.jgroups.blocks,MessageDispatcher,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/MessageDispatcher.java,JGroups,org.jgroups.blocks,MessageDispatcher,Insufficient Modularization
JGroups/src/org/jgroups/blocks/MessageDispatcher.java,JGroups,org.jgroups.blocks,ProtocolAdapter,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/AbstractConnectionMap.java,JGroups,org.jgroups.blocks,AbstractConnectionMap,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/AbstractConnectionMap.java,JGroups,org.jgroups.blocks,AbstractConnectionMap,Broken Hierarchy
JGroups/src/org/jgroups/blocks/AbstractConnectionMap.java,JGroups,org.jgroups.blocks,AbstractConnectionMap,Insufficient Modularization
JGroups/src/org/jgroups/blocks/AbstractConnectionMap.java,JGroups,org.jgroups.blocks,Reaper,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/Cache.java,JGroups,org.jgroups.blocks,Cache,Insufficient Modularization
JGroups/src/org/jgroups/blocks/Cache.java,JGroups,org.jgroups.blocks,Reaper,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/MemcachedConnector.java,JGroups,org.jgroups.blocks,MemcachedConnector,Insufficient Modularization
JGroups/src/org/jgroups/blocks/MemcachedConnector.java,JGroups,org.jgroups.blocks,RequestHandler,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/MemcachedConnector.java,JGroups,org.jgroups.blocks,Request,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/GridFile.java,JGroups,org.jgroups.blocks,GridFile,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/GridFile.java,JGroups,org.jgroups.blocks,GridFile,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/GridFile.java,JGroups,org.jgroups.blocks,GridFile,Insufficient Modularization
JGroups/src/org/jgroups/blocks/GridFile.java,JGroups,org.jgroups.blocks,Metadata,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/ReplicatedHashMap.java,JGroups,org.jgroups.blocks,ReplicatedHashMap,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ReplicatedHashMap.java,JGroups,org.jgroups.blocks,SynchronizedReplicatedMap,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplicatedHashMap.java,JGroups,org.jgroups.blocks,SynchronizedReplicatedMap,Insufficient Modularization
JGroups/src/org/jgroups/blocks/PartitionedHashMap.java,JGroups,org.jgroups.blocks,PartitionedHashMap,Missing Hierarchy
JGroups/src/org/jgroups/blocks/PartitionedHashMap.java,JGroups,org.jgroups.blocks,PartitionedHashMap,Insufficient Modularization
JGroups/src/org/jgroups/blocks/PartitionedHashMap.java,JGroups,org.jgroups.blocks,CustomMarshaller,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/PartitionedHashMap.java,JGroups,org.jgroups.blocks,CustomMarshaller,Broken Hierarchy
JGroups/src/org/jgroups/blocks/PartitionedHashMap.java,JGroups,org.jgroups.blocks,CustomMarshaller,Missing Hierarchy
JGroups/src/org/jgroups/blocks/GridOutputStream.java,JGroups,org.jgroups.blocks,GridOutputStream,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/LazyRemovalCache.java,JGroups,org.jgroups.blocks,LazyRemovalCache,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,ReplCache,Rebellious Hierarchy
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,ReplCache,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,HashFunction,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,ChangeListener,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,ConsistentHashFunction,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,Value,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,CustomMarshaller,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,CustomMarshaller,Broken Hierarchy
JGroups/src/org/jgroups/blocks/ReplCache.java,JGroups,org.jgroups.blocks,CustomMarshaller,Missing Hierarchy
JGroups/src/org/jgroups/blocks/RequestOptions.java,JGroups,org.jgroups.blocks,RequestOptions,Insufficient Modularization
JGroups/src/org/jgroups/blocks/MethodCall.java,JGroups,org.jgroups.blocks,MethodCall,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ConnectionMap.java,JGroups,org.jgroups.blocks,ConnectionMap,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,ConnectionTableNIO,Insufficient Modularization
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,Shutdown,Unnecessary Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,Shutdown,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,ReadHandler,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,ExecuteTask,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,Connection,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,SelectorWriteHandler,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java,JGroups,org.jgroups.blocks,WriteRequest,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,TCPConnectionMap,Insufficient Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,ConnectionAcceptor,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,TCPConnection,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,TCPConnection,Insufficient Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,ConnectionPeerReceiver,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,Sender,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/TCPConnectionMap.java,JGroups,org.jgroups.blocks,Mapper,Broken Hierarchy
JGroups/src/org/jgroups/blocks/BasicConnectionTable.java,JGroups,org.jgroups.blocks,BasicConnectionTable,Insufficient Modularization
JGroups/src/org/jgroups/blocks/BasicConnectionTable.java,JGroups,org.jgroups.blocks,Receiver,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/BasicConnectionTable.java,JGroups,org.jgroups.blocks,Connection,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/BasicConnectionTable.java,JGroups,org.jgroups.blocks,Sender,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/BasicConnectionTable.java,JGroups,org.jgroups.blocks,Reaper,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/GridInputStream.java,JGroups,org.jgroups.blocks,GridInputStream,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/GridFilesystem.java,JGroups,org.jgroups.blocks,GridFilesystem,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,RequestCorrelator,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,RequestCorrelator,Insufficient Modularization
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,Header,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,Header,Cyclic Hierarchy
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,Header,Deep Hierarchy
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,MultiDestinationHeader,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,MultiDestinationHeader,Deficient Encapsulation
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,MultiDestinationHeader,Deep Hierarchy
JGroups/src/org/jgroups/blocks/RequestCorrelator.java,JGroups,org.jgroups.blocks,MyProbeHandler,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/Request.java,JGroups,org.jgroups.blocks,Request,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/Request.java,JGroups,org.jgroups.blocks,Request,Rebellious Hierarchy
JGroups/src/org/jgroups/blocks/mux/MuxRpcDispatcher.java,JGroups,org.jgroups.blocks.mux,MuxRpcDispatcher,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/mux/MuxMessageDispatcher.java,JGroups,org.jgroups.blocks.mux,MuxMessageDispatcher,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/mux/MuxUpHandler.java,JGroups,org.jgroups.blocks.mux,MuxUpHandler,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/locking/LockService.java,JGroups,org.jgroups.blocks.locking,LockService,Insufficient Modularization
JGroups/src/org/jgroups/blocks/locking/LockService.java,JGroups,org.jgroups.blocks.locking,LockImpl,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/locking/LockService.java,JGroups,org.jgroups.blocks.locking,ConditionImpl,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/executor/ExecutionRunner.java,JGroups,org.jgroups.blocks.executor,Holder,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,ExecutionService,Missing Hierarchy
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,ExecutionService,Insufficient Modularization
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,DistributedFuture,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,DistributedFuture,Insufficient Modularization
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,Sync,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/blocks/executor/ExecutionService.java,JGroups,org.jgroups.blocks.executor,RunnableAdapter,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/executor/Executions.java,JGroups,org.jgroups.blocks.executor,Executions,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/executor/Executions.java,JGroups,org.jgroups.blocks.executor,StreamableCallable,Unutilized Abstraction
JGroups/src/org/jgroups/blocks/executor/ExecutorEvent.java,JGroups,org.jgroups.blocks.executor,ExecutorEvent,Deficient Encapsulation
JGroups/src/org/jgroups/util/Digest.java,JGroups,org.jgroups.util,Digest,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/util/Digest.java,JGroups,org.jgroups.util,Digest,Insufficient Modularization
JGroups/src/org/jgroups/util/Digest.java,JGroups,org.jgroups.util,MyIterator,Unutilized Abstraction
JGroups/src/org/jgroups/util/ProgressCheckRejectionPolicy.java,JGroups,org.jgroups.util,ProgressCheckRejectionPolicy,Deficient Encapsulation
JGroups/src/org/jgroups/util/ProgressCheckRejectionPolicy.java,JGroups,org.jgroups.util,ProgressCheckRejectionPolicy,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/util/DefaultTimeScheduler.java,JGroups,org.jgroups.util,DefaultTimeScheduler,Unutilized Abstraction
JGroups/src/org/jgroups/util/DefaultTimeScheduler.java,JGroups,org.jgroups.util,DefaultTimeScheduler,Insufficient Modularization
JGroups/src/org/jgroups/util/DefaultTimeScheduler.java,JGroups,org.jgroups.util,RobustRunnable,Unutilized Abstraction
JGroups/src/org/jgroups/util/XMLSchemaGenerator.java,JGroups,org.jgroups.util,XMLSchemaGenerator,Imperative Abstraction
JGroups/src/org/jgroups/util/DirectExecutor.java,JGroups,org.jgroups.util,DirectExecutor,Unutilized Abstraction
JGroups/src/org/jgroups/util/MyReceiver.java,JGroups,org.jgroups.util,MyReceiver,Unutilized Abstraction
JGroups/src/org/jgroups/util/RetransmitTable.java,JGroups,org.jgroups.util,RetransmitTable,Insufficient Modularization
JGroups/src/org/jgroups/util/Util.java,JGroups,org.jgroups.util,Util,Deficient Encapsulation
JGroups/src/org/jgroups/util/Util.java,JGroups,org.jgroups.util,Util,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/util/Util.java,JGroups,org.jgroups.util,Util,Insufficient Modularization
JGroups/src/org/jgroups/util/Util.java,JGroups,org.jgroups.util,Util,Hub-like Modularization
JGroups/src/org/jgroups/util/QueueClosedException.java,JGroups,org.jgroups.util,QueueClosedException,Unutilized Abstraction
JGroups/src/org/jgroups/util/StateTransferResult.java,JGroups,org.jgroups.util,StateTransferResult,Cyclic-Dependent Modularization
JGroups/src/org/jgroups/util/ConcurrentLinkedBlockingQueue.java,JGroups,org.jgroups.util,ConcurrentLinkedBlockingQueue,Unutilized Abstraction
JGroups/src/org/jgroups/util/NoProgressException.java,JGroups,org.jgroups.util,NoProgressException,Unutilized Abstraction
JGroups/src/org/jgroups/util/UUID.java,JGroups,org.jgroups.util,UUID,Insufficient Modularization
