entity,n-revs,bugs,added,removed
.gitignore,2,0,2,0
bin/count-tests.sh,1,0,8,0
bin/dumpdata.sh,1,0,8,0
bin/jgroups.sh,2,0,2,2
bin/toa-test.sh,2,0,62,2
bin/uuperf.sh,1,0,8,0
build.bat,1,0,1,1
build.xml,45,0,71,65
conf/EncryptKeyStore.xml,1,0,9,1
conf/encrypt-entire-message.xml,1,0,1,1
conf/fast-local.xml,5,0,4,5
conf/flush-tcp.xml,1,0,0,1
conf/group-multicast.xml,2,0,73,73
conf/jg-magic-map.xml,16,0,141,129
conf/jg-messages.properties,10,0,53,35
conf/jg-messages_de.properties,11,0,54,36
conf/jg-protocol-ids.xml,15,0,18,15
conf/jgroups.bnd,1,0,1,1
conf/log4j.properties,1,0,9,17
conf/manifest.mf,2,0,2,2
conf/mping.xml,1,0,0,1
conf/relay.xsd,4,0,147,86
conf/relay1.xml,10,0,90,52
conf/relay2.xml,10,0,61,29
conf/rules.xml,1,0,9,0
conf/rules.xsd,1,0,23,0
conf/scripts/BecomeServerTest/testSendingOfMsgsOnUnconnectedChannel.btm,8,0,186,56
conf/scripts/ForwardToCoordFailoverTest/testSendingDuringViewChange.btm,2,0,52,0
conf/scripts/MessageBeforeConnectedTest/BecomeServerTest/testSendingOfMsgsOnUnconnectedChannel.btm,3,0,164,82
conf/scripts/MessageBeforeConnectedTest/testSendingOfMsgsOnUnconnectedChannel.btm,2,0,40,0
conf/scripts/SequencerFailoverTest/testResendingVersusNewMessages.btm,10,0,58,30
conf/scripts/TCPConnectionMapTest/testConcurrentConnect.btm,1,0,74,0
conf/scripts/TCPConnectionMapTest/testConcurrentConnect2.btm,1,0,84,0
conf/sequencer.xml,2,0,2,1
conf/tcp-nio.xml,1,0,0,1
conf/tcp.xml,6,0,4,7
conf/tcpgossip.xml,2,0,42,43
conf/testng/byteman.xml,7,0,21,22
conf/testng/functional.xml,3,0,2,3
conf/testng/stack-independent.xml,3,0,2,4
conf/testng/testng-tcp-flush.xml,3,0,2,3
conf/testng/testng-tcp-stress.xml,2,0,2,2
conf/testng/testng-tcp.xml,3,0,2,3
conf/testng/testng-udp-flush.xml,3,0,2,3
conf/testng/testng-udp.xml,3,0,3,4
conf/testng/time-sensitive.xml,3,0,2,3
conf/toa.xml,6,0,87,5
conf/udp-largecluster.xml,7,0,6,7
conf/udp.xml,7,0,8,9
doc/ReleaseNotes-3.0.0.txt,1,0,0,161
doc/ReleaseNotes-3.1.0.txt,4,0,317,317
doc/ReleaseNotes-3.2.0.txt,4,0,136,136
doc/ReleaseNotes-3.3.0.txt,1,0,57,0
doc/design/MarshalingFormat.txt,2,0,4,0
doc/design/RELAY2.txt,5,0,130,32
doc/design/SEQUENCER.txt,4,0,85,73
doc/design/TCPConnectionMap.txt,1,0,67,0
doc/design/varia2.txt,3,0,45,0
doc/manual/en/master.xml,1,0,1,1
doc/manual/en/modules/advanced.xml,5,0,343,6
doc/manual/en/modules/api.xml,1,0,2,2
doc/manual/en/modules/blocks.xml,2,0,70,6
doc/manual/en/modules/protocols.xml,12,0,129,32
lib/bsh.jar,1,0,0,0
lib/byteman-bmunit.jar,4,0,0,0
lib/byteman-install.jar,4,0,0,0
lib/byteman-submit.jar,4,0,0,0
lib/byteman.jar,4,0,0,0
lib/licenses/thirdparty-licenses.xml,7,0,20,27
lib/testng-6.8.jar,2,0,0,0
pom.xml,40,0,49,54
src/org/jgroups/Address.java,1,0,5,3
src/org/jgroups/AnycastAddress.java,4,0,154,21
src/org/jgroups/Channel.java,3,0,71,16
src/org/jgroups/Event.java,8,0,28,26
src/org/jgroups/Global.java,4,0,6,0
src/org/jgroups/JChannel.java,19,0,297,275
src/org/jgroups/Message.java,11,0,268,253
src/org/jgroups/UnreachableException.java,2,0,28,1
src/org/jgroups/Version.java,39,0,65,65
src/org/jgroups/View.java,2,0,9,10
src/org/jgroups/auth/AuthToken.java,1,0,6,0
src/org/jgroups/auth/DemoToken.java,1,0,206,0
src/org/jgroups/auth/FixedMembershipToken.java,1,0,8,0
src/org/jgroups/auth/MD5Token.java,1,0,7,3
src/org/jgroups/auth/RegexMembership.java,1,0,4,0
src/org/jgroups/auth/SimpleToken.java,2,0,11,4
src/org/jgroups/auth/X509Token.java,1,0,19,15
src/org/jgroups/blocks/AbstractConnectionMap.java,3,0,47,59
src/org/jgroups/blocks/BasicConnectionTable.java,9,0,42,47
src/org/jgroups/blocks/ConnectionTableNIO.java,4,0,42,32
src/org/jgroups/blocks/GroupRequest.java,8,0,119,26
src/org/jgroups/blocks/LazyRemovalCache.java,2,0,4,4
src/org/jgroups/blocks/MessageDispatcher.java,14,0,310,203
src/org/jgroups/blocks/MethodCall.java,1,0,30,4
src/org/jgroups/blocks/ReplicatedHashMap.java,1,0,1,5
src/org/jgroups/blocks/ReplicatedTree.java,2,0,2,0
src/org/jgroups/blocks/Request.java,4,0,20,32
src/org/jgroups/blocks/RequestCorrelator.java,12,0,93,27
src/org/jgroups/blocks/RequestOptions.java,1,0,23,8
src/org/jgroups/blocks/RpcDispatcher.java,6,0,55,41
src/org/jgroups/blocks/RspCollector.java,3,0,3,1
src/org/jgroups/blocks/TCPConnectionMap.java,23,0,655,567
src/org/jgroups/blocks/UnicastRequest.java,7,0,77,18
src/org/jgroups/blocks/executor/ExecutionRunner.java,2,0,180,26
src/org/jgroups/blocks/executor/ExecutionService.java,1,0,13,17
src/org/jgroups/conf/ClassConfigurator.java,2,0,33,19
src/org/jgroups/conf/ConfiguratorFactory.java,1,0,2,0
src/org/jgroups/conf/PropertyConverters.java,2,0,70,6
src/org/jgroups/conf/PropertyHelper.java,1,0,2,2
src/org/jgroups/conf/ProtocolConfiguration.java,2,0,6,2
src/org/jgroups/conf/XmlConfigurator.java,1,0,2,12
src/org/jgroups/debug/Simulator.java,1,0,5,5
src/org/jgroups/demos/Chat.java,1,0,9,2
src/org/jgroups/demos/Draw.java,3,0,3,3
src/org/jgroups/demos/JmxDemo.java,1,0,2,2
src/org/jgroups/demos/RelayDemoRpc.java,6,0,129,52
src/org/jgroups/jmx/JmxConfigurator.java,1,0,4,4
src/org/jgroups/jmx/ResourceDMBean.java,3,0,275,381
src/org/jgroups/jmx/ResourceDMBeanOld.java,2,0,554,554
src/org/jgroups/protocols/AUTH.java,2,0,105,74
src/org/jgroups/protocols/AuthHeader.java,2,0,71,23
src/org/jgroups/protocols/BARRIER.java,2,0,110,64
src/org/jgroups/protocols/BPING.java,4,0,6,8
src/org/jgroups/protocols/BSH.java,1,0,0,140
src/org/jgroups/protocols/BasicTCP.java,11,0,70,49
src/org/jgroups/protocols/CENTRAL_LOCK.java,2,0,4,12
src/org/jgroups/protocols/COMPRESS.java,2,0,142,104
src/org/jgroups/protocols/COUNTER.java,1,0,4,0
src/org/jgroups/protocols/DAISYCHAIN.java,6,0,80,110
src/org/jgroups/protocols/DELAY.java,2,0,54,96
src/org/jgroups/protocols/DELAY_JOIN_REQ.java,2,0,0,118
src/org/jgroups/protocols/DISCARD.java,5,0,200,256
src/org/jgroups/protocols/DISCARD_PAYLOAD.java,2,0,10,18
src/org/jgroups/protocols/DUPL.java,2,0,58,16
src/org/jgroups/protocols/Discovery.java,13,0,131,82
src/org/jgroups/protocols/ENCRYPT.java,1,0,45,53
src/org/jgroups/protocols/EXAMPLE.java,2,0,22,0
src/org/jgroups/protocols/Executing.java,3,0,339,78
src/org/jgroups/protocols/FD.java,9,0,364,368
src/org/jgroups/protocols/FD_ALL.java,11,0,122,31
src/org/jgroups/protocols/FD_ICMP.java,3,0,14,157
src/org/jgroups/protocols/FD_PING.java,2,0,14,12
src/org/jgroups/protocols/FD_SIMPLE.java,1,0,0,328
src/org/jgroups/protocols/FD_SOCK.java,12,0,140,92
src/org/jgroups/protocols/FILE_PING.java,5,0,216,61
src/org/jgroups/protocols/FORWARD_TO_COORD.java,22,0,677,213
src/org/jgroups/protocols/FlowControl.java,2,0,4,4
src/org/jgroups/protocols/HDRS.java,2,0,16,4
src/org/jgroups/protocols/HTOTAL.java,1,0,0,166
src/org/jgroups/protocols/JDBC_PING.java,3,0,17,10
src/org/jgroups/protocols/Locking.java,2,0,98,112
src/org/jgroups/protocols/MERGE2.java,3,0,48,8
src/org/jgroups/protocols/MERGE3.java,4,0,23,14
src/org/jgroups/protocols/MFC2.java,1,0,274,0
src/org/jgroups/protocols/MPING.java,4,0,5,8
src/org/jgroups/protocols/PDC.java,1,0,330,0
src/org/jgroups/protocols/PEER_LOCK.java,2,0,6,10
src/org/jgroups/protocols/PRIO.java,2,0,44,4
src/org/jgroups/protocols/PingData.java,1,0,2,2
src/org/jgroups/protocols/RATE_LIMITER.java,12,0,219,143
src/org/jgroups/protocols/RSVP.java,9,0,428,59
src/org/jgroups/protocols/SCOPE.java,6,0,62,16
src/org/jgroups/protocols/SEQUENCER.java,34,0,1110,720
src/org/jgroups/protocols/SHARED_LOOPBACK.java,3,0,42,13
src/org/jgroups/protocols/SHUFFLE.java,4,0,68,16
src/org/jgroups/protocols/SIZE.java,2,0,106,176
src/org/jgroups/protocols/STATS.java,4,0,16,0
src/org/jgroups/protocols/SWIFT_PING.java,2,0,726,1
src/org/jgroups/protocols/TCP.java,13,0,50,38
src/org/jgroups/protocols/TCPGOSSIP.java,1,0,8,7
src/org/jgroups/protocols/TCPPING.java,3,0,64,27
src/org/jgroups/protocols/TCP_NIO.java,2,0,8,8
src/org/jgroups/protocols/TP.java,67,0,1642,887
src/org/jgroups/protocols/TRACE.java,2,0,16,4
src/org/jgroups/protocols/TUNNEL.java,2,0,20,32
src/org/jgroups/protocols/UDP.java,9,0,42,32
src/org/jgroups/protocols/UFC.java,1,0,7,0
