File Name,Project Name,Package Name,Type Name,Method Name,Code Smell
JGroups/src/org/jgroups/AnycastAddress.java,JGroups,org.jgroups,AnycastAddress,equals,Long Statement
JGroups/src/org/jgroups/AnycastAddress.java,JGroups,org.jgroups,AnycastAddress,compareTo,Long Statement
JGroups/src/org/jgroups/AnycastAddress.java,JGroups,org.jgroups,AnycastAddress,compareTo,Long Statement
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Message,Magic Number
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Message,Long Parameter List
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Message,Magic Number
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,Message,Magic Number
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,getHeader,Long Statement
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,copy,Magic Number
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,toString,Magic Number
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,writeTo,Complex Method
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,flagsToString,Complex Method
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,readHeader,Long Statement
JGroups/src/org/jgroups/Message.java,JGroups,org.jgroups,Message,createHeaders,Magic Number
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,connect,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,connect,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,disconnect,Missing default
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,setName,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,getState,Complex Conditional
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,getState,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,getState,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,getState,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,getState,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,up,Complex Conditional
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,up,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,up,Missing default
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,invokeCallback,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,invokeCallback,Magic Number
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,checkClosedOrNotConnected,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,startFlush,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,startFlush,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,startFlush,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,stopFlush,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,stopFlush,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,handleProbe,Magic Number
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,handleJmx,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,handleOperation,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,JChannel,handleOperation,Long Statement
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,MyProbeHandler,handleProbe,Magic Number
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,MyProbeHandler,handleJmx,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,MyProbeHandler,handleOperation,Complex Method
JGroups/src/org/jgroups/JChannel.java,JGroups,org.jgroups,MyProbeHandler,handleOperation,Long Statement
JGroups/src/org/jgroups/Global.java,JGroups,org.jgroups,Global,getPropertyAsBoolean,Empty catch clause
JGroups/src/org/jgroups/Global.java,JGroups,org.jgroups,Global,getPropertyAsLong,Empty catch clause
