FileName,SqTotalIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecurityHotspots
src/org/jgroups/protocols/pbcast/NAKACK2.java,111,108,2,1,0
src/org/jgroups/blocks/atomic/Counter.java,1,1,0,0,0
src/org/jgroups/blocks/MessageDispatcher.java,45,43,2,0,0
src/org/jgroups/blocks/locking/LockInfo.java,8,8,0,0,0
src/org/jgroups/blocks/locking/LockService.java,4,2,2,0,0
src/org/jgroups/blocks/locking/LockNotification.java,4,4,0,0,0
src/org/jgroups/blocks/executor/ExecutionService.java,24,21,3,0,0
src/org/jgroups/blocks/GridOutputStream.java,15,15,0,0,0
src/org/jgroups/blocks/ConnectionTableNIO.java,136,126,8,0,2
src/org/jgroups/blocks/BasicConnectionTable.java,86,83,3,0,0
src/org/jgroups/blocks/GridInputStream.java,21,21,0,0,0
src/org/jgroups/blocks/Request.java,23,20,1,2,0
src/org/jgroups/blocks/GridFilesystem.java,10,10,0,0,0
src/org/jgroups/blocks/mux/MuxHeader.java,1,1,0,0,0
src/org/jgroups/blocks/RspCollector.java,3,3,0,0,0
src/org/jgroups/blocks/Cache.java,12,12,0,0,0
src/org/jgroups/blocks/GridFile.java,44,43,0,1,0
src/org/jgroups/blocks/ConnectionMap.java,1,1,0,0,0
src/org/jgroups/blocks/ReplCache.java,86,86,0,0,0
src/org/jgroups/blocks/ReplicatedMap.java,8,8,0,0,0
src/org/jgroups/blocks/TCPConnectionMap.java,90,89,1,0,0
src/org/jgroups/blocks/ReplicatedHashMap.java,37,36,0,0,1
src/org/jgroups/blocks/MemcachedConnector.java,47,46,0,0,1
src/org/jgroups/blocks/MethodCall.java,28,28,0,0,0
src/org/jgroups/blocks/AbstractConnectionMap.java,7,6,1,0,0
src/org/jgroups/blocks/RpcDispatcher.java,25,25,0,0,0
src/org/jgroups/protocols/tom/DeliveryThread.java,4,2,2,0,0
src/org/jgroups/protocols/tom/DeliveryManagerImpl.java,5,1,4,0,0
src/org/jgroups/protocols/RSVP.java,23,22,1,0,0
src/org/jgroups/protocols/MPING.java,33,30,1,0,2
src/org/jgroups/protocols/package.html,3,0,3,0,0
src/org/jgroups/protocols/DISCARD.java,25,23,0,0,2
src/org/jgroups/protocols/ENCRYPT.java,57,38,1,5,13
src/org/jgroups/protocols/relay/RELAY2.java,63,60,3,0,0
src/org/jgroups/protocols/relay/config/RelayConfig.java,41,40,0,1,0
src/org/jgroups/protocols/relay/CanBeSiteMaster.java,14,14,0,0,0
src/org/jgroups/protocols/pbcast/JoinRsp.java,2,2,0,0,0
src/org/jgroups/protocols/pbcast/StreamingStateTransfer.java,49,47,2,0,0
src/org/jgroups/protocols/pbcast/STATE_TRANSFER.java,37,37,0,0,0
src/org/jgroups/protocols/S3_PING.java,184,143,7,31,3
src/org/jgroups/protocols/pbcast/GMS.java,104,103,1,0,0
src/org/jgroups/protocols/pbcast/GmsImpl.java,15,15,0,0,0
src/org/jgroups/protocols/pbcast/NakAckHeader2.java,7,7,0,0,0
src/org/jgroups/protocols/pbcast/Merger.java,74,74,0,0,0
src/org/jgroups/protocols/pbcast/STATE.java,12,11,1,0,0
src/org/jgroups/protocols/pbcast/MergeData.java,2,2,0,0,0
src/org/jgroups/protocols/pbcast/FLUSH.java,22,21,1,0,0
src/org/jgroups/protocols/pbcast/NAKACK.java,112,109,2,1,0
src/org/jgroups/protocols/pbcast/NakAckHeader.java,7,7,0,0,0
src/org/jgroups/protocols/pbcast/STABLE.java,53,52,0,0,1
src/org/jgroups/protocols/FILE_PING.java,20,18,2,0,0
src/org/jgroups/protocols/Discovery.java,78,76,1,1,0
src/org/jgroups/protocols/FORWARD_TO_COORD.java,29,27,2,0,0
src/org/jgroups/protocols/PING.java,2,2,0,0,0
src/org/jgroups/protocols/RATE_LIMITER.java,22,22,0,0,0
src/org/jgroups/protocols/TP.java,248,243,3,0,2
src/org/jgroups/protocols/FD_PING.java,13,13,0,0,0
src/org/jgroups/protocols/SHARED_LOOPBACK.java,16,16,0,0,0
src/org/jgroups/protocols/DELAY.java,12,11,0,0,1
src/org/jgroups/protocols/AUTH.java,15,15,0,0,0
src/org/jgroups/protocols/MFC.java,9,9,0,0,0
src/org/jgroups/protocols/FC.java,74,71,3,0,0
src/org/jgroups/protocols/UNICAST2.java,104,102,2,0,0
src/org/jgroups/protocols/SCOPE.java,38,37,1,0,0
src/org/jgroups/protocols/HTOTAL.java,13,13,0,0,0
src/org/jgroups/protocols/FragHeader.java,8,5,0,3,0
src/org/jgroups/protocols/PingData.java,15,15,0,0,0
src/org/jgroups/protocols/COUNTER.java,83,83,0,0,0
src/org/jgroups/protocols/PEER_LOCK.java,11,11,0,0,0
src/org/jgroups/protocols/DUPL.java,22,22,0,0,0
src/org/jgroups/protocols/STOMP.java,58,58,0,0,0
src/org/jgroups/protocols/JDBC_PING.java,19,13,6,0,0
src/org/jgroups/protocols/UNICAST.java,82,80,2,0,0
src/org/jgroups/protocols/FRAG.java,42,41,1,0,0
src/org/jgroups/protocols/CENTRAL_LOCK.java,28,27,1,0,0
src/org/jgroups/protocols/TCP_NIO.java,18,17,1,0,0
src/org/jgroups/protocols/Locking.java,99,92,7,0,0
src/org/jgroups/protocols/RELAY.java,66,65,1,0,0
src/org/jgroups/protocols/BSH.java,13,11,0,2,0
src/org/jgroups/protocols/DELAY_JOIN_REQ.java,10,10,0,0,0
src/org/jgroups/protocols/FD_SOCK.java,89,87,2,0,0
src/org/jgroups/protocols/FD_SIMPLE.java,29,27,1,0,1
src/org/jgroups/protocols/CENTRAL_EXECUTOR.java,13,12,1,0,0
src/org/jgroups/protocols/FD.java,45,42,3,0,0
src/org/jgroups/protocols/AuthHeader.java,1,1,0,0,0
src/org/jgroups/util/ResponseCollector.java,2,1,0,1,0
src/org/jgroups/util/package.html,3,0,3,0,0
src/org/jgroups/util/Promise.java,8,7,0,1,0
src/org/jgroups/util/SuppressCache.java,2,2,0,0,0
src/org/jgroups/util/FixedSizeBitSet.java,4,4,0,0,0
src/org/jgroups/util/SuppressLog.java,8,8,0,0,0
src/org/jgroups/util/TopologyUUID.java,28,28,0,0,0
src/org/jgroups/util/ResourceManager.java,29,25,0,0,4
src/org/jgroups/util/SingletonAddress.java,3,2,1,0,0
src/org/jgroups/util/StackType.java,3,3,0,0,0
src/org/jgroups/util/Digest.java,20,17,3,0,0
src/org/jgroups/util/Streamable.java,2,2,0,0,0
src/org/jgroups/util/Seqno.java,1,1,0,0,0
src/org/jgroups/util/CustomRejectionPolicy.java,6,6,0,0,0
src/org/jgroups/util/Headers.java,7,7,0,0,0
src/org/jgroups/util/MutableDigest.java,16,16,0,0,0
src/org/jgroups/util/ExposedByteArrayInputStream.java,13,7,6,0,0
src/org/jgroups/util/RingBuffer.java,26,24,2,0,0
src/org/jgroups/util/Util.java,366,330,7,6,23
src/org/jgroups/util/Buffer.java,2,2,0,0,0
src/org/jgroups/util/SeqnoRange.java,15,15,0,0,0
src/org/jgroups/util/ExposedDataOutputStream.java,6,3,3,0,0
src/org/jgroups/demos/applets/DrawApplet.java,54,46,5,2,1
src/org/jgroups/util/ConcurrentLinkedBlockingQueue.java,8,8,0,0,0
src/org/jgroups/util/AdditionalDataUUID.java,9,9,0,0,0
src/org/jgroups/util/PayloadUUID.java,9,9,0,0,0
src/org/jgroups/util/BoundedList.java,2,2,0,0,0
src/org/jgroups/Global.java,10,10,0,0,0
src/org/jgroups/conf/PropertyConverters.java,33,30,0,0,3
src/org/jgroups/conf/ProtocolConfiguration.java,12,12,0,0,0
src/org/jgroups/conf/PropertyHelper.java,18,18,0,0,0
src/org/jgroups/demos/applets/draw.html,3,0,3,0,0
src/org/jgroups/demos/Draw.java,84,76,3,3,2
src/org/jgroups/demos/wb/MessageDialog.java,3,3,0,0,0
src/org/jgroups/demos/wb/Node.java,15,4,0,11,0
