entity,coupled,cochanges
.gitlab-ci.yml,pom.xml,3
build.xml,src/changes/changes.xml,3
pom.xml,src/changes/changes.xml,3
pom.xml,src/main/assembly/source-jar-assembly.xml,3
pom.xml,src/main/java/org/orekit/annotation/DefaultDataContext.java,3
pom.xml,src/main/java/org/orekit/compiler/plugin/DefaultDataContextPlugin.java,3
pom.xml,src/site/markdown/release-guide.md,3
pom.xml,src/test/java/org/orekit/compiler/plugin/DefaultDataContextPluginTest.java,3
src/changes/changes.xml,src/main/java/org/orekit/attitudes/AttitudesSequence.java,5
src/changes/changes.xml,src/main/java/org/orekit/bodies/Ellipsoid.java,3
src/changes/changes.xml,src/main/java/org/orekit/data/ZipJarCrawler.java,4
src/changes/changes.xml,src/main/java/org/orekit/errors/OrekitMessages.java,4
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/EstimatedMeasurement.java,3
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/InterSatellitesRange.java,3
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/MultiplexedMeasurement.java,3
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/ObservedMeasurement.java,3
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/generation/EventBasedScheduler.java,3
src/changes/changes.xml,src/main/java/org/orekit/estimation/measurements/gnss/PhaseBuilder.java,3
src/changes/changes.xml,src/main/java/org/orekit/forces/maneuvers/ImpulseManeuver.java,3
src/changes/changes.xml,src/main/java/org/orekit/forces/radiation/SolarRadiationPressure.java,4
src/changes/changes.xml,src/main/java/org/orekit/frames/ITRFVersionLoader.java,3
src/changes/changes.xml,src/main/java/org/orekit/geometry/fov/PolygonalFieldOfView.java,3
src/changes/changes.xml,src/main/java/org/orekit/gnss/Frequency.java,3
src/changes/changes.xml,src/main/java/org/orekit/gnss/RinexLoader.java,4
src/changes/changes.xml,src/main/java/org/orekit/gnss/YUMAParser.java,3
src/changes/changes.xml,src/main/java/org/orekit/gnss/attitude/GPSBlockIIA.java,3
src/changes/changes.xml,src/main/java/org/orekit/models/earth/atmosphere/DTM2000.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/AbstractDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/AdapterDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/AlignmentDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/AltitudeDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/AngularSeparationDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/ApsideDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/CircularFieldOfViewDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/DateDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/EclipseDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/ElevationDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/EventDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/EventEnablingPredicateFilter.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/EventShifter.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/EventsLogger.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/FieldOfView.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/FieldOfViewDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/FootprintOverlapDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/GroundFieldOfViewDetector.java,4
src/changes/changes.xml,src/main/java/org/orekit/propagation/events/NodeDetector.java,3
src/changes/changes.xml,src/main/java/org/orekit/propagation/semianalytical/dsst/forces/DSSTSolarRadiationPressure.java,3
src/changes/changes.xml,src/main/java/org/orekit/time/AbsoluteDate.java,4
src/changes/changes.xml,src/main/java/org/orekit/utils/ParameterDriversList.java,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_da.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_de.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_el.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_en.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_es.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_fr.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_gl.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_it.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_no.utf8,3
src/changes/changes.xml,src/main/resources/assets/org/orekit/localization/OrekitMessages_ro.utf8,3
src/changes/changes.xml,src/site/markdown/downloads.md.vm,3
src/changes/changes.xml,src/site/markdown/index.md,3
src/changes/changes.xml,src/test/java/org/orekit/attitudes/AttitudesSequenceTest.java,3
src/changes/changes.xml,src/test/java/org/orekit/errors/OrekitMessagesTest.java,4
