entity,n-revs,bugs,added,removed
.CI/README,1,0,1,0
.CI/maven-settings.xml,3,0,40,0
.gitlab-ci.yml,16,0,127,48
.mailmap,3,0,119,91
BUILDING.txt,3,0,7,49
CONTRIBUTING.md,2,0,7,1
Jenkinsfile,13,0,59,30
NOTICE.txt,2,0,3,3
README.md,14,0,134,46
README.txt,1,0,0,31
annotation/pom.xml,2,0,26,26
build.xml,6,0,210,149
checkstyle.xml,9,0,128,104
plugin/pom.xml,2,0,48,48
plugin/src/main/resources/META-INF/services/com.sun.source.util.Plugin,2,0,1,1
pom.xml,43,0,1140,923
spotbugs-exclude-filter.xml,10,0,401,296
src/changes/changes.xml,128,1,3930,5946
src/design/attitude-class-diagram.puml,2,0,3,3
src/design/available-propagators-class-diagram.puml,2,0,3,3
src/design/bodyshape-class-diagram.puml,2,0,3,3
src/design/celestial-bodies-class-diagram.puml,2,0,3,3
src/design/custom-parser-class-diagram.puml,4,0,60,5
src/design/data-context-class-diagram.puml,5,0,251,123
src/design/data-filtering-class-diagram.puml,3,0,84,3
src/design/data-filtering-sequence-diagram.puml,3,0,105,3
src/design/data-loaders-data-providers-class-diagram.puml,5,0,47,55
src/design/dsst-partial-derivatives-class-diagram.puml,3,0,94,3
src/design/dsst-propagation-sequence-diagram.puml,2,0,3,3
src/design/dsst-propagator-class-diagram.puml,3,0,8,8
src/design/dsst-tesseral-contribution-class-diagram.puml,2,0,3,3
src/design/dsst-third-body-class-diagram.puml,2,0,3,3
src/design/dsst-zonal-contribution-class-diagram.puml,2,0,3,3
src/design/ephemeris-generation-mode-sequence-diagram.puml,2,0,3,3
src/design/events-class-diagram.puml,2,0,3,3
src/design/events-sequence-diagram.puml,2,0,3,3
src/design/field.puml,2,0,3,3
src/design/frames-class-diagram.puml,2,0,3,3
src/design/gnss-antenna-class-diagram.puml,2,0,3,3
src/design/gnss-rinex-class-diagram.puml,2,0,3,3
src/design/kalman-overview-class-diagram.puml,2,0,3,3
src/design/master-mode-sequence-diagram.puml,2,0,3,3
src/design/measurements-generation-class-diagram.puml,3,0,4,4
src/design/numerical-propagation-sequence-diagram.puml,2,0,3,3
src/design/orbit-determination-measurements-class-diagram.puml,2,0,3,3
src/design/orbit-determination-overview-class-diagram.puml,2,0,3,3
src/design/orbit-determination-parameters-class-diagram.puml,2,0,3,3
src/design/orbits-class-diagram.puml,2,0,3,3
src/design/partial-derivatives-class-diagram.puml,2,0,3,3
src/design/propagation-class-diagram.puml,2,0,3,3
src/design/propagator-conversion-class-diagram.puml,2,0,3,3
src/design/sampling-class-diagram.puml,2,0,3,3
src/design/slave-mode-sequence-diagram.puml,2,0,3,3
src/design/tessellation-class-diagram.puml,2,0,3,3
src/design/time-class-diagram.puml,2,0,3,3
src/design/top-packages.puml,4,0,11,8
src/design/utils-class-diagram.puml,2,0,3,3
src/main/assembly/source-distribution-assembly.xml,4,0,28,54
src/main/assembly/source-jar-assembly.xml,3,0,22,70
src/main/java/org/orekit/annotation/DefaultDataContext.java,4,0,38,1
src/main/java/org/orekit/attitudes/Attitude.java,2,0,3,3
src/main/java/org/orekit/attitudes/AttitudeProvider.java,3,0,4,6
src/main/java/org/orekit/attitudes/AttitudeProviderModifier.java,2,0,3,3
src/main/java/org/orekit/attitudes/AttitudesSequence.java,8,0,10,30
src/main/java/org/orekit/attitudes/BodyCenterPointing.java,3,0,3,6
src/main/java/org/orekit/attitudes/CelestialBodyPointed.java,3,0,3,6
src/main/java/org/orekit/attitudes/FieldAttitude.java,2,0,3,3
src/main/java/org/orekit/attitudes/FixedRate.java,3,0,3,6
src/main/java/org/orekit/attitudes/GroundPointing.java,3,0,3,6
src/main/java/org/orekit/attitudes/InertialProvider.java,6,0,43,12
src/main/java/org/orekit/attitudes/LofOffset.java,4,0,9,12
src/main/java/org/orekit/attitudes/LofOffsetPointing.java,3,0,3,6
src/main/java/org/orekit/attitudes/NadirPointing.java,3,0,3,6
src/main/java/org/orekit/attitudes/SpinStabilized.java,3,0,3,6
src/main/java/org/orekit/attitudes/TabulatedLofOffset.java,3,0,3,70
src/main/java/org/orekit/attitudes/TabulatedProvider.java,3,0,3,58
src/main/java/org/orekit/attitudes/TargetPointing.java,3,0,3,6
src/main/java/org/orekit/attitudes/YawCompensation.java,3,0,3,6
src/main/java/org/orekit/attitudes/YawSteering.java,3,0,3,6
src/main/java/org/orekit/attitudes/package-info.java,2,0,3,3
src/main/java/org/orekit/bodies/BodyShape.java,2,0,3,3
src/main/java/org/orekit/bodies/CR3BPFactory.java,3,0,73,6
src/main/java/org/orekit/bodies/CR3BPSystem.java,17,0,860,410
src/main/java/org/orekit/bodies/CelestialBodies.java,3,0,119,1
src/main/java/org/orekit/bodies/CelestialBody.java,2,0,3,3
src/main/java/org/orekit/bodies/CelestialBodyFactory.java,6,0,69,168
src/main/java/org/orekit/bodies/CelestialBodyLoader.java,2,0,3,3
src/main/java/org/orekit/bodies/Ellipse.java,3,0,26,15
src/main/java/org/orekit/bodies/Ellipsoid.java,6,0,93,40
src/main/java/org/orekit/bodies/FieldGeodeticPoint.java,3,0,10,14
src/main/java/org/orekit/bodies/GeodeticPoint.java,3,0,13,3
src/main/java/org/orekit/bodies/IAUPole.java,3,0,4,4
src/main/java/org/orekit/bodies/JPLCelestialBody.java,4,0,14,4
src/main/java/org/orekit/bodies/JPLEphemeridesLoader.java,9,0,91,58
src/main/java/org/orekit/bodies/LazyLoadedCelestialBodies.java,6,0,400,42
src/main/java/org/orekit/bodies/OneAxisEllipsoid.java,5,0,15,7
src/main/java/org/orekit/bodies/PosVelChebyshev.java,2,0,3,3
src/main/java/org/orekit/bodies/PredefinedIAUPoles.java,6,0,386,200
src/main/java/org/orekit/bodies/package-info.java,2,0,3,3
src/main/java/org/orekit/compiler/plugin/DefaultDataContextPlugin.java,6,0,264,59
src/main/java/org/orekit/data/AbstractListCrawler.java,10,0,173,9
src/main/java/org/orekit/data/AbstractSelfFeedingLoader.java,4,0,91,3
src/main/java/org/orekit/data/BodiesElements.java,2,0,3,3
src/main/java/org/orekit/data/ClasspathCrawler.java,8,0,21,13
src/main/java/org/orekit/data/CompositeDataContext.java,3,0,92,1
src/main/java/org/orekit/data/DataContext.java,11,0,116,12
src/main/java/org/orekit/data/DataFilter.java,2,0,3,3
src/main/java/org/orekit/data/DataLoader.java,2,0,3,3
src/main/java/org/orekit/data/DataProvider.java,6,0,45,10
src/main/java/org/orekit/data/DataProvidersManager.java,8,0,27,44
src/main/java/org/orekit/data/DefaultDataContextHolder.java,5,0,51,3
src/main/java/org/orekit/data/DelaunayArguments.java,2,0,3,3
src/main/java/org/orekit/data/DirectoryCrawler.java,8,0,33,24
src/main/java/org/orekit/data/ExceptionalDataContext.java,2,0,72,1
src/main/java/org/orekit/data/FieldBodiesElements.java,2,0,3,3
src/main/java/org/orekit/data/FieldDelaunayArguments.java,2,0,3,3
src/main/java/org/orekit/data/FilesListCrawler.java,4,0,75,4
src/main/java/org/orekit/data/FundamentalNutationArguments.java,7,0,84,24
src/main/java/org/orekit/data/GeneralTerm.java,3,0,3,4
src/main/java/org/orekit/data/GzipFilter.java,2,0,3,3
src/main/java/org/orekit/data/LazyLoadedDataContext.java,20,0,158,42
src/main/java/org/orekit/data/LuniSolarTerm.java,2,0,3,3
src/main/java/org/orekit/data/NamedData.java,2,0,3,3
src/main/java/org/orekit/data/NetworkCrawler.java,6,0,30,78
src/main/java/org/orekit/data/NoFarPlanetsTerm.java,3,0,3,4
src/main/java/org/orekit/data/NutationCodec.java,2,0,3,3
src/main/java/org/orekit/data/PlanetaryTerm.java,2,0,3,3
src/main/java/org/orekit/data/PoissonSeries.java,2,0,3,3
