"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.AbstractJavaTypeNode_java","0","0","0","10","59","0","5","false","4","2","3","3","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.symboltable.SimpleTypedNameDeclaration_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"pmd-vm.src.main.java.net.sourceforge.pmd.lang.vm.ast.ASTMathNode_java","0","0","0","6","27","0","0","false","2","0","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTDoStatement_java","0","0","0","7","43","0","2","false","5","0","2","4","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.errorprone.AvoidBranchingStatementAsLastInLoopRule_java","0","0","0","0","0","0","0","false","0","0","3","0","false"
"pmd-vm.src.main.java.net.sourceforge.pmd.lang.vm.directive.Macro_java","0","0","0","2","70","0","0","false","0","0","1","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.ast.QualifiedName_java","0","0","0","2","51","0","0","false","0","1","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.AbstractJavaParser_java","0","0","0","5","174","0","0","false","0","0","0","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.properties.BooleanProperty_java","0","0","0","0","0","0","0","false","0","1","2","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTThrowStatement_java","0","0","0","8","45","0","1","false","6","0","1","3","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.log.ScopedLogHandlersManager_java","0","0","0","1","6","0","0","false","0","0","0","0","false"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.metrics.impl.visitors.CognitiveComplexityVisitor_java","0","0","0","19","284","0","0","false","0","1","2","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.errorprone.SuspiciousOctalEscapeRule_java","0","0","0","0","0","0","0","false","0","0","1","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.errorprone.AssignmentInOperandRule_java","0","0","0","7","102","0","2","false","2","0","4","1","false"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.ast.ConstraintType_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTConditionalAndExpression_java","0","0","0","9","32","0","0","false","5","1","0","3","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.datasource.DataSource_java","0","0","0","1","3","0","0","false","0","1","0","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.properties.MethodProperty_java","0","0","0","0","0","0","0","false","0","2","2","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.lang.dfa.report.AbstractReportNode_java","0","0","0","0","0","1","0","false","0","0","1","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.viewer.gui.ActionCommands_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.typeresolution.typedefinition.TypeDefinition_java","0","0","0","1","4","0","0","false","0","0","0","0","false"
"pmd-plsql.src.main.java.net.sourceforge.pmd.lang.plsql.symboltable.SourceFileScope_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pmd-javascript.src.main.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTName_java","0","0","0","3","33","0","0","false","1","0","2","0","false"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.rule.codestyle.FieldNamingConventionsRule_java","0","0","0","2","14","0","0","false","0","0","1","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.properties.AbstractMultiPackagedProperty_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.cpd.token.AntlrTokenFilter_java","0","0","0","4","13","0","0","false","0","2","1","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.datasource.ReaderDataSource_java","0","0","0","1","4","0","0","false","0","1","0","0","false"
"pmd-javascript.src.main.java.net.sourceforge.pmd.lang.ecmascript.ast.ASTWithStatement_java","0","0","0","3","15","0","0","false","1","0","2","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.symboltable.SourceFileScope_java","0","0","0","0","0","1","0","false","0","1","3","0","false"
"pmd-jsp.src.main.java.net.sourceforge.pmd.lang.jsp.rule.JspRuleChainVisitor_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.properties.StringMultiProperty_java","0","0","0","0","0","0","0","false","0","1","1","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.designer.CodeEditorTextPane_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.SingleLineComment_java","0","0","0","2","8","0","0","false","0","0","0","0","false"
"pmd-core.src.main.java.net.sourceforge.pmd.util.designer.CreateXMLRulePanel_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.AbstractAnyTypeDeclaration_java","0","0","0","22","275","1","1","false","5","2","4","2","false"
"pmd-core.src.main.java.net.sourceforge.pmd.dcd.graph.MemberNodeComparator_java","0","0","0","2","52","0","0","false","0","1","0","0","false"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTDmlDeleteStatement_java","0","0","0","3","14","0","0","false","1","0","1","1","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.ast.ASTReferenceType_java","0","0","0","9","98","0","2","false","5","2","1","3","false"
"pmd-java.src.main.java.net.sourceforge.pmd.lang.java.rule.codestyle.MethodArgumentCouldBeFinalRule_java","0","0","0","0","0","0","0","false","0","0","2","0","false"
"pmd-apex.src.main.java.net.sourceforge.pmd.lang.apex.ast.ASTBinaryExpression_java","0","0","0","3","14","0","0","false","1","0","1","1","false"
"pmd-jsp.src.main.java.net.sourceforge.pmd.lang.jsp.ast.ASTJspDirectiveAttribute_java","0","0","0","6","48","0","0","false","1","0","0","1","false"
