entity,n-revs,bugs,added,removed
.github/ISSUE_TEMPLATE/bug_report.md,3,0,27,6
.github/ISSUE_TEMPLATE/config.yml,1,0,8,0
.github/ISSUE_TEMPLATE/feature_request.md,2,0,21,1
.github/ISSUE_TEMPLATE/new_rule.md,2,0,28,1
.github/ISSUE_TEMPLATE/question.md,2,0,15,1
.github/ISSUE_TEMPLATE/rule_violation.md,3,0,33,1
.github/PULL_REQUEST_TEMPLATE.md,1,0,16,7
.gitignore,2,0,4,0
.mvn/wrapper/MavenWrapperDownloader.java,1,0,117,0
.mvn/wrapper/maven-wrapper.jar,1,0,0,0
.mvn/wrapper/maven-wrapper.properties,1,0,2,1
.travis.yml,17,0,39,51
.travis/before_install.sh,3,0,25,3
.travis/build-deploy.sh,13,0,117,176
.travis/build-doc.sh,11,0,288,192
.travis/build-publish.sh,3,0,59,31
.travis/common-functions.sh,2,0,28,20
.travis/github-releases-api.sh,4,0,229,15
.travis/install-openjdk.sh,7,0,91,29
.travis/logger.sh,1,0,7,2
.travis/pmd-code-api.sh,2,0,94,0
.travis/regression-tester.sh,1,0,79,0
.travis/release.sh,2,0,34,167
.travis/secrets.tar.enc,1,0,0,0
.travis/setup-secrets.sh,5,0,48,7
.travis/sourceforge-api.sh,2,0,166,0
404.html,175,0,317,192
CONTRIBUTING.md,2,0,11,10
Gemfile,2,0,1,1
Gemfile.lock,1,0,86,0
LICENSE,1,0,0,168
NOTICE,1,0,0,4
README.md,5,0,19,8
TODO.md,3,0,33,66
code_of_conduct.md,1,0,129,0
css/pmd-customstyles.css,2,0,65,1
do-release.sh,6,0,55,10
docs/Gemfile.lock,5,0,139,139
docs/_config.yml,22,0,51,42
docs/_data/sidebars/pmd_sidebar.yml,13,0,65,11
docs/_data/xpath_funs.yml,5,0,74,19
docs/_includes/custom/faq_entry.html,2,0,21,21
docs/_includes/custom/xpath_fun_doc.html,7,0,236,135
docs/_plugins/custom_filters.rb,3,0,28,13
docs/_plugins/details_block.rb,1,0,22,0
docs/_plugins/javadoc_tag.rb,2,0,4,4
