entity,n-revs,bugs,added,removed
.asf.yaml,2,0,43,0
.ci/chart_test.sh,2,0,57,0
.ci/clusters/values-bk-tls.yaml,1,0,68,0
.ci/clusters/values-broker-tls.yaml,1,0,70,0
.ci/clusters/values-function.yaml,1,0,60,0
.ci/clusters/values-jwt-asymmetric.yaml,1,0,76,0
.ci/clusters/values-jwt-symmetric.yaml,1,0,76,0
.ci/clusters/values-local-pv.yaml,1,0,57,0
.ci/clusters/values-pulsar-image.yaml,1,0,88,0
.ci/clusters/values-tls.yaml,1,0,74,0
.ci/clusters/values-zk-tls.yaml,1,0,68,0
.ci/clusters/values-zkbk-tls.yaml,1,0,70,0
.ci/ct.sh,1,0,185,0
.ci/git.sh,1,0,35,0
.ci/helm.sh,2,0,164,1
.ci/lint.sh,1,0,25,0
.ci/tls/certs/ca.cert.pem,1,0,34,0
.ci/tls/private/ca.key.pem,1,0,54,0
.ci/tls/servers/bookie/bookie.cert.pem,1,0,34,0
.ci/tls/servers/bookie/bookie.csr.pem,1,0,18,0
.ci/tls/servers/bookie/bookie.key-pk8.pem,1,0,28,0
.ci/tls/servers/bookie/bookie.key.pem,1,0,27,0
.ci/tls/servers/broker/broker.cert.pem,1,0,34,0
.ci/tls/servers/broker/broker.csr.pem,1,0,18,0
.ci/tls/servers/broker/broker.key-pk8.pem,1,0,28,0
.ci/tls/servers/broker/broker.key.pem,1,0,27,0
.ci/tls/servers/proxy/proxy.cert.pem,1,0,34,0
.ci/tls/servers/proxy/proxy.csr.pem,1,0,17,0
.ci/tls/servers/proxy/proxy.key-pk8.pem,1,0,28,0
.ci/tls/servers/proxy/proxy.key.pem,1,0,27,0
.ci/tls/servers/recovery/recovery.cert.pem,1,0,34,0
.ci/tls/servers/recovery/recovery.csr.pem,1,0,18,0
.ci/tls/servers/recovery/recovery.key-pk8.pem,1,0,28,0
.ci/tls/servers/recovery/recovery.key.pem,1,0,27,0
.ci/tls/servers/toolset/toolset.cert.pem,1,0,34,0
.ci/tls/servers/toolset/toolset.csr.pem,1,0,18,0
.ci/tls/servers/toolset/toolset.key-pk8.pem,1,0,28,0
.ci/tls/servers/toolset/toolset.key.pem,1,0,27,0
.ci/tls/servers/zookeeper/zookeeper.cert.pem,1,0,34,0
.ci/tls/servers/zookeeper/zookeeper.csr.pem,1,0,18,0
.ci/tls/servers/zookeeper/zookeeper.key-pk8.pem,1,0,28,0
.ci/tls/servers/zookeeper/zookeeper.key.pem,1,0,27,0
.github/PULL_REQUEST_TEMPLATE.md,1,0,1,1
.github/workflows/ci-cpp.yaml,8,0,92,17
.github/workflows/ci-go-functions-style.yaml,8,0,79,9
.github/workflows/ci-go-functions-test.yaml,7,0,68,8
.github/workflows/ci-integration-backwards-compatibility.yaml,10,0,95,24
.github/workflows/ci-integration-cli.yaml,9,0,94,23
.github/workflows/ci-integration-function-state.yaml,9,0,94,23
.github/workflows/ci-integration-messaging.yaml,9,0,94,23
.github/workflows/ci-integration-process.yaml,12,0,135,27
.github/workflows/ci-integration-schema.yaml,9,0,94,23
.github/workflows/ci-integration-sql.yaml,11,0,103,32
.github/workflows/ci-integration-standalone.yaml,9,0,94,23
.github/workflows/ci-integration-thread.yaml,12,0,135,27
.github/workflows/ci-integration-tiered-filesystem.yaml,9,0,94,23
.github/workflows/ci-integration-tiered-jcloud.yaml,9,0,94,23
.github/workflows/ci-license.yaml,8,0,78,23
.github/workflows/ci-pulsarbot.yaml,5,0,44,2
.github/workflows/ci-unit-adaptors.yml,8,0,94,11
.github/workflows/ci-unit-broker-sasl.yml,8,0,90,11
.github/workflows/ci-unit-broker.yml,14,0,463,30
.github/workflows/ci-unit-flaky.yaml,10,0,118,19
.github/workflows/ci-unit-proxy.yaml,8,0,96,13
.github/workflows/ci-unit.yaml,12,0,118,17
.github/workflows/pulsar.yml,3,0,57,10
.github/workflows/pulsar_bk_tls.yml,3,0,57,10
.github/workflows/pulsar_broker_tls.yml,3,0,57,10
.github/workflows/pulsar_function.yml,3,0,59,10
.github/workflows/pulsar_image.yml,3,0,57,10
.github/workflows/pulsar_jwt_asymmetric.yml,3,0,59,10
.github/workflows/pulsar_jwt_symmetric.yml,3,0,60,11
.github/workflows/pulsar_tls.yml,3,0,59,12
.github/workflows/pulsar_zk_tls.yml,3,0,59,12
.github/workflows/pulsar_zkbk_tls.yml,3,0,59,12
.gitignore,4,0,8,4
README.md,10,0,55,9
bin/bookkeeper,1,0,1,1
bin/function-localrunner,2,0,2,2
bin/pulsar,12,0,36,14
bin/pulsar-admin,1,0,1,1
bin/pulsar-client,1,0,1,1
bin/pulsar-daemon,5,0,10,1
bin/pulsar-managed-ledger-admin,1,0,18,18
bin/pulsar-perf,2,0,7,1
bouncy-castle/bc-shaded/pom.xml,5,0,261,6
bouncy-castle/bc/LICENSE,3,0,630,0
bouncy-castle/bc/pom.xml,5,0,194,2
bouncy-castle/bc/src/main/java/org/apache/pulsar/bcloader/BouncyCastleLoader.java,3,0,141,0
bouncy-castle/bc/src/main/resources/META-INF/services/bouncy-castle.yaml,3,0,66,0
bouncy-castle/bcfips-include-test/pom.xml,5,0,287,2
bouncy-castle/bcfips-include-test/src/test/java/org/apache/pulsar/client/TlsProducerConsumerBase.java,3,0,333,0
bouncy-castle/bcfips-include-test/src/test/java/org/apache/pulsar/client/TlsProducerConsumerTest.java,3,0,390,0
bouncy-castle/bcfips-include-test/src/test/resources/authentication/tls/broker-cert.pem,3,0,219,0
bouncy-castle/bcfips-include-test/src/test/resources/authentication/tls/broker-key.pem,3,0,84,0
bouncy-castle/bcfips-include-test/src/test/resources/authentication/tls/cacert.pem,3,0,186,0
bouncy-castle/bcfips-include-test/src/test/resources/authentication/tls/client-cert.pem,3,0,219,0
bouncy-castle/bcfips-include-test/src/test/resources/authentication/tls/client-key.pem,3,0,84,0
bouncy-castle/bcfips-nar-test/pom.xml,5,0,308,2
bouncy-castle/bcfips-nar-test/src/test/java/org/apache/pulsar/client/TlsProducerConsumerBase.java,3,0,387,0
bouncy-castle/bcfips-nar-test/src/test/java/org/apache/pulsar/client/TlsProducerConsumerTest.java,3,0,390,0
bouncy-castle/bcfips-nar-test/src/test/resources/authentication/tls/broker-cert.pem,3,0,219,0
bouncy-castle/bcfips-nar-test/src/test/resources/authentication/tls/broker-key.pem,3,0,84,0
bouncy-castle/bcfips-nar-test/src/test/resources/authentication/tls/cacert.pem,3,0,186,0
bouncy-castle/bcfips-nar-test/src/test/resources/authentication/tls/client-cert.pem,3,0,219,0
bouncy-castle/bcfips-nar-test/src/test/resources/authentication/tls/client-key.pem,3,0,84,0
bouncy-castle/bcfips/LICENSE,3,0,627,0
bouncy-castle/bcfips/pom.xml,5,0,194,2
bouncy-castle/bcfips/src/main/java/org/apache/pulsar/bcloader/BouncyCastleFipsLoader.java,3,0,141,0
bouncy-castle/bcfips/src/main/resources/META-INF/services/bouncy-castle.yaml,3,0,66,0
bouncy-castle/pom.xml,5,0,146,2
build/docker/Dockerfile,2,0,15,2
buildtools/pom.xml,12,0,26,12
buildtools/src/main/java/org/apache/pulsar/tests/PulsarTestListener.java,1,0,8,9
conf/bkenv.sh,5,0,6,6
conf/bookkeeper.conf,4,0,19,11
conf/broker.conf,62,0,332,32
conf/discovery.conf,1,0,3,0
