entity,n-revs,bugs,added,removed
.gitattributes,2,0,16,0
.gitignore,3,0,7,0
CONTRIBUTING.md,7,0,61,53
LICENSE.txt,1,0,202,0
README.md,5,0,5,5
SECURITY.md,1,0,11,0
build.gradle,248,0,941,887
buildSrc/README.md,4,0,54,13
buildSrc/build.gradle,8,0,41,11
buildSrc/gradle.properties,1,0,1,0
buildSrc/settings.gradle,3,0,10,9
buildSrc/spring-build-src.gradle,1,0,0,10
buildSrc/src/main/groovy/org/springframework/build/gradle/TestSourceSetDependenciesPlugin.groovy,1,0,0,55
buildSrc/src/main/java/org/springframework/build/api/ApiDiffPlugin.java,2,0,117,2
buildSrc/src/main/java/org/springframework/build/compile/CompilerConventionsPlugin.java,4,0,120,14
buildSrc/src/main/java/org/springframework/build/optional/OptionalDependenciesPlugin.java,1,0,64,0
buildSrc/src/main/java/org/springframework/build/testsources/TestSourcesPlugin.java,12,0,159,159
buildSrc/src/main/resources/META-INF/gradle-plugins/test-source-set-dependencies.properties,1,0,0,1
ci/README.adoc,1,0,51,0
ci/images/README.adoc,1,0,21,0
ci/images/get-jdk-url.sh,1,0,20,0
ci/images/setup.sh,1,0,31,0
ci/images/spring-framework-ci-image/Dockerfile,1,0,8,0
ci/images/spring-framework-jdk11-ci-image/Dockerfile,1,0,8,0
ci/images/spring-framework-jdk14-ci-image/Dockerfile,1,0,8,0
ci/images/spring-framework-jdk15-ci-image/Dockerfile,1,0,8,0
ci/parameters.yml,1,0,14,0
ci/pipeline.yml,6,0,360,39
ci/scripts/build-project.sh,1,0,9,0
ci/scripts/check-project.sh,1,0,8,0
ci/scripts/common.sh,1,0,2,0
ci/tasks/build-project.yml,1,0,21,0
ci/tasks/check-project.yml,1,0,21,0
framework-bom/framework-bom.gradle,9,0,28,37
framework-bom/spring-framework-bom.txt,2,0,0,4
gradle.properties,52,0,58,55
gradle/build-cache-settings.gradle,4,0,38,20
gradle/build-scan-user-data.gradle,9,0,125,125
gradle/custom-java-home.gradle,6,0,110,30
gradle/docs.gradle,25,0,372,363
gradle/ide.gradle,2,0,2,4
gradle/jdiff.gradle,1,0,0,76
gradle/jdiff/LICENSE.txt,1,0,0,506
gradle/jdiff/Null.java,1,0,0,9
gradle/jdiff/README-SPRING.txt,1,0,0,6
gradle/jdiff/README.txt,1,0,0,59
gradle/jdiff/antjdiff.jar,1,0,0,0
gradle/jdiff/background.gif,1,0,0,0
gradle/jdiff/black.gif,1,0,0,0
gradle/jdiff/jdiff.html,1,0,0,1032
gradle/jdiff/jdiff.jar,1,0,0,0
gradle/jdiff/jdiff_logo.gif,1,0,0,0
gradle/jdiff/new.gif,1,0,0,0
gradle/jdiff/xerces.jar,1,0,0,0
gradle/publications.gradle,6,0,70,6
gradle/publish-maven.gradle,16,0,147,140
gradle/wrapper/gradle-wrapper.jar,4,0,0,0
gradle/wrapper/gradle-wrapper.properties,12,0,12,13
gradlew,4,0,32,30
gradlew.bat,6,0,204,208
import-into-eclipse.md,6,0,40,37
integration-tests/integration-tests.gradle,13,0,46,16
integration-tests/src/test/java/.gitignore,2,0,0,0
integration-tests/src/test/java/org/springframework/aop/config/AopNamespaceHandlerScopeIntegrationTests.java,8,0,76,81
integration-tests/src/test/java/org/springframework/aop/framework/autoproxy/AdvisorAutoProxyCreatorIntegrationTests.java,10,0,48,49
integration-tests/src/test/java/org/springframework/beans/factory/xml/Component.java,2,0,4,2
integration-tests/src/test/java/org/springframework/beans/factory/xml/ComponentBeanDefinitionParser.java,2,0,2,4
integration-tests/src/test/java/org/springframework/beans/factory/xml/ComponentBeanDefinitionParserTests.java,4,0,34,31
integration-tests/src/test/java/org/springframework/beans/factory/xml/ComponentFactoryBean.java,2,0,4,2
integration-tests/src/test/java/org/springframework/beans/factory/xml/ComponentNamespaceHandler.java,2,0,4,6
integration-tests/src/test/java/org/springframework/cache/annotation/EnableCachingIntegrationTests.java,5,0,18,21
integration-tests/src/test/java/org/springframework/context/annotation/jsr330/ClassPathBeanDefinitionScannerJsr330ScopeIntegrationTests.java,7,0,82,78
integration-tests/src/test/java/org/springframework/context/annotation/scope/ClassPathBeanDefinitionScannerScopeIntegrationTests.java,5,0,73,70
integration-tests/src/test/java/org/springframework/core/env/EnvironmentSystemIntegrationTests.java,6,0,111,120
integration-tests/src/test/java/org/springframework/core/env/PropertyPlaceholderConfigurerEnvironmentIntegrationTests.java,3,0,3,3
integration-tests/src/test/java/org/springframework/core/env/scan1/Config.java,1,0,0,0
integration-tests/src/test/java/org/springframework/core/env/scan1/DevConfig.java,1,0,0,0
integration-tests/src/test/java/org/springframework/core/env/scan1/ProdConfig.java,1,0,0,0
integration-tests/src/test/java/org/springframework/core/env/scan2/DevBean.java,1,0,0,0
integration-tests/src/test/java/org/springframework/core/env/scan2/ProdBean.java,1,0,0,0
integration-tests/src/test/java/org/springframework/expression/spel/support/BeanFactoryTypeConverter.java,1,0,0,0
integration-tests/src/test/java/org/springframework/expression/spel/support/Spr7538Tests.java,3,0,10,13
integration-tests/src/test/java/org/springframework/scheduling/annotation/ScheduledAndTransactionalAnnotationIntegrationTests.java,10,0,42,57
integration-tests/src/test/java/org/springframework/transaction/annotation/EnableTransactionManagementIntegrationTests.java,9,0,54,81
integration-tests/src/test/java/org/springframework/transaction/annotation/ProxyAnnotationDiscoveryTests.java,5,0,21,24
integration-tests/src/test/resources/META-INF/spring.handlers,3,0,2,2
integration-tests/src/test/resources/META-INF/spring.schemas,3,0,2,2
integration-tests/src/test/resources/log4j2-test.xml,1,0,0,0
