FileName,SqTotalIssues,SqCodeSmells,SqBugs,SqVulnerabilities,SqSecurityHotspots
spring-core/src/main/java/org/springframework/asm/ClassReader.java,353,353,0,0,0
spring-test/src/main/java/org/springframework/test/web/reactive/server/HeaderAssertions.java,1,0,1,0,0
spring-test/src/main/java/org/springframework/test/web/reactive/server/DefaultWebTestClient.java,3,3,0,0,0
spring-test/src/main/java/org/springframework/test/web/reactive/server/HttpHandlerConnector.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/reactive/server/StatusAssertions.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/reactive/server/DefaultWebTestClientBuilder.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/ResultHandler.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/setup/StandaloneMockMvcBuilder.java,5,5,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/setup/StubWebApplicationContext.java,32,30,2,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/result/RequestResultMatchers.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/result/CookieResultMatchers.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/result/FlashAttributeResultMatchers.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/result/HandlerResultMatchers.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/result/MockMvcResultMatchers.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/request/MockHttpServletRequestBuilder.java,5,4,1,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/htmlunit/MockWebResponseBuilder.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/htmlunit/HtmlUnitRequestBuilder.java,9,1,2,0,6
spring-test/src/main/java/org/springframework/test/web/servlet/htmlunit/MockMvcWebConnectionBuilderSupport.java,1,0,1,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/htmlunit/MockMvcWebConnection.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/MockMvc.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/servlet/ResultMatcher.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/MergedContextConfiguration.java,7,7,0,0,0
spring-test/src/main/java/org/springframework/test/web/client/match/XpathRequestMatchers.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/web/client/match/MockRestRequestMatchers.java,7,6,1,0,0
spring-test/src/main/java/org/springframework/test/web/client/MockMvcClientHttpRequestFactory.java,4,3,1,0,0
spring-test/src/main/java/org/springframework/test/web/client/MockRestServiceServer.java,8,6,2,0,0
spring-test/src/main/java/org/springframework/test/web/client/DefaultRequestExpectation.java,2,1,1,0,0
spring-test/src/main/java/org/springframework/test/web/ModelAndViewAssert.java,2,1,1,0,0
spring-test/src/main/java/org/springframework/test/util/AopTestUtils.java,4,4,0,0,0
spring-test/src/main/java/org/springframework/test/util/JsonExpectationsHelper.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/util/XmlExpectationsHelper.java,4,3,0,1,0
spring-test/src/main/java/org/springframework/test/annotation/ProfileValueUtils.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/support/DefaultTestContext.java,11,8,3,0,0
spring-test/src/main/java/org/springframework/test/context/support/AbstractDirtiesContextTestExecutionListener.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/context/support/TestPropertySourceUtils.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/context/support/DelegatingSmartContextLoader.java,3,2,1,0,0
spring-test/src/main/java/org/springframework/test/context/support/AbstractTestContextBootstrapper.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/context/support/ContextLoaderUtils.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/transaction/TestContextTransactionUtils.java,5,5,0,0,0
spring-test/src/main/java/org/springframework/test/context/transaction/TransactionalTestExecutionListener.java,3,3,0,0,0
spring-test/src/main/java/org/springframework/test/context/junit4/SpringJUnit4ClassRunner.java,3,3,0,0,0
spring-test/src/main/java/org/springframework/test/context/junit4/rules/SpringMethodRule.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/context/web/socket/MockServerContainerContextCustomizerFactory.java,2,2,0,0,0
spring-test/src/main/java/org/springframework/test/context/web/AnnotationConfigWebContextLoader.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/web/WebDelegatingSmartContextLoader.java,3,2,1,0,0
spring-test/src/main/java/org/springframework/test/context/junit/jupiter/web/SpringJUnitWebConfig.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/junit/jupiter/AbstractExpressionEvaluatingCondition.java,4,2,2,0,0
spring-test/src/main/java/org/springframework/test/context/TestContextManager.java,10,9,1,0,0
spring-test/src/main/java/org/springframework/test/context/jdbc/MergedSqlConfig.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/test/context/BootstrapUtils.java,5,5,0,0,0
spring-test/src/main/java/org/springframework/test/context/ContextConfigurationAttributes.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/mock/web/reactive/function/server/MockServerRequest.java,6,6,0,0,0
spring-test/src/main/java/org/springframework/mock/web/MockExpressionEvaluator.java,14,14,0,0,0
spring-test/src/main/java/org/springframework/mock/web/MockJspWriter.java,1,1,0,0,0
spring-test/src/main/java/org/springframework/mock/web/MockCookie.java,2,0,0,0,2
spring-test/src/main/java/org/springframework/mock/web/HeaderValueHolder.java,0,0,0,0,0
spring-test/src/main/java/org/springframework/mock/web/MockMultipartHttpServletRequest.java,3,2,1,0,0
spring-test/src/test/java/org/springframework/test/web/servlet/result/ModelResultMatchersTests.java,10,10,0,0,0
spring-test/src/main/java/org/springframework/mock/http/server/reactive/MockServerHttpRequest.java,6,6,0,0,0
spring-test/src/main/java/org/springframework/mock/http/server/reactive/MockServerHttpResponse.java,3,3,0,0,0
spring-test/src/main/java/org/springframework/mock/jndi/ExpectedLookupTemplate.java,0,0,0,0,0
spring-test/src/main/java/org/springframework/mock/jndi/SimpleNamingContextBuilder.java,6,5,1,0,0
spring-test/src/test/java/org/springframework/test/web/servlet/samples/spr/RequestContextHolderTests.java,1,1,0,0,0
spring-test/src/test/java/org/springframework/test/web/servlet/DefaultMvcResultTests.java,1,1,0,0,0
spring-test/src/test/java/org/springframework/test/web/client/match/MockRestRequestMatchersTests.java,9,9,0,0,0
spring-test/src/test/java/org/springframework/test/web/client/match/JsonPathRequestMatchersTests.java,23,23,0,0,0
