"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"src.main.org.apache.tools.ant.types.resources.ContentTransformingResource_java","0","0","0","1","2","0","0","false","0","2","1","0","false"
"src.main.org.apache.tools.ant.util.JAXPUtils_java","0","0","0","1","2","1","0","false","0","3","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ejb.EJBDeploymentTool_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ssh.Scp_java","0","0","0","2","5","0","0","false","0","0","8","0","false"
"src.main.org.apache.tools.ant.taskdefs.DiagnosticsTask_java","0","0","0","1","2","0","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.depend.constantpool.PackageCPInfo_java","0","0","0","2","19","1","0","false","0","0","1","0","false"
"src.etc.testcases.taskdefs.optional.depend.src1.E_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.rmic.RmicAdapter_java","0","0","0","1","2","0","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.input.InputHandler_java","0","0","0","1","2","0","0","false","0","2","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.depend.ClassFileIterator_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.types.resources.comparators.Date_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.util.depend.bcel.DependencyVisitor_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.bzip2.CRC_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.depend.constantpool.MethodRefCPInfo_java","0","0","0","1","2","1","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.types.selectors.DepthSelector_java","0","0","0","1","2","0","0","false","0","2","1","0","false"
"src.main.org.apache.tools.ant.RuntimeConfigurable_java","0","0","0","3","18","1","0","false","3","4","2","0","false"
"src.main.org.apache.tools.ant.types.resources.Union_java","0","0","0","2","10","1","0","false","0","5","3","0","false"
"src.main.org.apache.tools.ant.types.resources.selectors.ResourceSelectorContainer_java","0","0","0","2","15","1","0","false","0","1","1","0","false"
"src.main.org.apache.tools.ant.types.selectors.PosixGroupSelector_java","0","0","0","1","2","0","0","false","0","2","0","0","false"
"src.main.org.apache.tools.ant.types.optional.ScriptCondition_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.attribute.AttributeNamespace_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.UpToDate_java","0","0","0","1","2","0","0","false","0","5","3","0","false"
"src.main.org.apache.tools.ant.taskdefs.PathConvert_java","0","0","0","1","2","0","0","false","0","5","3","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.net.MimeMail_java","0","0","0","2","4","0","0","false","0","0","1","0","false"
"src.etc.testcases.taskdefs.rmic.src.RemoteTimestamp_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.rmic.SunRmic_java","0","0","0","1","2","1","0","false","0","1","2","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.junit.IgnoredTestListener_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.util.regexp.JakartaOroRegexp_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl_java","0","0","0","5","76","0","0","false","5","0","2","1","false"
"src.main.org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.Rename_java","0","0","0","1","2","0","0","false","0","2","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessage_java","0","0","0","2","9","0","0","false","0","0","2","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.confined.ForkDefinition_java","0","0","0","3","59","0","0","false","1","0","2","0","false"
"src.main.org.apache.tools.ant.types.selectors.ExtendFileSelector_java","0","0","0","1","2","0","0","false","0","1","2","0","false"
"src.main.org.apache.tools.ant.util.DOMUtils_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.types.optional.depend.DependScanner_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.util.ConcatFileInputStream_java","0","0","0","1","2","0","0","false","0","2","0","0","false"
"src.main.org.apache.tools.ant.IntrospectionHelper_java","0","0","0","4","32","1","0","false","3","5","7","0","false"
"src.main.org.apache.tools.ant.types.selectors.ContainsSelector_java","0","0","0","1","2","0","0","false","0","4","2","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.jsp.Jasper41Mangler_java","0","0","0","1","2","0","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.util.OutputStreamFunneler_java","0","0","0","1","2","0","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.depend.constantpool.FloatCPInfo_java","0","0","0","1","2","1","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.helper.ProjectHelper2_java","0","0","0","5","76","1","0","false","4","2","4","0","false"
"src.main.org.apache.tools.ant.taskdefs.rmic.KaffeRmic_java","0","0","0","1","2","1","0","false","0","1","1","0","false"
"src.main.org.apache.tools.ant.DirectoryScanner_java","0","0","0","5","34","1","0","false","2","6","3","0","false"
"src.main.org.apache.tools.ant.BuildException_java","0","0","0","3","4","1","0","false","1","12","1","0","false"
"src.etc.testcases.taskdefs.optional.depend.src2.B_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.sos.SOSCheckout_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.filters.HeadFilter_java","0","0","0","3","30","0","0","false","3","1","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.Property_java","0","0","0","3","31","1","0","false","0","3","2","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapterFactory_java","0","0","0","1","2","1","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.util.LazyHashtable_java","0","0","0","3","16","0","0","false","2","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.condition.Or_java","0","0","0","1","2","0","0","false","0","2","2","0","false"
"src.main.org.apache.tools.zip.ZipEntry_java","0","0","0","2","4","1","0","false","0","0","3","0","false"
"src.main.org.apache.tools.ant.util.Tokenizer_java","0","0","0","1","2","0","0","false","0","1","1","0","false"
"src.main.org.apache.tools.ant.DynamicObjectAttribute_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner_java","0","0","0","2","20","1","0","false","0","0","1","0","false"
"src.main.org.apache.tools.ant.taskdefs.optional.ccm.Continuus_java","0","0","0","1","2","0","0","false","0","0","3","0","false"
"src.main.org.apache.tools.ant.taskdefs.rmic.XNewRmic_java","0","0","0","2","6","1","0","false","0","0","2","0","false"
"src.main.org.apache.tools.ant.types.Permissions_java","0","0","0","3","6","0","0","false","2","2","0","2","false"
"src.main.org.apache.tools.ant.util.optional.WeakishReference12_java","0","0","0","1","2","0","0","false","0","1","0","0","false"
"src.main.org.apache.tools.ant.filters.FixCrLfFilter_java","0","0","0","4","48","0","0","false","2","1","0","0","false"
