IssueType,Issue Size,#Changes,Tot Loc changed
PackageCycle1,151.0,307.0,2037.0
PackageCycle2,106.0,238.0,1517.0
PackageCycle3,104.0,230.0,1625.0
PackageCycle4,62.0,121.0,840.0
PackageCycle5,55.0,139.0,1067.0
PackageCycle6,53.0,128.0,1017.0
PackageCycle7,53.0,107.0,805.0
PackageCycle8,47.0,74.0,340.0
PackageCycle9,42.0,80.0,569.0
PackageCycle10,38.0,90.0,826.0
PackageCycle11,34.0,73.0,639.0
PackageCycle12,33.0,61.0,479.0
PackageCycle13,31.0,62.0,508.0
PackageCycle14,28.0,53.0,342.0
PackageCycle15,26.0,56.0,312.0
PackageCycle16,24.0,33.0,106.0
PackageCycle17,22.0,50.0,411.0
PackageCycle18,22.0,41.0,254.0
PackageCycle19,21.0,44.0,430.0
PackageCycle20,17.0,37.0,234.0
PackageCycle21,16.0,29.0,444.0
PackageCycle22,14.0,33.0,343.0
PackageCycle23,12.0,26.0,188.0
PackageCycle24,12.0,17.0,48.0
PackageCycle25,9.0,10.0,20.0
PackageCycle26,9.0,18.0,136.0
PackageCycle27,8.0,8.0,16.0
PackageCycle28,8.0,23.0,160.0
PackageCycle29,7.0,8.0,16.0
PackageCycle30,7.0,7.0,14.0
PackageCycle31,7.0,9.0,30.0
PackageCycle32,7.0,13.0,54.0
PackageCycle33,7.0,13.0,83.0
PackageCycle34,6.0,8.0,30.0
PackageCycle35,6.0,13.0,58.0
PackageCycle36,6.0,8.0,28.0
PackageCycle37,6.0,25.0,172.0
PackageCycle38,6.0,10.0,150.0
PackageCycle39,5.0,7.0,27.0
PackageCycle40,5.0,9.0,50.0
PackageCycle41,5.0,7.0,37.0
PackageCycle42,4.0,16.0,156.0
PackageCycle43,4.0,14.0,179.0
PackageCycle44,3.0,15.0,154.0
PackageCycle45,3.0,10.0,24.0

PackageCycle-All,511.0,877.0,5221.0
