IssueType,Issue Size,#Changes,Tot Loc changed
UnhealthyInheritance1,251.0,520.0,7701.0
UnhealthyInheritance2,91.0,200.0,1754.0
UnhealthyInheritance3,56.0,122.0,4645.0
UnhealthyInheritance4,52.0,111.0,1920.0
UnhealthyInheritance5,42.0,97.0,778.0
UnhealthyInheritance6,31.0,101.0,2730.0
UnhealthyInheritance7,24.0,53.0,275.0
UnhealthyInheritance8,24.0,52.0,1553.0
UnhealthyInheritance9,20.0,26.0,82.0
UnhealthyInheritance10,16.0,33.0,539.0
UnhealthyInheritance11,15.0,23.0,114.0
UnhealthyInheritance12,12.0,15.0,36.0
UnhealthyInheritance13,12.0,15.0,46.0
UnhealthyInheritance14,10.0,13.0,37.0
UnhealthyInheritance15,10.0,23.0,1353.0
UnhealthyInheritance16,10.0,24.0,132.0
UnhealthyInheritance17,10.0,18.0,162.0
UnhealthyInheritance18,10.0,22.0,118.0
UnhealthyInheritance19,9.0,24.0,144.0
UnhealthyInheritance20,7.0,15.0,88.0
UnhealthyInheritance21,7.0,12.0,53.0
UnhealthyInheritance22,7.0,12.0,35.0
UnhealthyInheritance23,7.0,9.0,36.0
UnhealthyInheritance24,7.0,26.0,535.0
UnhealthyInheritance25,6.0,6.0,12.0
UnhealthyInheritance26,6.0,8.0,28.0
UnhealthyInheritance27,6.0,14.0,91.0
UnhealthyInheritance28,6.0,6.0,12.0
UnhealthyInheritance29,6.0,13.0,62.0
UnhealthyInheritance30,6.0,17.0,167.0
UnhealthyInheritance31,6.0,9.0,18.0
UnhealthyInheritance32,6.0,6.0,12.0
UnhealthyInheritance33,6.0,8.0,37.0
UnhealthyInheritance34,6.0,17.0,109.0
UnhealthyInheritance35,6.0,10.0,46.0
UnhealthyInheritance36,6.0,20.0,156.0
UnhealthyInheritance37,5.0,8.0,29.0
UnhealthyInheritance38,5.0,10.0,154.0
UnhealthyInheritance39,5.0,10.0,82.0
UnhealthyInheritance40,5.0,17.0,134.0
UnhealthyInheritance41,5.0,8.0,20.0
UnhealthyInheritance42,5.0,18.0,152.0
UnhealthyInheritance43,5.0,17.0,156.0
UnhealthyInheritance44,5.0,5.0,10.0
UnhealthyInheritance45,5.0,20.0,113.0
UnhealthyInheritance46,5.0,25.0,1222.0
UnhealthyInheritance47,5.0,16.0,269.0
UnhealthyInheritance48,4.0,15.0,105.0
UnhealthyInheritance49,4.0,6.0,30.0
UnhealthyInheritance50,4.0,5.0,10.0
UnhealthyInheritance51,4.0,10.0,84.0
UnhealthyInheritance52,4.0,7.0,23.0
UnhealthyInheritance53,4.0,7.0,2132.0
UnhealthyInheritance54,4.0,14.0,49.0
UnhealthyInheritance55,4.0,11.0,114.0
UnhealthyInheritance56,4.0,4.0,8.0
UnhealthyInheritance57,4.0,4.0,8.0
UnhealthyInheritance58,4.0,7.0,75.0
UnhealthyInheritance59,4.0,17.0,77.0
UnhealthyInheritance60,4.0,8.0,23.0
UnhealthyInheritance61,4.0,8.0,54.0
UnhealthyInheritance62,4.0,8.0,29.0
UnhealthyInheritance63,4.0,7.0,16.0
UnhealthyInheritance64,4.0,5.0,10.0
UnhealthyInheritance65,4.0,4.0,8.0
UnhealthyInheritance66,4.0,6.0,28.0
UnhealthyInheritance67,4.0,6.0,108.0
UnhealthyInheritance68,4.0,17.0,350.0
UnhealthyInheritance69,3.0,6.0,25.0
UnhealthyInheritance70,3.0,9.0,22.0
UnhealthyInheritance71,3.0,5.0,14.0
UnhealthyInheritance72,3.0,3.0,6.0
UnhealthyInheritance73,3.0,11.0,80.0
UnhealthyInheritance74,3.0,7.0,40.0
UnhealthyInheritance75,3.0,3.0,6.0
UnhealthyInheritance76,3.0,11.0,162.0
UnhealthyInheritance77,3.0,8.0,39.0
UnhealthyInheritance78,3.0,11.0,86.0
UnhealthyInheritance79,3.0,7.0,37.0
UnhealthyInheritance80,3.0,3.0,6.0
UnhealthyInheritance81,3.0,14.0,224.0
UnhealthyInheritance82,3.0,5.0,19.0
UnhealthyInheritance83,3.0,4.0,10.0
UnhealthyInheritance84,3.0,8.0,39.0
UnhealthyInheritance85,3.0,3.0,6.0
UnhealthyInheritance86,3.0,3.0,6.0
UnhealthyInheritance87,3.0,3.0,6.0
UnhealthyInheritance88,3.0,4.0,32.0
UnhealthyInheritance89,3.0,6.0,16.0
UnhealthyInheritance90,3.0,4.0,9.0
UnhealthyInheritance91,3.0,3.0,6.0
UnhealthyInheritance92,3.0,3.0,6.0
UnhealthyInheritance93,3.0,11.0,57.0
UnhealthyInheritance94,3.0,4.0,8.0
UnhealthyInheritance95,3.0,8.0,74.0
UnhealthyInheritance96,3.0,3.0,6.0
UnhealthyInheritance97,3.0,15.0,788.0
UnhealthyInheritance98,3.0,8.0,39.0
UnhealthyInheritance99,3.0,6.0,29.0
UnhealthyInheritance100,3.0,5.0,14.0
UnhealthyInheritance101,3.0,3.0,6.0
UnhealthyInheritance102,3.0,5.0,14.0
UnhealthyInheritance103,3.0,6.0,25.0

UnhealthyInheritance-All,539.0,968.0,11684.0
