Index,Size
PackageCycle1,151
PackageCycle2,106
PackageCycle3,104
PackageCycle4,62
PackageCycle5,55
PackageCycle6,53
PackageCycle7,53
PackageCycle8,47
PackageCycle9,42
PackageCycle10,38
PackageCycle11,34
PackageCycle12,33
PackageCycle13,31
PackageCycle14,28
PackageCycle15,26
PackageCycle16,24
PackageCycle17,22
PackageCycle18,22
PackageCycle19,21
PackageCycle20,17
PackageCycle21,16
PackageCycle22,14
PackageCycle23,12
PackageCycle24,12
PackageCycle25,9
PackageCycle26,9
PackageCycle27,8
PackageCycle28,8
PackageCycle29,7
PackageCycle30,7
PackageCycle31,7
PackageCycle32,7
PackageCycle33,7
PackageCycle34,6
PackageCycle35,6
PackageCycle36,6
PackageCycle37,6
PackageCycle38,6
PackageCycle39,5
PackageCycle40,5
PackageCycle41,5
PackageCycle42,4
PackageCycle43,4
PackageCycle44,3
PackageCycle45,3

