Index,Size
UnhealthyInheritance1,251
UnhealthyInheritance2,91
UnhealthyInheritance3,56
UnhealthyInheritance4,52
UnhealthyInheritance5,42
UnhealthyInheritance6,31
UnhealthyInheritance7,24
UnhealthyInheritance8,24
UnhealthyInheritance9,20
UnhealthyInheritance10,16
UnhealthyInheritance11,15
UnhealthyInheritance12,12
UnhealthyInheritance13,12
UnhealthyInheritance14,10
UnhealthyInheritance15,10
UnhealthyInheritance16,10
UnhealthyInheritance17,10
UnhealthyInheritance18,10
UnhealthyInheritance19,9
UnhealthyInheritance20,7
UnhealthyInheritance21,7
UnhealthyInheritance22,7
UnhealthyInheritance23,7
UnhealthyInheritance24,7
UnhealthyInheritance25,6
UnhealthyInheritance26,6
UnhealthyInheritance27,6
UnhealthyInheritance28,6
UnhealthyInheritance29,6
UnhealthyInheritance30,6
UnhealthyInheritance31,6
UnhealthyInheritance32,6
UnhealthyInheritance33,6
UnhealthyInheritance34,6
UnhealthyInheritance35,6
UnhealthyInheritance36,6
UnhealthyInheritance37,5
UnhealthyInheritance38,5
UnhealthyInheritance39,5
UnhealthyInheritance40,5
UnhealthyInheritance41,5
UnhealthyInheritance42,5
UnhealthyInheritance43,5
UnhealthyInheritance44,5
UnhealthyInheritance45,5
UnhealthyInheritance46,5
UnhealthyInheritance47,5
UnhealthyInheritance48,4
UnhealthyInheritance49,4
UnhealthyInheritance50,4
UnhealthyInheritance51,4
UnhealthyInheritance52,4
UnhealthyInheritance53,4
UnhealthyInheritance54,4
UnhealthyInheritance55,4
UnhealthyInheritance56,4
UnhealthyInheritance57,4
UnhealthyInheritance58,4
UnhealthyInheritance59,4
UnhealthyInheritance60,4
UnhealthyInheritance61,4
UnhealthyInheritance62,4
UnhealthyInheritance63,4
UnhealthyInheritance64,4
UnhealthyInheritance65,4
UnhealthyInheritance66,4
UnhealthyInheritance67,4
UnhealthyInheritance68,4
UnhealthyInheritance69,3
UnhealthyInheritance70,3
UnhealthyInheritance71,3
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,3
UnhealthyInheritance75,3
UnhealthyInheritance76,3
UnhealthyInheritance77,3
UnhealthyInheritance78,3
UnhealthyInheritance79,3
UnhealthyInheritance80,3
UnhealthyInheritance81,3
UnhealthyInheritance82,3
UnhealthyInheritance83,3
UnhealthyInheritance84,3
UnhealthyInheritance85,3
UnhealthyInheritance86,3
UnhealthyInheritance87,3
UnhealthyInheritance88,3
UnhealthyInheritance89,3
UnhealthyInheritance90,3
UnhealthyInheritance91,3
UnhealthyInheritance92,3
UnhealthyInheritance93,3
UnhealthyInheritance94,3
UnhealthyInheritance95,3
UnhealthyInheritance96,3
UnhealthyInheritance97,3
UnhealthyInheritance98,3
UnhealthyInheritance99,3
UnhealthyInheritance100,3
UnhealthyInheritance101,3
UnhealthyInheritance102,3
UnhealthyInheritance103,3

