"FileName","ChangeChurn"
"src.main.org.apache.tools.ant.taskdefs.modules.Link_java","2124"
"src.etc.testcases.taskdefs.jmod_xml","1787"
"src.etc.testcases.taskdefs.link_xml","1400"
"src.main.org.apache.tools.ant.taskdefs.modules.Jmod_java","1286"
"src.tests.junit.org.apache.tools.ant.taskdefs.modules.LinkTest_java","986"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.LauncherSupport_java","745"
"manual.Tasks.imageio_html","710"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.JUnitLauncherTask_java","708"
"src.tests.junit.org.apache.tools.ant.taskdefs.modules.JmodTest_java","692"
"src.tests.junit.org.apache.tools.ant.taskdefs.optional.junitlauncher.JUnitLauncherTaskTest_java","630"
"manual.Tasks.link_html","596"
"manual.Tasks.image_graphml","503"
"manual.Tasks.imageio_graphml","500"
"src.main.org.apache.tools.ant.taskdefs.optional.image.ImageIOTask_java","442"
"src.tests.junit.org.apache.tools.ant.util.FileUtilsTest_java","421"
"src.etc.checkstyle.checkstyle-frames-sortby-check_xsl","394"
"src.etc.poms.ant.pom_xml","378"
"manual.Tasks.image_html","378"
"src.tests.junit.org.apache.tools.mail.MailMessageTest_java","369"
"src.etc.testcases.types.assertions_xml","358"
"contributors_xml","357"
"manual.Tasks.jmod_html","342"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.StandaloneLauncher_java","331"
"manual.Tasks.junitlauncher_html","285"
"build_xml","281"
"src.etc.testcases.taskdefs.optional.junitlauncher_xml","270"
"src.main.org.apache.tools.ant.taskdefs.optional.net.FTP_java","259"
"src.main.org.apache.tools.ant.taskdefs.Javadoc_java","255"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.TestClasses_java","230"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.ForkDefinition_java","226"
"src.main.org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter_java","213"
"src.main.org.apache.tools.ant.util.JavaEnvUtils_java","213"
"src.etc.testcases.types.selectors_xml","210"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.confined.JUnitLauncherTask_java","208"
"src.tests.junit.org.apache.tools.ant.DummyMailServer_java","205"
"WHATSNEW","193"
"src.main.org.apache.tools.ant.taskdefs.optional.junit.JUnitTask_java","192"
"src.tests.junit.org.example.junitlauncher.Tracker_java","182"
"src.main.org.apache.tools.ant.types.optional.imageio.Scale_java","172"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.SingleTestClass_java","171"
"src.main.org.apache.tools.ant.types.optional.imageio.Arc_java","164"
"src.tests.junit.org.apache.tools.ant.taskdefs.compilers.JavacExternalTest_java","161"
"ReleaseInstructions","159"
"src.etc.testcases.taskdefs.optional.unix.symlink_xml","158"
"src.main.org.apache.tools.ant.types.optional.imageio.Rotate_java","153"
"src.main.org.apache.tools.ant.AntClassLoader_java","152"
"src.main.org.apache.tools.ant.types.ModuleVersion_java","152"
"src.main.org.apache.tools.ant.util.FileUtils_java","148"
"src.etc.poms.ant-junit.pom_xml","148"
"src.tests.junit.org.apache.tools.ant.taskdefs.optional.image.ImageIOTest_java","147"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.TestDefinition_java","145"
"src.etc.testcases.taskdefs.optional.junit_xml","144"
"src.main.org.apache.tools.ant.taskdefs.optional.extension.Extension_java","140"
"src.main.org.apache.tools.ant.types.optional.imageio.Text_java","136"
"src.tests.junit.org.apache.tools.ant.types.ModuleVersionTest_java","134"
"src.etc.poms.ant-imageio.pom_xml","133"
"src.main.org.apache.tools.ant.types.CharSet_java","128"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.ListenerDefinition_java","125"
"src.tests.junit.org.apache.tools.ant.types.CharSetTest_java","119"
"src.main.org.apache.tools.bzip2.CBZip2OutputStream_java","118"
"src.etc.poms.ant-apache-xalan2.pom_xml","116"
"src.etc.testcases.taskdefs.optional.script.scriptdef_xml","115"
"snap.snapcraft_yaml","110"
"src.main.org.apache.tools.ant.types.optional.imageio.ColorMapper_java","110"
"src.tests.junit.org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapterTest_java","110"
"src.main.org.apache.tools.ant.taskdefs.compilers.JavacExternal_java","109"
"check_xml","108"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.Constants_java","108"
