"FileName","ChangeFreq"
"WHATSNEW","37"
"build_xml","23"
"src.etc.poms.ant.pom_xml","21"
"CONTRIBUTORS","16"
"src.main.org.apache.tools.ant.taskdefs.optional.net.FTP_java","15"
"contributors_xml","14"
"src.tests.junit.org.apache.tools.ant.taskdefs.optional.junitlauncher.JUnitLauncherTaskTest_java","12"
"src.etc.poms.ant-jdepend.pom_xml","12"
"src.main.org.apache.tools.ant.util.FileUtils_java","12"
"src.etc.poms.ant-junit.pom_xml","12"
"manual.install_html","11"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.LauncherSupport_java","11"
"src.etc.poms.pom_xml","11"
"src.etc.poms.ant-jai.pom_xml","11"
"src.etc.testcases.taskdefs.optional.junitlauncher_xml","10"
"src.etc.poms.ant-javamail.pom_xml","10"
"src.etc.poms.ant-jsch.pom_xml","10"
"lib.libraries_properties","10"
"src.etc.poms.ant-testutil.pom_xml","9"
"src.main.org.apache.tools.ant.Main_java","9"
"manual.Tasks.junitlauncher_html","9"
"src.etc.poms.ant-commons-net.pom_xml","9"
"src.etc.poms.ant-junitlauncher.pom_xml","9"
"src.etc.poms.ant-antlr.pom_xml","9"
"src.etc.poms.ant-apache-bsf.pom_xml","9"
"manual.Tasks.conditions_html","8"
"src.etc.poms.ant-apache-oro.pom_xml","8"
"src.etc.poms.ant-apache-bcel.pom_xml","8"
"check_xml","8"
"src.tests.junit.org.apache.tools.ant.util.ReaderInputStreamTest_java","8"
"src.etc.poms.ant-apache-xalan2.pom_xml","8"
"src.etc.poms.ant-netrexx.pom_xml","8"
"src.etc.poms.ant-junit4.pom_xml","8"
"src.etc.poms.ant-imageio.pom_xml","8"
"src.etc.poms.ant-launcher.pom_xml","8"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.TestRequest_java","8"
"src.etc.poms.ant-apache-regexp.pom_xml","8"
"src.main.org.apache.tools.zip.ZipOutputStream_java","8"
"src.etc.poms.ant-jmf.pom_xml","7"
"src.etc.poms.ant-apache-resolver.pom_xml","7"
"src.etc.poms.ant-commons-logging.pom_xml","7"
"src.etc.poms.ant-swing.pom_xml","7"
"src.main.org.apache.tools.ant.AntClassLoader_java","7"
"src.main.org.apache.tools.ant.taskdefs.optional.junit.JUnitTask_java","7"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.StandaloneLauncher_java","7"
"src.main.org.apache.tools.ant.taskdefs.Javadoc_java","7"
"src.etc.poms.ant-apache-log4j.pom_xml","7"
"sonarqube_xml","7"
"ReleaseInstructions","6"
"manual.Tasks.property_html","6"
"src.main.org.apache.tools.ant.Project_java","6"
"src.tests.junit.org.apache.tools.ant.util.FileUtilsTest_java","6"
"src.main.org.apache.tools.ant.types.EnumeratedAttribute_java","6"
"src.main.org.apache.tools.zip.ZipFile_java","6"
"src.main.org.apache.tools.ant.util.LayoutPreservingProperties_java","6"
"src.main.org.apache.tools.ant.taskdefs.AbstractJarSignerTask_java","6"
"manual.Tasks.link_html","6"
"src.main.org.apache.tools.ant.taskdefs.Manifest_java","6"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.confined.JUnitLauncherTask_java","6"
"src.main.org.apache.tools.ant.taskdefs.Delete_java","6"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.JUnitLauncherTask_java","6"
"src.main.org.apache.tools.ant.taskdefs.SignJar_java","6"
"manual.Tasks.ftp_html","6"
"src.main.org.apache.tools.ant.taskdefs.Zip_java","6"
"src.main.org.apache.tools.ant.taskdefs.compilers.JavacExternal_java","6"
"src.main.org.apache.tools.ant.types.XMLCatalog_java","6"
"fetch_xml","6"
"src.main.org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl_java","5"
"manual.properties_html","5"
"src.main.org.apache.tools.ant.types.resources.ZipResource_java","5"
"src.main.org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector_java","5"
"src.main.org.apache.tools.ant.util.DOMElementWriter_java","5"
"src.main.org.apache.tools.ant.types.AbstractFileSet_java","5"
"src.tests.junit.org.apache.tools.ant.types.XMLCatalogTest_java","5"
"src.tests.junit.org.apache.tools.ant.taskdefs.ExecStreamRedirectorTest_java","5"
"src.tests.junit.org.apache.tools.ant.types.PathTest_java","5"
"manual.Tasks.ejb_html","5"
"src.main.org.apache.tools.ant.types.Path_java","5"
"src.main.org.apache.tools.ant.helper.ProjectHelperImpl_java","5"
"src.etc.poms.ant-xz.pom_xml","5"
"src.main.org.apache.tools.ant.helper.ProjectHelper2_java","5"
"src.main.org.apache.tools.ant.DirectoryScanner_java","5"
"src.main.org.apache.tools.ant.taskdefs.optional.extension.Extension_java","5"
"src.main.org.apache.tools.ant.taskdefs.optional.XMLValidateTask_java","5"
"src.main.org.apache.tools.tar.TarBuffer_java","5"
"src.tests.junit.org.example.junitlauncher.Tracker_java","5"
"manual.Tasks.jmod_html","5"
"src.main.org.apache.tools.ant.taskdefs.Jar_java","5"
"src.main.org.apache.tools.ant.taskdefs.condition.IsReachable_java","5"
"src.main.org.apache.tools.ant.Diagnostics_java","5"
"src.etc.checkstyle.checkstyle-frames-sortby-check_xsl","5"
"src.tests.junit.org.apache.tools.ant.types.selectors.ModifiedSelectorTest_java","5"
"manual.Tasks.serverdeploy_html","5"
"src.main.org.apache.tools.ant.taskdefs.GenerateKey_java","5"
"manual.Tasks.javadoc_html","5"
"src.main.org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool_java","5"
"src.tests.junit.org.apache.tools.ant.BuildFileRule_java","4"
"src.tests.junit.org.apache.tools.ant.util.LayoutPreservingPropertiesTest_java","4"
"src.main.org.apache.tools.ant.filters.FixCrLfFilter_java","4"
"manual.Tasks.imageio_html","4"
"src.main.org.apache.tools.ant.types.ModuleVersion_java","4"
"src.main.org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.SingleTestClass_java","4"
"src.main.org.apache.tools.ant.taskdefs.AntStructure_java","4"
"src.tests.junit.org.apache.tools.ant.types.CharSetTest_java","4"
"src.tests.junit.org.apache.tools.ant.taskdefs.JavaTest_java","4"
"src.main.org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter_java","4"
"manual.tutorial-tasks-filesets-properties_html","4"
"src.main.org.apache.tools.ant.taskdefs.optional.unix.Symlink_java","4"
"manual.Tasks.scriptdef_html","4"
"src.main.org.apache.tools.ant.types.CharSet_java","4"
"src.main.org.apache.tools.ant.types.DirSet_java","4"
"src.main.org.apache.tools.ant.ComponentHelper_java","4"
"src.main.org.apache.tools.tar.TarInputStream_java","4"
"src.etc.jdepend-frames_xsl","4"
"manual.using_html","4"
"manual.Tasks.mimemail_html","4"
"src.tests.junit.org.apache.tools.ant.taskdefs.email.EmailTaskTest_java","4"
"src.main.org.apache.tools.ant.types.RedirectorElement_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.TraXLiaison_java","4"
"manual.cover_html","4"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.ListenerDefinition_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.SchemaValidate_java","4"
"manual.tasklist_html","4"
"src.main.org.apache.tools.ant.IntrospectionHelper_java","4"
"src.tests.junit.org.apache.tools.ant.taskdefs.SyncTest_java","4"
"bootstrap_bat","4"
"src.main.org.apache.tools.bzip2.BlockSort_java","4"
"src.main.org.apache.tools.zip.ZipLong_java","4"
"manual.Tasks.verifyjar_html","4"
"src.main.org.apache.tools.ant.util.KeepAliveInputStream_java","4"
"src.main.org.apache.tools.ant.util.JavaEnvUtils_java","4"
"src.main.org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm_java","4"
"src.main.org.apache.tools.ant.taskdefs.Javac_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.TestDefinition_java","4"
"src.main.org.apache.tools.ant.util.KeepAliveOutputStream_java","4"
"src.tests.junit.org.apache.tools.ant.BuildFileTest_java","4"
"src.main.org.apache.tools.ant.ArgumentProcessorRegistry_java","4"
"src.main.org.apache.tools.ant.taskdefs.defaults_properties","4"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.confined.ListenerDefinition_java","4"
"src.main.org.apache.tools.ant.taskdefs.Java_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.TestClasses_java","4"
"src.main.org.apache.tools.ant.types.PatternSet_java","4"
"src.main.org.apache.tools.ant.types.resources.Files_java","4"
"src.main.org.apache.tools.ant.taskdefs.EchoXML_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc_java","4"
"src.main.org.apache.tools.ant.AntTypeDefinition_java","4"
"src.main.org.apache.tools.zip.Simple8BitZipEncoding_java","4"
"src.etc.jdepend_xsl","4"
"src.main.org.apache.tools.bzip2.CBZip2OutputStream_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.image.Image_java","4"
"src.etc.testcases.taskdefs.link_xml","4"
"src.main.org.apache.tools.ant.types.resources.URLResource_java","4"
"src.main.org.apache.tools.ant.taskdefs.Jikes_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.image.ImageIOTask_java","4"
"docs_xml","4"
"src.main.org.apache.tools.ant.taskdefs.Sync_java","4"
"src.main.org.apache.tools.ant.taskdefs.optional.depend.AntAnalyzer_java","4"
"manual.Tasks.signjar_html","4"
"src.main.org.apache.tools.ant.RuntimeConfigurable_java","3"
"snap.snapcraft_yaml","3"
"src.main.org.apache.tools.ant.taskdefs.optional.junitlauncher.confined.ForkDefinition_java","3"
"src.main.org.apache.tools.ant.BuildException_java","3"
"src.main.org.apache.tools.ant.taskdefs.Property_java","3"
"src.main.org.apache.tools.ant.util.LazyHashtable_java","3"
