IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Clique1,789.0,46.0,891.0,1418.0,41635.0
Clique2,51.0,3.0,32.0,43.0,1185.0
Clique3,22.0,1.0,4.0,22.0,138.0
Clique4,9.0,0.0,0.0,7.0,67.0
Clique5,8.0,0.0,0.0,6.0,72.0
Clique6,8.0,0.0,0.0,17.0,412.0
Clique7,7.0,0.0,0.0,25.0,1107.0
Clique8,6.0,0.0,0.0,7.0,40.0
Clique9,6.0,0.0,0.0,2.0,14.0
Clique10,4.0,0.0,0.0,3.0,16.0
Clique11,4.0,0.0,0.0,6.0,39.0
Clique12,3.0,1.0,2.0,2.0,4.0
Clique13,3.0,0.0,0.0,3.0,1065.0
Clique14,2.0,0.0,0.0,2.0,536.0
Clique15,2.0,0.0,0.0,14.0,130.0
Clique16,2.0,0.0,0.0,0.0,0.0
Clique17,2.0,2.0,30.0,6.0,139.0
Clique18,2.0,0.0,0.0,0.0,0.0

Clique-All,930.0,53.0,959.0,1583.0,46599.0
