IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
ModularityViolation1,32.0,8.0,147.0,320.0,7434.0
ModularityViolation2,25.0,0.0,0.0,190.0,5756.0
ModularityViolation3,23.0,0.0,0.0,167.0,4552.0
ModularityViolation4,21.0,10.0,201.0,165.0,4394.0
ModularityViolation5,18.0,9.0,203.0,186.0,3787.0
ModularityViolation6,15.0,10.0,178.0,81.0,978.0
ModularityViolation7,14.0,6.0,114.0,160.0,4555.0
ModularityViolation8,10.0,3.0,31.0,105.0,3029.0
ModularityViolation9,6.0,1.0,15.0,28.0,913.0
ModularityViolation10,5.0,0.0,0.0,36.0,1802.0
ModularityViolation11,5.0,0.0,0.0,24.0,354.0
ModularityViolation12,4.0,0.0,0.0,16.0,986.0
ModularityViolation13,4.0,4.0,220.0,28.0,1240.0
ModularityViolation14,3.0,3.0,22.0,48.0,442.0
ModularityViolation15,3.0,0.0,0.0,20.0,1006.0
ModularityViolation16,2.0,0.0,0.0,8.0,227.0
ModularityViolation17,2.0,0.0,0.0,15.0,763.0
ModularityViolation18,2.0,0.0,0.0,8.0,338.0
ModularityViolation19,2.0,0.0,0.0,36.0,581.0
ModularityViolation20,2.0,0.0,0.0,10.0,82.0
ModularityViolation21,2.0,0.0,0.0,18.0,854.0
ModularityViolation22,2.0,0.0,0.0,8.0,57.0
ModularityViolation23,2.0,0.0,0.0,7.0,30.0
ModularityViolation24,2.0,2.0,16.0,16.0,290.0
ModularityViolation25,2.0,0.0,0.0,7.0,173.0

ModularityViolation-All,119.0,32.0,776.0,875.0,24694.0
