IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
PackageCycle1,149.0,0.0,0.0,247.0,6512.0
PackageCycle2,127.0,1.0,4.0,139.0,3709.0
PackageCycle3,117.0,19.0,297.0,241.0,6221.0
PackageCycle4,93.0,0.0,0.0,112.0,3505.0
PackageCycle5,93.0,16.0,235.0,226.0,6560.0
PackageCycle6,87.0,1.0,4.0,172.0,4063.0
PackageCycle7,73.0,8.0,294.0,116.0,3493.0
PackageCycle8,71.0,0.0,0.0,94.0,2870.0
PackageCycle9,70.0,12.0,240.0,107.0,2900.0
PackageCycle10,57.0,0.0,0.0,95.0,2684.0
PackageCycle11,53.0,7.0,299.0,191.0,5598.0
PackageCycle12,53.0,6.0,198.0,114.0,2741.0
PackageCycle13,52.0,1.0,4.0,114.0,2507.0
PackageCycle14,52.0,0.0,0.0,50.0,1457.0
PackageCycle15,51.0,1.0,4.0,47.0,1204.0
PackageCycle16,50.0,5.0,180.0,82.0,2352.0
PackageCycle17,50.0,1.0,21.0,67.0,1250.0
PackageCycle18,47.0,14.0,401.0,120.0,2668.0
PackageCycle19,47.0,4.0,88.0,71.0,1844.0
PackageCycle20,45.0,0.0,0.0,99.0,2168.0
PackageCycle21,45.0,7.0,288.0,175.0,4139.0
PackageCycle22,45.0,1.0,25.0,141.0,4006.0
PackageCycle23,44.0,11.0,253.0,75.0,1370.0
PackageCycle24,44.0,0.0,0.0,89.0,3265.0
PackageCycle25,43.0,12.0,278.0,143.0,3794.0
PackageCycle26,43.0,2.0,46.0,146.0,3599.0
PackageCycle27,42.0,12.0,257.0,126.0,1936.0
PackageCycle28,39.0,3.0,69.0,38.0,1062.0
PackageCycle29,37.0,1.0,28.0,30.0,902.0
PackageCycle30,37.0,2.0,49.0,66.0,1593.0
PackageCycle31,37.0,1.0,4.0,140.0,5411.0
PackageCycle32,35.0,4.0,89.0,120.0,3575.0
PackageCycle33,35.0,4.0,38.0,27.0,915.0
PackageCycle34,34.0,9.0,256.0,79.0,1659.0
PackageCycle35,33.0,2.0,29.0,148.0,3412.0
PackageCycle36,32.0,1.0,21.0,69.0,1617.0
PackageCycle37,31.0,0.0,0.0,28.0,540.0
PackageCycle38,31.0,2.0,38.0,115.0,3042.0
PackageCycle39,30.0,0.0,0.0,51.0,1847.0
PackageCycle40,30.0,1.0,21.0,54.0,1088.0
PackageCycle41,27.0,1.0,4.0,52.0,1206.0
PackageCycle42,26.0,7.0,360.0,71.0,1808.0
PackageCycle43,26.0,0.0,0.0,71.0,1143.0
PackageCycle44,26.0,1.0,21.0,60.0,1277.0
PackageCycle45,26.0,0.0,0.0,60.0,1770.0
PackageCycle46,26.0,5.0,169.0,105.0,3287.0
PackageCycle47,26.0,3.0,13.0,73.0,1670.0
PackageCycle48,25.0,2.0,20.0,108.0,2921.0
PackageCycle49,25.0,1.0,4.0,54.0,1080.0
PackageCycle50,25.0,1.0,21.0,64.0,1348.0
PackageCycle51,24.0,0.0,0.0,75.0,1955.0
PackageCycle52,24.0,7.0,140.0,66.0,1476.0
PackageCycle53,23.0,3.0,66.0,32.0,553.0
PackageCycle54,23.0,1.0,4.0,13.0,110.0
PackageCycle55,23.0,1.0,21.0,46.0,754.0
PackageCycle56,22.0,1.0,21.0,43.0,1021.0
PackageCycle57,21.0,0.0,0.0,47.0,801.0
PackageCycle58,21.0,1.0,15.0,70.0,1534.0
PackageCycle59,20.0,0.0,0.0,22.0,527.0
PackageCycle60,20.0,0.0,0.0,46.0,1223.0
PackageCycle61,19.0,1.0,28.0,21.0,268.0
PackageCycle62,19.0,0.0,0.0,11.0,112.0
PackageCycle63,18.0,6.0,114.0,41.0,815.0
PackageCycle64,18.0,0.0,0.0,12.0,99.0
PackageCycle65,18.0,1.0,4.0,54.0,776.0
PackageCycle66,17.0,0.0,0.0,44.0,2376.0
PackageCycle67,17.0,1.0,25.0,85.0,2916.0
PackageCycle68,17.0,1.0,4.0,65.0,709.0
PackageCycle69,17.0,1.0,4.0,43.0,433.0
PackageCycle70,17.0,1.0,21.0,31.0,659.0
PackageCycle71,16.0,0.0,0.0,42.0,1185.0
PackageCycle72,15.0,0.0,0.0,2.0,14.0
PackageCycle73,15.0,1.0,4.0,46.0,806.0
PackageCycle74,14.0,2.0,18.0,59.0,1873.0
PackageCycle75,14.0,1.0,4.0,71.0,1068.0
PackageCycle76,14.0,0.0,0.0,13.0,116.0
PackageCycle77,14.0,1.0,4.0,35.0,749.0
PackageCycle78,14.0,3.0,30.0,41.0,2727.0
