IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnhealthyInheritance1,236.0,40.0,864.0,572.0,16917.0
UnhealthyInheritance2,182.0,38.0,844.0,539.0,16496.0
UnhealthyInheritance3,163.0,22.0,425.0,468.0,14373.0
UnhealthyInheritance4,110.0,22.0,420.0,525.0,16183.0
UnhealthyInheritance5,106.0,2.0,7.0,251.0,7329.0
UnhealthyInheritance6,91.0,4.0,24.0,272.0,8423.0
UnhealthyInheritance7,87.0,19.0,544.0,342.0,10970.0
UnhealthyInheritance8,78.0,9.0,96.0,178.0,5947.0
UnhealthyInheritance9,66.0,36.0,784.0,269.0,8775.0
UnhealthyInheritance10,54.0,17.0,330.0,284.0,10261.0
UnhealthyInheritance11,46.0,1.0,3.0,150.0,4073.0
UnhealthyInheritance12,44.0,1.0,14.0,98.0,1711.0
UnhealthyInheritance13,40.0,7.0,47.0,176.0,5464.0
UnhealthyInheritance14,39.0,1.0,3.0,138.0,3904.0
UnhealthyInheritance15,38.0,3.0,50.0,57.0,1675.0
UnhealthyInheritance16,37.0,5.0,62.0,130.0,2754.0
UnhealthyInheritance17,37.0,5.0,245.0,78.0,2317.0
UnhealthyInheritance18,35.0,1.0,14.0,110.0,2506.0
UnhealthyInheritance19,34.0,0.0,0.0,51.0,1424.0
UnhealthyInheritance20,33.0,16.0,495.0,121.0,3915.0
UnhealthyInheritance21,32.0,4.0,46.0,125.0,2993.0
UnhealthyInheritance22,31.0,11.0,126.0,253.0,7208.0
UnhealthyInheritance23,28.0,1.0,8.0,31.0,487.0
UnhealthyInheritance24,27.0,6.0,80.0,123.0,3932.0
UnhealthyInheritance25,27.0,7.0,93.0,179.0,5814.0
UnhealthyInheritance26,26.0,2.0,36.0,117.0,3138.0
UnhealthyInheritance27,24.0,2.0,7.0,47.0,765.0
UnhealthyInheritance28,24.0,2.0,41.0,103.0,3736.0
UnhealthyInheritance29,24.0,0.0,0.0,126.0,1810.0
UnhealthyInheritance30,24.0,0.0,0.0,40.0,510.0
UnhealthyInheritance31,23.0,3.0,43.0,101.0,2941.0
UnhealthyInheritance32,22.0,0.0,0.0,99.0,2825.0
UnhealthyInheritance33,22.0,0.0,0.0,30.0,896.0
UnhealthyInheritance34,21.0,2.0,169.0,58.0,1494.0
UnhealthyInheritance35,19.0,6.0,99.0,133.0,4057.0
UnhealthyInheritance36,19.0,1.0,6.0,50.0,1243.0
UnhealthyInheritance37,19.0,2.0,23.0,51.0,1011.0
UnhealthyInheritance38,17.0,0.0,0.0,27.0,467.0
UnhealthyInheritance39,17.0,3.0,32.0,99.0,3456.0
UnhealthyInheritance40,16.0,2.0,20.0,56.0,1096.0
UnhealthyInheritance41,16.0,2.0,7.0,48.0,1027.0
UnhealthyInheritance42,16.0,0.0,0.0,19.0,270.0
UnhealthyInheritance43,16.0,0.0,0.0,26.0,966.0
UnhealthyInheritance44,16.0,2.0,24.0,55.0,1682.0
UnhealthyInheritance45,15.0,0.0,0.0,17.0,461.0
UnhealthyInheritance46,15.0,1.0,12.0,14.0,301.0
UnhealthyInheritance47,14.0,0.0,0.0,32.0,917.0
UnhealthyInheritance48,14.0,2.0,7.0,47.0,1016.0
UnhealthyInheritance49,13.0,4.0,61.0,74.0,1686.0
