Index,Size
ModularityViolation1,32
ModularityViolation2,25
ModularityViolation3,23
ModularityViolation4,21
ModularityViolation5,18
ModularityViolation6,15
ModularityViolation7,14
ModularityViolation8,10
ModularityViolation9,6
ModularityViolation10,5
ModularityViolation11,5
ModularityViolation12,4
ModularityViolation13,4
ModularityViolation14,3
ModularityViolation15,3
ModularityViolation16,2
ModularityViolation17,2
ModularityViolation18,2
ModularityViolation19,2
ModularityViolation20,2
ModularityViolation21,2
ModularityViolation22,2
ModularityViolation23,2
ModularityViolation24,2
ModularityViolation25,2

