Index,Size
UnhealthyInheritance1,236
UnhealthyInheritance2,182
UnhealthyInheritance3,163
UnhealthyInheritance4,110
UnhealthyInheritance5,106
UnhealthyInheritance6,91
UnhealthyInheritance7,87
UnhealthyInheritance8,78
UnhealthyInheritance9,66
UnhealthyInheritance10,54
UnhealthyInheritance11,46
UnhealthyInheritance12,44
UnhealthyInheritance13,40
UnhealthyInheritance14,39
UnhealthyInheritance15,38
UnhealthyInheritance16,37
UnhealthyInheritance17,37
UnhealthyInheritance18,35
UnhealthyInheritance19,34
UnhealthyInheritance20,33
UnhealthyInheritance21,32
UnhealthyInheritance22,31
UnhealthyInheritance23,28
UnhealthyInheritance24,27
UnhealthyInheritance25,27
UnhealthyInheritance26,26
UnhealthyInheritance27,24
UnhealthyInheritance28,24
UnhealthyInheritance29,24
UnhealthyInheritance30,24
UnhealthyInheritance31,23
UnhealthyInheritance32,22
UnhealthyInheritance33,22
UnhealthyInheritance34,21
UnhealthyInheritance35,19
UnhealthyInheritance36,19
UnhealthyInheritance37,19
UnhealthyInheritance38,17
UnhealthyInheritance39,17
UnhealthyInheritance40,16
UnhealthyInheritance41,16
UnhealthyInheritance42,16
UnhealthyInheritance43,16
UnhealthyInheritance44,16
UnhealthyInheritance45,15
UnhealthyInheritance46,15
UnhealthyInheritance47,14
UnhealthyInheritance48,14
UnhealthyInheritance49,13
UnhealthyInheritance50,13
UnhealthyInheritance51,13
UnhealthyInheritance52,13
UnhealthyInheritance53,13
UnhealthyInheritance54,12
UnhealthyInheritance55,12
UnhealthyInheritance56,11
UnhealthyInheritance57,11
UnhealthyInheritance58,11
UnhealthyInheritance59,11
UnhealthyInheritance60,11
UnhealthyInheritance61,11
UnhealthyInheritance62,11
UnhealthyInheritance63,10
UnhealthyInheritance64,10
UnhealthyInheritance65,9
UnhealthyInheritance66,9
UnhealthyInheritance67,9
UnhealthyInheritance68,9
UnhealthyInheritance69,9
UnhealthyInheritance70,9
UnhealthyInheritance71,8
UnhealthyInheritance72,8
UnhealthyInheritance73,8
UnhealthyInheritance74,8
UnhealthyInheritance75,8
UnhealthyInheritance76,8
UnhealthyInheritance77,8
UnhealthyInheritance78,8
UnhealthyInheritance79,8
UnhealthyInheritance80,8
UnhealthyInheritance81,8
UnhealthyInheritance82,8
UnhealthyInheritance83,8
UnhealthyInheritance84,8
UnhealthyInheritance85,7
UnhealthyInheritance86,7
UnhealthyInheritance87,7
UnhealthyInheritance88,7
UnhealthyInheritance89,7
UnhealthyInheritance90,7
UnhealthyInheritance91,7
UnhealthyInheritance92,7
UnhealthyInheritance93,7
UnhealthyInheritance94,7
