"FileName","ChangeChurn"
"core.src.test.resources.org.apache.calcite.test.RelOptRulesTest_xml","4234"
"core.src.test.java.org.apache.calcite.test.RelOptRulesTest_java","2713"
"core.src.main.codegen.templates.Parser_jj","2693"
"core.src.test.java.org.apache.calcite.sql.test.SqlOperatorBaseTest_java","2262"
"core.src.test.resources.org.apache.calcite.test.SqlToRelConverterTest_xml","2197"
"core.src.main.java.org.apache.calcite.runtime.SqlFunctions_java","1963"
"core.src.test.java.org.apache.calcite.test.SqlJsonFunctionsTest_java","1816"
"site._docs.history_md","1657"
"piglet.src.test.java.org.apache.calcite.test.PigRelOpTest_java","1654"
"core.src.main.java.org.apache.calcite.rex.RexSimplify_java","1605"
"core.src.test.java.org.apache.calcite.test.RexProgramTest_java","1592"
"core.src.main.java.org.apache.calcite.tools.RelBuilder_java","1590"
"core.src.test.java.org.apache.calcite.rel.rel2sql.RelToSqlConverterTest_java","1585"
"core.src.test.java.org.apache.calcite.sql.parser.SqlParserTest_java","1560"
"core.src.main.java.org.apache.calcite.avatica.proto.Requests_java","1419"
"core.src.test.java.org.apache.calcite.test.SqlValidatorTest_java","1161"
"core.src.test.java.org.apache.calcite.test.RelBuilderTest_java","1086"
"core.src.main.java.org.apache.calcite.avatica.proto.Responses_java","1078"
"core.src.test.java.org.apache.calcite.test.JdbcTest_java","1066"
"site._docs.reference_md","1062"
"core.src.main.java.org.apache.calcite.avatica.proto.Common_java","994"
"core.src.main.java.org.apache.calcite.rel.rules.AbstractMaterializedViewRule_java","968"
"babel.src.main.codegen.config_fmpp","948"
"core.src.test.java.org.apache.calcite.test.catalog.MockCatalogReader_java","930"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchJson_java","841"
"druid.src.test.java.org.apache.calcite.test.DruidAdapterIT_java","834"
"core.src.test.java.org.apache.calcite.test.TypeCoercionTest_java","825"
"core.src.main.java.org.apache.calcite.materialize.LatticeSuggester_java","808"
"core.src.main.java.org.apache.calcite.runtime.JsonFunctions_java","796"
"core.src.test.resources.sql.sub-query_iq","786"
"core.src.test.java.org.apache.calcite.materialize.LatticeSuggesterTest_java","766"
"core.src.test.java.org.apache.calcite.test.SqlToRelConverterTest_java","765"
"core.src.test.java.org.apache.calcite.test.MockCatalogReader_java","765"
"linq4j.src.main.java.org.apache.calcite.linq4j.EnumerableDefaults_java","733"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelOpVisitor_java","722"
"pom_xml","710"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.ElasticSearchAdapterTest_java","675"
"core.src.main.java.org.apache.calcite.sql.validate.implicit.AbstractTypeCoercion_java","671"
"core.src.test.resources.sql.agg_iq","668"
"cassandra.src.test.resources.twissandra_cql","665"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelBuilder_java","658"
"core.src.main.java.org.apache.calcite.materialize.Lattice_java","648"
"core.src.main.java.org.apache.calcite.adapter.enumerable.RexImpTable_java","642"
"core.src.test.java.org.apache.calcite.test.SqlFunctionsTest_java","641"
"core.src.main.java.org.apache.calcite.sql.SqlDialect_java","624"
"core.src.test.java.org.apache.calcite.test.RexProgramBuilderBase_java","614"
"core.src.main.java.org.apache.calcite.plan.RelOptUtil_java","607"
"cassandra.src.test.resources.cassandra_yaml","604"
"core.src.main.java.org.apache.calcite.sql2rel.RelStructuredTypeFlattener_java","590"
"mvnw","572"
"core.src.main.java.org.apache.calcite.runtime.Matcher_java","561"
"core.src.test.java.org.apache.calcite.plan.RelWriterTest_java","560"
"core.src.main.java.org.apache.calcite.sql.validate.implicit.TypeCoercionImpl_java","556"
"linq4j.src.test.java.org.apache.calcite.linq4j.test.JoinPreserveOrderTest_java","550"
"core.src.main.java.org.apache.calcite.sql.SqlDataTypeSpec_java","548"
"core.src.test.java.org.apache.calcite.plan.RelOptUtilTest_java","536"
"core.src.main.java.org.apache.calcite.sql2rel.StandardConvertletTable_java","526"
"core.src.test.java.org.apache.calcite.test.CalciteAssert_java","523"
"core.src.test.java.org.apache.calcite.test.fuzzer.RexProgramFuzzyTest_java","520"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchTable_java","517"
"core.src.test.java.org.apache.calcite.sql.test.SqlAdvisorTest_java","516"
"core.src.main.java.org.apache.calcite.config.CalciteSystemProperty_java","502"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableMatch_java","502"
"core.src.main.java.org.apache.calcite.util.CompatibleGuava11_java","499"
"core.src.main.java.org.apache.calcite.sql2rel.SqlToRelConverter_java","484"
"core.src.test.java.org.apache.calcite.tools.PlannerTest_java","474"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeBookstoreTest_java","473"
"core.src.main.java.org.apache.calcite.sql2rel.RelDecorrelator_java","464"
"core.src.main.java.org.apache.calcite.sql.validate.SqlValidatorImpl_java","457"
"core.src.test.java.org.apache.calcite.test.catalog.MockCatalogReaderSimple_java","455"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelExVisitor_java","452"
"core.src.main.java.org.apache.calcite.rel.rel2sql.RelToSqlConverter_java","445"
"core.src.main.java.org.apache.calcite.plan.volcano.VolcanoPlanner_java","443"
"druid.src.test.java.org.apache.calcite.test.DruidAdapter2IT_java","427"
"core.src.main.java.org.apache.calcite.rel.rules.AggregateReduceFunctionsRule_java","425"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.AggregationTest_java","421"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeAllDataTypesTest_java","412"
"core.src.main.java.org.apache.calcite.rex.RexLiteral_java","411"
"core.src.test.java.org.apache.calcite.rel.logical.ToLogicalConverterTest_java","411"
"piglet.src.main.java.org.apache.calcite.piglet.PigToSqlAggregateRule_java","408"
"core.src.main.java.org.apache.calcite.sql.fun.SqlLibraryOperators_java","405"
"core.src.main.java.org.apache.calcite.rel.rel2sql.SqlImplementor_java","396"
"core.src.main.java.org.apache.calcite.util.NameHelper_java","394"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeAdapterBookshopIT_java","381"
"core.src.main.java.org.apache.calcite.rel.rules.SubQueryRemoveRule_java","372"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelSqlUdfs_java","367"
"core.src.main.java.org.apache.calcite.sql.fun.SqlJsonValueFunction_java","366"
"core.src.main.java.org.apache.calcite.sql.fun.SqlStdOperatorTable_java","365"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableSemiJoin_java","357"
"site.img.logo_svg","346"
"core.src.main.java.org.apache.calcite.rel.core.RelFactories_java","345"
"server.src.main.codegen.config_fmpp","342"
"core.src.test.java.org.apache.calcite.profile.ProfilerTest_java","342"
"core.src.main.java.org.apache.calcite.rel.externalize.RelJson_java","339"
"core.src.main.codegen.config_fmpp","336"
"core.src.test.java.org.apache.calcite.util.UtilTest_java","334"
"core.src.test.codegen.config_fmpp","330"
"site._docs.howto_md","324"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchTransport_java","322"
"mvnw_cmd","322"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableHashJoin_java","319"
"core.src.test.java.org.apache.calcite.test.SqlValidatorTestCase_java","312"
"core.src.test.java.org.apache.calcite.test.MaterializationTest_java","310"
"release_sh","306"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeZipsTest_java","306"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.Projection2Test_java","305"
"core.src.main.java.org.apache.calcite.sql.type.SqlTypeUtil_java","305"
"ubenchmark.src.main.java.org.apache.calcite.adapter.enumerable.CodeGenerationBenchmark_java","300"
"core.src.main.java.org.apache.calcite.util.BuiltInMethod_java","293"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableBatchNestedLoopJoin_java","292"
"core.src.main.java.org.apache.calcite.rel.type.RelDataTypeSystem_java","291"
"piglet.src.main.java.org.apache.calcite.piglet.PigConverter_java","288"
"core.src.main.java.org.apache.calcite.sql.SqlBasicTypeNameSpec_java","277"
"core.src.test.java.org.apache.calcite.sql.test.SqlTests_java","275"
"ubenchmark.src.main.java.org.apache.calcite.benchmarks.AbstractRelNodeGetRelTypeNameBenchmark_java","274"
"core.src.test.java.org.apache.calcite.test.enumerable.EnumerableCorrelateTest_java","269"
"core.src.main.java.org.apache.calcite.rel.rules.AggregateCaseToFilterRule_java","268"
"core.src.test.java.org.apache.calcite.test.fuzzer.RexFuzzer_java","265"
"core.src.test.java.org.apache.calcite.runtime.AutomatonTest_java","265"
"core.src.test.java.org.apache.calcite.rel.rel2sql.RelToSqlConverterStructsTest_java","264"
"core.src.test.resources.org.apache.calcite.test.TypeCoercionConverterTest_xml","264"
"core.src.main.java.org.apache.calcite.rel.type.RelDataTypeFactoryImpl_java","263"
"core.src.test.java.org.apache.calcite.rel.rules.SortRemoveRuleTest_java","258"
"core.src.test.resources.sql.match_iq","255"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchFilter_java","253"
"linq4j.src.test.java.org.apache.calcite.linq4j.test.ExpressionTest_java","252"
"core.src.test.java.org.apache.calcite.sql.test.DocumentationTest_java","251"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelOpInnerVisitor_java","251"
"core.src.main.java.org.apache.calcite.sql.SqlUtil_java","250"
"piglet.src.test.java.org.apache.calcite.test.PigRelExTest_java","250"
"core.src.main.java.org.apache.calcite.runtime.ResultSetEnumerable_java","249"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchAggregate_java","246"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableAggregate_java","245"
"core.src.main.java.org.apache.calcite.sql.validate.implicit.TypeCoercion_java","241"
"core.src.test.java.org.apache.calcite.sql.test.SqlTestFactory_java","240"
"core.src.main.java.org.apache.calcite.runtime.AutomatonBuilder_java","237"
"babel.src.test.java.org.apache.calcite.test.BabelParserTest_java","234"
"core.src.main.java.org.apache.calcite.rex.RexUtil_java","233"
"core.src.test.java.org.apache.calcite.rex.RexBuilderTest_java","233"
"core.src.main.java.org.apache.calcite.rel.rules.ExchangeRemoveConstantKeysRule_java","233"
"core.src.main.java.org.apache.calcite.runtime.Pattern_java","232"
"site._docs.lattice_md","232"
"core.src.test.java.org.apache.calcite.test.enumerable.EnumerableBatchNestedLoopJoinTest_java","229"
"core.src.main.java.org.apache.calcite.sql.fun.SqlJsonApiCommonSyntaxOperator_java","228"
"core.src.main.java.org.apache.calcite.prepare.CalcitePrepareImpl_java","227"
"site._docs.model_md","224"
"druid.src.test.java.org.apache.calcite.test.DruidAdapterIT2_java","223"
"core.src.main.java.org.apache.calcite.sql.advise.SqlAdvisor_java","223"
"core.src.main.java.org.apache.calcite.statistic.QuerySqlStatisticProvider_java","222"
"core.src.main.java.org.apache.calcite.adapter.enumerable.RexToLixTranslator_java","218"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdPredicates_java","218"
"core.src.main.java.org.apache.calcite.rel.core.AggregateCall_java","216"
"core.src.test.java.org.apache.calcite.test.catalog.Fixture_java","210"
"core.src.test.resources.sql.winagg_iq","210"
"plus.src.test.java.org.apache.calcite.materialize.TpcdsLatticeSuggesterTest_java","210"
"core.src.test.java.org.apache.calcite.test.LatticeTest_java","209"
"geode.src.main.java.org.apache.calcite.adapter.geode.rel.GeodeFilter_java","205"
"geode.src.test.java.org.apache.calcite.adapter.geode.rel.GeodeZipsIT_java","205"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdCollation_java","204"
"core.src.main.java.org.apache.calcite.rel.rules.ReduceExpressionsRule_java","203"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchMapping_java","203"
"core.src.test.java.org.apache.calcite.sql.type.RelDataTypeSystemTest_java","203"
"core.src.test.java.org.apache.calcite.test.enumerable.EnumerableHashJoinTest_java","203"
"core.pom_xml","201"
"piglet.src.main.java.org.apache.calcite.piglet.PigTypes_java","200"
"core.src.main.java.org.apache.calcite.plan.RelOptRules_java","199"
"core.src.test.java.org.apache.calcite.runtime.EnumerablesTest_java","195"
"core.src.test.java.org.apache.calcite.test.BookstoreSchema_java","195"
"piglet.src.main.java.org.apache.calcite.piglet.PigRelUdfConverter_java","195"
"core.src.main.java.org.apache.calcite.sql.fun.SqlJsonArrayAggAggFunction_java","194"
"core.src.main.java.org.apache.calcite.rel.core.Aggregate_java","194"
"core.src.main.java.org.apache.calcite.rel.core.RepeatUnion_java","194"
"core.src.main.java.org.apache.calcite.prepare.PlannerImpl_java","190"
"core.src.test.java.org.apache.calcite.test.enumerable.EnumerableRepeatUnionTest_java","189"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdUtil_java","188"
"core.src.main.java.org.apache.calcite.runtime.DeterministicAutomaton_java","188"
"core.src.main.java.org.apache.calcite.sql.fun.SqlJsonObjectFunction_java","187"
"core.src.main.java.org.apache.calcite.plan.SubstitutionVisitor_java","186"
"ubenchmark.src.main.java.org.apache.calcite.benchmarks.StringConstructBenchmark_java","185"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchJsonTest_java","183"
"core.src.main.java.org.apache.calcite.rel.rules.SortJoinCopyRule_java","182"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.Scrolling_java","181"
"core.src.main.java.org.apache.calcite.adapter.jdbc.JdbcRules_java","179"
"core.src.test.java.org.apache.calcite.test.SqlToRelTestBase_java","179"
"core.src.test.java.org.apache.calcite.test.RelMetadataTest_java","178"
