"FileName","ChangeFreq"
"pom_xml","78"
"core.src.test.resources.org.apache.calcite.test.RelOptRulesTest_xml","69"
"core.src.test.java.org.apache.calcite.test.RelOptRulesTest_java","62"
"core.src.test.java.org.apache.calcite.test.RexProgramTest_java","52"
"site._docs.reference_md","47"
"core.src.test.java.org.apache.calcite.rel.rel2sql.RelToSqlConverterTest_java","44"
"core.src.test.java.org.apache.calcite.sql.test.SqlOperatorBaseTest_java","44"
"core.src.main.java.org.apache.calcite.rex.RexSimplify_java","42"
"core.src.test.resources.org.apache.calcite.test.SqlToRelConverterTest_xml","41"
"core.src.test.java.org.apache.calcite.sql.parser.SqlParserTest_java","40"
"core.src.main.java.org.apache.calcite.tools.RelBuilder_java","40"
"core.src.main.java.org.apache.calcite.adapter.enumerable.RexImpTable_java","40"
"core.src.main.java.org.apache.calcite.util.BuiltInMethod_java","39"
"core.src.main.codegen.templates.Parser_jj","39"
"core.src.test.java.org.apache.calcite.test.JdbcTest_java","38"
"core.src.test.java.org.apache.calcite.test.SqlValidatorTest_java","38"
"core.src.test.java.org.apache.calcite.test.SqlToRelConverterTest_java","36"
"core.src.main.java.org.apache.calcite.runtime.SqlFunctions_java","34"
"core.src.test.java.org.apache.calcite.test.RelBuilderTest_java","32"
"core.src.main.java.org.apache.calcite.sql.fun.SqlStdOperatorTable_java","29"
"core.src.test.resources.sql.sub-query_iq","25"
"core.src.main.java.org.apache.calcite.sql2rel.SqlToRelConverter_java","23"
"core.src.main.java.org.apache.calcite.plan.RelOptUtil_java","22"
"core.src.test.java.org.apache.calcite.test.CalciteSuite_java","20"
"core.pom_xml","19"
"core.src.test.java.org.apache.calcite.sql.test.SqlAdvisorTest_java","19"
"site._docs.howto_md","18"
"site._docs.history_md","18"
"core.src.test.java.org.apache.calcite.test.MaterializationTest_java","18"
"core.src.test.java.org.apache.calcite.test.RelMetadataTest_java","17"
"core.src.main.resources.org.apache.calcite.runtime.CalciteResource_properties","17"
"core.src.main.java.org.apache.calcite.runtime.CalciteResource_java","17"
"core.src.main.java.org.apache.calcite.rel.rules.AbstractMaterializedViewRule_java","17"
"core.src.main.java.org.apache.calcite.sql.validate.SqlValidatorImpl_java","16"
"core.src.main.java.org.apache.calcite.sql.SqlKind_java","15"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.ElasticSearchAdapterTest_java","15"
"core.src.main.java.org.apache.calcite.rel.rel2sql.SqlImplementor_java","15"
"core.src.test.resources.sql.agg_iq","14"
"core.src.main.java.org.apache.calcite.plan.volcano.VolcanoPlanner_java","14"
"core.src.main.java.org.apache.calcite.sql.fun.SqlLibraryOperators_java","14"
"core.src.main.codegen.config_fmpp","14"
"core.src.test.java.org.apache.calcite.test.CalciteAssert_java","14"
"server.src.main.codegen.config_fmpp","13"
"core.src.main.java.org.apache.calcite.plan.SubstitutionVisitor_java","13"
"babel.src.main.codegen.config_fmpp","13"
"core.src.main.java.org.apache.calcite.rel.core.RelFactories_java","13"
"piglet.pom_xml","13"
"core.src.test.java.org.apache.calcite.tools.PlannerTest_java","13"
"core.src.main.java.org.apache.calcite.sql2rel.StandardConvertletTable_java","13"
"site._docs.algebra_md","13"
"core.src.main.java.org.apache.calcite.rel.rules.SubQueryRemoveRule_java","13"
"_travis_yml","12"
"core.src.main.java.org.apache.calcite.sql.SqlDialect_java","12"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdCollation_java","12"
"core.src.test.codegen.config_fmpp","12"
"elasticsearch.pom_xml","12"
"core.src.test.resources.sql.misc_iq","12"
"core.src.main.java.org.apache.calcite.sql2rel.RelDecorrelator_java","11"
"linq4j.src.main.java.org.apache.calcite.linq4j.EnumerableDefaults_java","11"
"druid.src.test.java.org.apache.calcite.test.DruidAdapterIT_java","11"
"core.src.test.java.org.apache.calcite.test.SqlJsonFunctionsTest_java","11"
"server.pom_xml","11"
"site._data.contributors_yml","10"
"cassandra.src.test.java.org.apache.calcite.test.CassandraAdapterTest_java","10"
"core.src.test.java.org.apache.calcite.util.UtilTest_java","10"
"geode.pom_xml","10"
"cassandra.pom_xml","10"
"ubenchmark.pom_xml","10"
"core.src.main.java.org.apache.calcite.rel.rel2sql.RelToSqlConverter_java","10"
"core.src.main.java.org.apache.calcite.rel.rules.ReduceExpressionsRule_java","10"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchTable_java","10"
"example.csv.pom_xml","10"
"mongodb.pom_xml","10"
"plus.pom_xml","10"
"druid.src.test.java.org.apache.calcite.test.DruidAdapterIT2_java","9"
"spark.pom_xml","9"
"druid.pom_xml","9"
"linq4j.pom_xml","9"
"example.csv.src.test.java.org.apache.calcite.test.CsvTest_java","9"
"core.src.main.java.org.apache.calcite.prepare.CalcitePrepareImpl_java","9"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchJson_java","9"
"core.src.main.java.org.apache.calcite.tools.Programs_java","9"
"babel.pom_xml","9"
"core.src.main.java.org.apache.calcite.rex.RexUtil_java","9"
"core.src.test.java.org.apache.calcite.plan.RelWriterTest_java","9"
"core.src.test.java.org.apache.calcite.test.fuzzer.RexProgramFuzzyTest_java","9"
"pig.pom_xml","9"
"core.src.test.java.org.apache.calcite.test.RexProgramBuilderBase_java","8"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableRules_java","8"
"splunk.pom_xml","8"
"example.pom_xml","8"
"example.function.pom_xml","8"
"site._docs.adapter_md","8"
"core.src.main.java.org.apache.calcite.rex.RexBuilder_java","8"
"core.src.main.java.org.apache.calcite.sql.type.ReturnTypes_java","8"
"core.src.main.java.org.apache.calcite.util.Util_java","8"
"elasticsearch.src.main.java.org.apache.calcite.adapter.elasticsearch.ElasticsearchProject_java","8"
"file.pom_xml","8"
"mongodb.src.test.java.org.apache.calcite.adapter.mongodb.MongoAdapterTest_java","7"
"core.src.test.java.org.apache.calcite.test.QuidemTest_java","7"
"core.src.test.java.org.apache.calcite.sql.test.SqlTestFactory_java","7"
"elasticsearch.src.test.java.org.apache.calcite.adapter.elasticsearch.AggregationTest_java","7"
"babel.src.test.java.org.apache.calcite.test.BabelParserTest_java","7"
"core.src.main.java.org.apache.calcite.rel.metadata.RelMdUtil_java","7"
"core.src.test.resources.sql.some_iq","7"
"core.src.main.java.org.apache.calcite.rel.mutable.MutableRels_java","7"
"core.src.main.java.org.apache.calcite.adapter.enumerable.EnumerableAggregate_java","7"
"core.src.main.java.org.apache.calcite.sql.validate.SqlValidatorUtil_java","7"
"core.src.test.java.org.apache.calcite.test.StreamTest_java","7"
