"FileName","ChangeChurn"
"apidocs.overview-tree_html","3118"
"apidocs.index-all_html","2295"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder_html","1990"
"src.test.java.net.openhft.chronicle.queue.StridingAQueueTest_java","1705"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueue_html","1507"
"apidocs.net.openhft.chronicle.queue.ChronicleQueue_html","1036"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueExcerpts_StoreTailer_html","986"
"src.test.java.net.openhft.chronicle.queue.WriteBytesTest_java","955"
"apidocs.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueStore_html","841"
"src.main.java.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueExcerpts_java","813"
"apidocs.net.openhft.chronicle.queue.RollCycles_html","776"
"README_adoc","711"
"apidocs.net.openhft.chronicle.queue.ExcerptTailer_html","692"
"pom_xml","667"
"apidocs.net.openhft.chronicle.queue.reader.ChronicleHistoryReader_html","664"
"apidocs.net.openhft.chronicle.queue.impl.table.SingleTableStore_html","639"
"apidocs.net.openhft.chronicle.queue.impl.table.ReadonlyTableStore_html","593"
"src.test.java.net.openhft.chronicle.queue.impl.single.SingleCQFormat2Test_java","576"
"src.test.java.net.openhft.chronicle.queue.impl.single.SingleChronicleQueueTest_java","562"
"apidocs.net.openhft.chronicle.queue.NoMessageHistory_html","558"
"apidocs.net.openhft.chronicle.queue.service.ServiceWrapperBuilder_html","555"
"apidocs.net.openhft.chronicle.queue.impl.RollingChronicleQueue_html","535"
"apidocs.net.openhft.chronicle.queue.ExcerptAppender_html","525"
"apidocs.net.openhft.chronicle.queue.impl.WireStore_html","508"
"apidocs.net.openhft.chronicle.queue.impl.single.class-use.SingleChronicleQueueBuilder_html","501"
"apidocs.net.openhft.chronicle.queue.impl.single.MetaDataField_html","489"
"apidocs.net.openhft.chronicle.queue.reader.ChronicleReader_html","461"
"src.test.java.net.openhft.chronicle.queue.ChronicleQueueIndexTest_java","460"
"src.test.java.net.openhft.chronicle.queue.impl.single.NotCompleteTest_java","443"
"apidocs.net.openhft.chronicle.queue.service.EventLoopServiceWrapper_html","425"
"apidocs.net.openhft.chronicle.queue.RollCycle_html","419"
"apidocs.net.openhft.chronicle.queue.impl.table.AbstractTSQueueLock_html","417"
"apidocs.net.openhft.chronicle.queue.impl.table.Metadata_NoMeta_html","412"
"apidocs.net.openhft.chronicle.queue.impl.table.SingleTableBuilder_html","407"
"apidocs.net.openhft.chronicle.queue.impl.single.BinarySearch_html","406"
"apidocs.net.openhft.chronicle.queue.impl.single.StoreComponentReferenceHandler_html","398"
"src.test.java.net.openhft.chronicle.queue.impl.single.RollingCycleTest_java","391"
"apidocs.net.openhft.chronicle.queue.backed.map.QueueBackedMaps_html","391"
"apidocs.net.openhft.chronicle.queue.RollDetails_html","388"
"apidocs.net.openhft.chronicle.queue.ChronicleHistoryReaderMain_html","385"
"apidocs.net.openhft.chronicle.queue.ChronicleReaderMain_html","385"
"apidocs.net.openhft.chronicle.queue.TailerState_html","379"
"apidocs.net.openhft.chronicle.queue.impl.TableStore_html","379"
"apidocs.net.openhft.chronicle.queue.QueueOffsetSpec_html","379"
"apidocs.net.openhft.chronicle.queue.impl.single.QueueFileShrinkManager_html","378"
"apidocs.net.openhft.chronicle.queue.impl.single.MetaDataKeys_html","375"
"apidocs.net.openhft.chronicle.queue.impl.RollingResourcesCache_html","374"
"apidocs.net.openhft.chronicle.queue.impl.single.TSQueueLock_html","372"
"src.main.java.net.openhft.chronicle.queue.impl.single.SingleChronicleQueue_java","371"
"apidocs.net.openhft.chronicle.queue.util.FileUtil_html","368"
"apidocs.net.openhft.chronicle.queue.TailerDirection_html","368"
"apidocs.net.openhft.chronicle.queue.impl.single.ScanResult_html","367"
"apidocs.net.openhft.chronicle.queue.util.FileState_html","367"
"apidocs.net.openhft.chronicle.queue.impl.single.TableStoreWriteLock_html","361"
"apidocs.net.openhft.chronicle.queue.impl.WireStorePool_html","361"
"apidocs.net.openhft.chronicle.queue.impl.single.SCQMeta_html","359"
"apidocs.net.openhft.chronicle.queue.QueueOffsetSpec_Type_html","359"
"apidocs.net.openhft.chronicle.queue.BufferMode_html","355"
"apidocs.net.openhft.chronicle.queue.DefaultCycleCalculator_html","353"
"apidocs.net.openhft.chronicle.queue.package-use_html","347"
"apidocs.net.openhft.chronicle.queue.class-use.ChronicleQueue_html","343"
"apidocs.stylesheet_css","342"
"apidocs.net.openhft.chronicle.queue.impl.single.NoopQueueLock_html","342"
"apidocs.net.openhft.chronicle.queue.impl.single.PrecreatedFiles_html","336"
"apidocs.net.openhft.chronicle.queue.impl.CommonStore_html","333"
"benchmarks.pom_xml","329"
"apidocs.net.openhft.chronicle.queue.impl.single.ReadOnlyWriteLock_html","327"
"apidocs.net.openhft.chronicle.queue.impl.single.Pretoucher_html","324"
"apidocs.net.openhft.chronicle.queue.JDBCService_html","324"
"apidocs.net.openhft.chronicle.queue.PretouchHandler_html","323"
"benchmarks.src.main.java.net.openhft.chronicle.queue.benchmark.LatencyDistributionMain_java","322"
"apidocs.net.openhft.chronicle.queue.backed.map.QueueEvents_html","318"
"apidocs.net.openhft.chronicle.queue.DumpQueueMain_html","316"
"apidocs.net.openhft.chronicle.queue.JDBCComponent_html","313"
"apidocs.net.openhft.chronicle.queue.class-use.ExcerptTailer_html","311"
"apidocs.net.openhft.chronicle.queue.reader.MessageToTextQueueEntryHandler_html","310"
