IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Clique1,11.0,7.0,418.0,151.0,3992.0
Clique2,6.0,35.0,653.0,162.0,3996.0
Clique3,5.0,1.0,14.0,17.0,61.0
Clique4,4.0,6.0,54.0,67.0,3082.0
Clique5,3.0,0.0,0.0,26.0,734.0
Clique6,3.0,0.0,0.0,9.0,26.0
Clique7,3.0,0.0,0.0,41.0,1018.0
Clique8,3.0,4.0,334.0,28.0,1455.0
Clique9,2.0,0.0,0.0,38.0,2861.0
Clique10,2.0,0.0,0.0,7.0,268.0
Clique11,2.0,9.0,304.0,74.0,1771.0
Clique12,2.0,8.0,269.0,50.0,1471.0
Clique13,2.0,0.0,0.0,6.0,84.0
Clique14,2.0,11.0,422.0,46.0,4319.0
Clique15,2.0,0.0,0.0,7.0,37.0
Clique16,2.0,0.0,0.0,21.0,695.0
Clique17,2.0,1.0,12.0,25.0,868.0
Clique18,2.0,4.0,166.0,29.0,933.0
Clique19,2.0,5.0,131.0,60.0,1700.0

Clique-All,60.0,91.0,2777.0,864.0,29371.0
