IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
ModularityViolation1,48.0,118.0,2138.0,1294.0,40965.0
ModularityViolation2,40.0,98.0,1532.0,1110.0,30340.0
ModularityViolation3,35.0,97.0,1967.0,969.0,27996.0
ModularityViolation4,34.0,83.0,1971.0,913.0,28629.0
ModularityViolation5,30.0,100.0,2144.0,898.0,27454.0
ModularityViolation6,28.0,55.0,955.0,618.0,17610.0
ModularityViolation7,26.0,85.0,2013.0,780.0,25905.0
ModularityViolation8,21.0,79.0,1928.0,625.0,13839.0
ModularityViolation9,20.0,82.0,2450.0,784.0,28991.0
ModularityViolation10,19.0,65.0,1425.0,418.0,9193.0
ModularityViolation11,19.0,17.0,502.0,208.0,4984.0
ModularityViolation12,18.0,36.0,822.0,420.0,8966.0
ModularityViolation13,18.0,46.0,965.0,554.0,15757.0
ModularityViolation14,14.0,2.0,128.0,60.0,735.0
ModularityViolation15,14.0,11.0,372.0,109.0,1790.0
ModularityViolation16,14.0,69.0,1600.0,489.0,14857.0
ModularityViolation17,13.0,20.0,309.0,130.0,2526.0
ModularityViolation18,12.0,13.0,559.0,150.0,4570.0
ModularityViolation19,12.0,27.0,294.0,276.0,6096.0
ModularityViolation20,12.0,0.0,0.0,176.0,4924.0
ModularityViolation21,11.0,24.0,239.0,118.0,2055.0
ModularityViolation22,10.0,56.0,1448.0,125.0,3035.0
ModularityViolation23,9.0,48.0,650.0,226.0,5446.0
ModularityViolation24,9.0,8.0,115.0,164.0,3083.0
ModularityViolation25,9.0,19.0,614.0,183.0,5478.0
ModularityViolation26,8.0,7.0,51.0,166.0,3834.0
ModularityViolation27,8.0,15.0,348.0,113.0,2918.0
ModularityViolation28,7.0,21.0,385.0,169.0,3951.0
ModularityViolation29,7.0,6.0,164.0,105.0,3160.0
ModularityViolation30,7.0,5.0,142.0,101.0,2914.0
ModularityViolation31,7.0,9.0,360.0,69.0,1201.0
ModularityViolation32,6.0,1.0,6.0,30.0,322.0
ModularityViolation33,6.0,20.0,683.0,160.0,9794.0
ModularityViolation34,6.0,13.0,424.0,97.0,3518.0
ModularityViolation35,5.0,0.0,0.0,43.0,1490.0
ModularityViolation36,5.0,6.0,66.0,21.0,154.0
ModularityViolation37,4.0,0.0,0.0,33.0,1573.0
ModularityViolation38,4.0,0.0,0.0,37.0,799.0
ModularityViolation39,4.0,4.0,92.0,34.0,963.0
ModularityViolation40,4.0,4.0,34.0,49.0,796.0
ModularityViolation41,4.0,1.0,36.0,69.0,1284.0
ModularityViolation42,4.0,11.0,61.0,61.0,1527.0
ModularityViolation43,3.0,1.0,3.0,18.0,207.0
ModularityViolation44,3.0,3.0,53.0,48.0,1167.0
ModularityViolation45,3.0,7.0,126.0,30.0,289.0
ModularityViolation46,3.0,3.0,31.0,15.0,159.0
ModularityViolation47,3.0,0.0,0.0,40.0,1350.0
ModularityViolation48,3.0,0.0,0.0,11.0,32.0
ModularityViolation49,3.0,10.0,182.0,65.0,1008.0
ModularityViolation50,2.0,8.0,57.0,46.0,712.0
ModularityViolation51,2.0,2.0,2.0,13.0,395.0
ModularityViolation52,2.0,2.0,26.0,23.0,490.0
ModularityViolation53,2.0,7.0,100.0,103.0,5929.0
ModularityViolation54,2.0,0.0,0.0,10.0,312.0
ModularityViolation55,2.0,2.0,6.0,19.0,120.0
ModularityViolation56,2.0,3.0,62.0,22.0,435.0
ModularityViolation57,2.0,0.0,0.0,10.0,98.0
ModularityViolation58,2.0,0.0,0.0,12.0,329.0
ModularityViolation59,2.0,0.0,0.0,12.0,90.0
ModularityViolation60,2.0,0.0,0.0,18.0,1231.0
ModularityViolation61,2.0,0.0,0.0,7.0,30.0
ModularityViolation62,2.0,0.0,0.0,12.0,390.0
ModularityViolation63,2.0,0.0,0.0,11.0,212.0
ModularityViolation64,2.0,4.0,8.0,18.0,207.0
ModularityViolation65,2.0,0.0,0.0,49.0,1700.0
ModularityViolation66,2.0,0.0,0.0,9.0,72.0

ModularityViolation-All,294.0,428.0,9494.0,4069.0,116360.0
