IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
PackageCycle1,56.0,57.0,1289.0,798.0,28764.0
PackageCycle2,49.0,39.0,1152.0,694.0,25100.0
PackageCycle3,41.0,9.0,342.0,156.0,1908.0
PackageCycle4,40.0,92.0,1883.0,510.0,13881.0
PackageCycle5,33.0,24.0,383.0,433.0,17350.0
PackageCycle6,32.0,6.0,392.0,164.0,3951.0
PackageCycle7,32.0,78.0,1739.0,351.0,6946.0
PackageCycle8,31.0,33.0,520.0,575.0,23736.0
PackageCycle9,29.0,34.0,1185.0,367.0,11007.0
PackageCycle10,26.0,21.0,480.0,376.0,11516.0
PackageCycle11,23.0,14.0,678.0,225.0,6005.0
PackageCycle12,21.0,4.0,192.0,125.0,3627.0
PackageCycle13,21.0,33.0,706.0,373.0,9102.0
PackageCycle14,20.0,21.0,165.0,182.0,6005.0
PackageCycle15,20.0,13.0,104.0,140.0,2864.0
PackageCycle16,19.0,20.0,498.0,83.0,1367.0
PackageCycle17,18.0,11.0,182.0,273.0,8641.0
PackageCycle18,18.0,12.0,273.0,111.0,2189.0
PackageCycle19,17.0,12.0,442.0,201.0,6374.0
PackageCycle20,16.0,35.0,1012.0,161.0,3675.0
PackageCycle21,16.0,10.0,216.0,78.0,2027.0
PackageCycle22,15.0,14.0,199.0,315.0,12679.0
PackageCycle23,15.0,11.0,182.0,256.0,8062.0
PackageCycle24,14.0,4.0,192.0,96.0,3872.0
PackageCycle25,14.0,14.0,342.0,55.0,749.0
PackageCycle26,14.0,12.0,188.0,234.0,6706.0
PackageCycle27,12.0,2.0,182.0,48.0,1743.0
PackageCycle28,12.0,9.0,238.0,77.0,2667.0
PackageCycle29,11.0,25.0,747.0,235.0,6262.0
PackageCycle30,11.0,2.0,109.0,74.0,2248.0
PackageCycle31,11.0,10.0,407.0,173.0,5165.0
PackageCycle32,10.0,4.0,192.0,37.0,528.0
PackageCycle33,10.0,6.0,388.0,152.0,3641.0
PackageCycle34,9.0,6.0,18.0,48.0,1199.0
PackageCycle35,8.0,6.0,43.0,90.0,1696.0
PackageCycle36,8.0,7.0,76.0,145.0,3614.0
PackageCycle37,8.0,5.0,356.0,106.0,2311.0
PackageCycle38,7.0,30.0,1009.0,219.0,5164.0
PackageCycle39,7.0,2.0,22.0,40.0,1125.0
PackageCycle40,7.0,0.0,0.0,32.0,828.0
PackageCycle41,7.0,0.0,0.0,32.0,837.0
PackageCycle42,7.0,4.0,8.0,35.0,499.0
PackageCycle43,7.0,5.0,131.0,104.0,2534.0
PackageCycle44,6.0,0.0,0.0,37.0,523.0
PackageCycle45,6.0,2.0,128.0,56.0,1714.0
PackageCycle46,6.0,4.0,28.0,44.0,893.0
PackageCycle47,6.0,1.0,6.0,24.0,274.0
PackageCycle48,6.0,0.0,0.0,19.0,234.0
PackageCycle49,6.0,4.0,338.0,89.0,2955.0
PackageCycle50,5.0,10.0,144.0,75.0,1194.0

PackageCycle-All,398.0,340.0,7667.0,3218.0,88623.0
