IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnhealthyInheritance1,28.0,51.0,1078.0,428.0,12071.0
UnhealthyInheritance2,21.0,37.0,593.0,311.0,8415.0
UnhealthyInheritance3,21.0,26.0,479.0,239.0,6469.0
UnhealthyInheritance4,16.0,15.0,448.0,152.0,4606.0
UnhealthyInheritance5,15.0,23.0,305.0,144.0,2277.0
UnhealthyInheritance6,12.0,24.0,405.0,153.0,3516.0
UnhealthyInheritance7,12.0,1.0,6.0,28.0,90.0
UnhealthyInheritance8,12.0,6.0,161.0,169.0,4725.0
UnhealthyInheritance9,12.0,4.0,42.0,106.0,2350.0
UnhealthyInheritance10,11.0,39.0,865.0,388.0,9016.0
UnhealthyInheritance11,11.0,27.0,347.0,100.0,1567.0
UnhealthyInheritance12,11.0,24.0,379.0,286.0,5950.0
UnhealthyInheritance13,10.0,17.0,282.0,126.0,5262.0
UnhealthyInheritance14,10.0,9.0,227.0,122.0,2933.0
UnhealthyInheritance15,10.0,14.0,324.0,225.0,10396.0
UnhealthyInheritance16,10.0,3.0,67.0,121.0,2436.0
UnhealthyInheritance17,9.0,15.0,353.0,182.0,3514.0
UnhealthyInheritance18,9.0,0.0,0.0,58.0,1175.0
UnhealthyInheritance19,9.0,0.0,0.0,98.0,3158.0
UnhealthyInheritance20,8.0,21.0,412.0,269.0,10947.0
UnhealthyInheritance21,8.0,25.0,814.0,102.0,2326.0
UnhealthyInheritance22,8.0,16.0,290.0,108.0,2234.0
UnhealthyInheritance23,7.0,17.0,297.0,275.0,14535.0
UnhealthyInheritance24,7.0,2.0,109.0,71.0,2420.0
UnhealthyInheritance25,7.0,6.0,44.0,50.0,1300.0
UnhealthyInheritance26,7.0,7.0,57.0,93.0,2275.0
UnhealthyInheritance27,6.0,2.0,40.0,29.0,440.0
UnhealthyInheritance28,6.0,6.0,106.0,90.0,1645.0
UnhealthyInheritance29,6.0,6.0,56.0,112.0,3842.0
UnhealthyInheritance30,6.0,14.0,298.0,35.0,426.0
UnhealthyInheritance31,6.0,19.0,479.0,95.0,5094.0
UnhealthyInheritance32,6.0,7.0,58.0,168.0,6614.0
UnhealthyInheritance33,6.0,7.0,57.0,84.0,2059.0
UnhealthyInheritance34,6.0,17.0,298.0,250.0,12536.0
UnhealthyInheritance35,6.0,6.0,40.0,27.0,478.0
UnhealthyInheritance36,6.0,16.0,288.0,84.0,1666.0
UnhealthyInheritance37,6.0,15.0,260.0,65.0,1151.0
UnhealthyInheritance38,5.0,17.0,234.0,38.0,708.0
UnhealthyInheritance39,5.0,5.0,49.0,139.0,5402.0
UnhealthyInheritance40,5.0,0.0,0.0,43.0,534.0
UnhealthyInheritance41,5.0,13.0,365.0,109.0,2186.0
UnhealthyInheritance42,5.0,23.0,521.0,93.0,1983.0
UnhealthyInheritance43,5.0,0.0,0.0,18.0,190.0
UnhealthyInheritance44,5.0,22.0,367.0,112.0,2981.0
UnhealthyInheritance45,5.0,10.0,150.0,22.0,250.0
UnhealthyInheritance46,4.0,1.0,14.0,19.0,80.0
UnhealthyInheritance47,4.0,1.0,3.0,49.0,582.0
UnhealthyInheritance48,4.0,3.0,278.0,49.0,1518.0
UnhealthyInheritance49,4.0,0.0,0.0,11.0,91.0
UnhealthyInheritance50,4.0,3.0,15.0,79.0,1532.0
UnhealthyInheritance51,4.0,1.0,12.0,36.0,1076.0
UnhealthyInheritance52,3.0,0.0,0.0,7.0,60.0
UnhealthyInheritance53,3.0,0.0,0.0,19.0,582.0
UnhealthyInheritance54,3.0,1.0,3.0,17.0,179.0
UnhealthyInheritance55,3.0,24.0,646.0,61.0,1738.0
UnhealthyInheritance56,3.0,4.0,292.0,117.0,9389.0
UnhealthyInheritance57,3.0,0.0,0.0,15.0,245.0
UnhealthyInheritance58,3.0,1.0,2.0,34.0,619.0
UnhealthyInheritance59,3.0,6.0,51.0,87.0,2837.0
UnhealthyInheritance60,3.0,4.0,292.0,106.0,9163.0
UnhealthyInheritance61,3.0,4.0,16.0,32.0,1094.0
UnhealthyInheritance62,3.0,13.0,322.0,136.0,4086.0
UnhealthyInheritance63,3.0,0.0,0.0,10.0,131.0
UnhealthyInheritance64,3.0,6.0,242.0,44.0,1276.0
UnhealthyInheritance65,3.0,7.0,58.0,112.0,3577.0
UnhealthyInheritance66,3.0,0.0,0.0,3.0,23.0
UnhealthyInheritance67,3.0,0.0,0.0,11.0,61.0
UnhealthyInheritance68,3.0,9.0,56.0,60.0,816.0
UnhealthyInheritance69,3.0,2.0,258.0,80.0,7960.0
UnhealthyInheritance70,3.0,11.0,353.0,86.0,2001.0
UnhealthyInheritance71,3.0,4.0,102.0,24.0,537.0
UnhealthyInheritance72,3.0,8.0,58.0,32.0,483.0
UnhealthyInheritance73,3.0,2.0,258.0,92.0,8245.0
UnhealthyInheritance74,2.0,4.0,32.0,15.0,194.0
UnhealthyInheritance75,2.0,0.0,0.0,0.0,0.0
UnhealthyInheritance76,2.0,4.0,142.0,79.0,4849.0
UnhealthyInheritance77,2.0,9.0,304.0,74.0,1771.0
UnhealthyInheritance78,2.0,0.0,0.0,38.0,2861.0
UnhealthyInheritance79,2.0,0.0,0.0,6.0,84.0

UnhealthyInheritance-All,325.0,320.0,7027.0,3333.0,96970.0
