Index,Size
ModularityViolation1,48
ModularityViolation2,40
ModularityViolation3,35
ModularityViolation4,34
ModularityViolation5,30
ModularityViolation6,28
ModularityViolation7,26
ModularityViolation8,21
ModularityViolation9,20
ModularityViolation10,19
ModularityViolation11,19
ModularityViolation12,18
ModularityViolation13,18
ModularityViolation14,14
ModularityViolation15,14
ModularityViolation16,14
ModularityViolation17,13
ModularityViolation18,12
ModularityViolation19,12
ModularityViolation20,12
ModularityViolation21,11
ModularityViolation22,10
ModularityViolation23,9
ModularityViolation24,9
ModularityViolation25,9
ModularityViolation26,8
ModularityViolation27,8
ModularityViolation28,7
ModularityViolation29,7
ModularityViolation30,7
ModularityViolation31,7
ModularityViolation32,6
ModularityViolation33,6
ModularityViolation34,6
ModularityViolation35,5
ModularityViolation36,5
ModularityViolation37,4
ModularityViolation38,4
ModularityViolation39,4
ModularityViolation40,4
ModularityViolation41,4
ModularityViolation42,4
ModularityViolation43,3
ModularityViolation44,3
ModularityViolation45,3
ModularityViolation46,3
ModularityViolation47,3
ModularityViolation48,3
ModularityViolation49,3
ModularityViolation50,2
ModularityViolation51,2
ModularityViolation52,2
ModularityViolation53,2
ModularityViolation54,2
ModularityViolation55,2
ModularityViolation56,2
ModularityViolation57,2
ModularityViolation58,2
ModularityViolation59,2
ModularityViolation60,2
ModularityViolation61,2
ModularityViolation62,2
ModularityViolation63,2
ModularityViolation64,2
ModularityViolation65,2
ModularityViolation66,2

