Index,Size
UnhealthyInheritance1,28
UnhealthyInheritance2,21
UnhealthyInheritance3,21
UnhealthyInheritance4,16
UnhealthyInheritance5,15
UnhealthyInheritance6,12
UnhealthyInheritance7,12
UnhealthyInheritance8,12
UnhealthyInheritance9,12
UnhealthyInheritance10,11
UnhealthyInheritance11,11
UnhealthyInheritance12,11
UnhealthyInheritance13,10
UnhealthyInheritance14,10
UnhealthyInheritance15,10
UnhealthyInheritance16,10
UnhealthyInheritance17,9
UnhealthyInheritance18,9
UnhealthyInheritance19,9
UnhealthyInheritance20,8
UnhealthyInheritance21,8
UnhealthyInheritance22,8
UnhealthyInheritance23,7
UnhealthyInheritance24,7
UnhealthyInheritance25,7
UnhealthyInheritance26,7
UnhealthyInheritance27,6
UnhealthyInheritance28,6
UnhealthyInheritance29,6
UnhealthyInheritance30,6
UnhealthyInheritance31,6
UnhealthyInheritance32,6
UnhealthyInheritance33,6
UnhealthyInheritance34,6
UnhealthyInheritance35,6
UnhealthyInheritance36,6
UnhealthyInheritance37,6
UnhealthyInheritance38,5
UnhealthyInheritance39,5
UnhealthyInheritance40,5
UnhealthyInheritance41,5
UnhealthyInheritance42,5
UnhealthyInheritance43,5
UnhealthyInheritance44,5
UnhealthyInheritance45,5
UnhealthyInheritance46,4
UnhealthyInheritance47,4
UnhealthyInheritance48,4
UnhealthyInheritance49,4
UnhealthyInheritance50,4
UnhealthyInheritance51,4
UnhealthyInheritance52,3
UnhealthyInheritance53,3
UnhealthyInheritance54,3
UnhealthyInheritance55,3
UnhealthyInheritance56,3
UnhealthyInheritance57,3
UnhealthyInheritance58,3
UnhealthyInheritance59,3
UnhealthyInheritance60,3
UnhealthyInheritance61,3
UnhealthyInheritance62,3
UnhealthyInheritance63,3
UnhealthyInheritance64,3
UnhealthyInheritance65,3
UnhealthyInheritance66,3
UnhealthyInheritance67,3
UnhealthyInheritance68,3
UnhealthyInheritance69,3
UnhealthyInheritance70,3
UnhealthyInheritance71,3
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,2
UnhealthyInheritance75,2
UnhealthyInheritance76,2
UnhealthyInheritance77,2
UnhealthyInheritance78,2
UnhealthyInheritance79,2

