IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
Crossing1,95.0,109.0,1203.0,820.0,8861.0
Crossing2,35.0,53.0,657.0,387.0,4171.0
Crossing3,35.0,56.0,642.0,420.0,4606.0
Crossing4,34.0,57.0,715.0,364.0,3772.0
Crossing5,30.0,48.0,442.0,333.0,3020.0
Crossing6,29.0,39.0,295.0,330.0,2963.0
Crossing7,28.0,39.0,449.0,320.0,3258.0
Crossing8,24.0,43.0,544.0,265.0,2439.0
Crossing9,23.0,42.0,589.0,321.0,3513.0
Crossing10,21.0,28.0,283.0,268.0,2643.0
Crossing11,20.0,28.0,250.0,237.0,2271.0
Crossing12,19.0,47.0,424.0,269.0,2750.0
Crossing13,19.0,40.0,593.0,290.0,3888.0
Crossing14,17.0,44.0,507.0,286.0,3579.0
Crossing15,17.0,28.0,328.0,234.0,2588.0
Crossing16,16.0,23.0,264.0,220.0,2418.0
Crossing17,14.0,33.0,517.0,237.0,3135.0
Crossing18,14.0,36.0,341.0,248.0,2581.0
Crossing19,13.0,22.0,229.0,160.0,1466.0
Crossing20,13.0,16.0,163.0,196.0,1955.0
Crossing21,12.0,23.0,297.0,154.0,1808.0
Crossing22,12.0,20.0,249.0,172.0,1837.0
Crossing23,11.0,22.0,246.0,150.0,1453.0
Crossing24,11.0,29.0,534.0,201.0,2670.0
Crossing25,10.0,29.0,494.0,183.0,2399.0
Crossing26,9.0,10.0,108.0,114.0,1136.0
Crossing27,8.0,29.0,492.0,188.0,2434.0

Crossing-All,127.0,128.0,1387.0,966.0,10059.0
