IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnhealthyInheritance1,99.0,76.0,894.0,600.0,6793.0
UnhealthyInheritance2,62.0,40.0,330.0,335.0,3189.0
UnhealthyInheritance3,45.0,43.0,533.0,303.0,2834.0
UnhealthyInheritance4,24.0,30.0,239.0,214.0,1927.0
UnhealthyInheritance5,23.0,28.0,333.0,208.0,2574.0
UnhealthyInheritance6,22.0,24.0,327.0,152.0,1631.0
UnhealthyInheritance7,21.0,18.0,188.0,109.0,1023.0
UnhealthyInheritance8,18.0,11.0,231.0,71.0,928.0
UnhealthyInheritance9,17.0,23.0,255.0,149.0,1393.0
UnhealthyInheritance10,17.0,26.0,222.0,167.0,1318.0
UnhealthyInheritance11,16.0,24.0,226.0,139.0,1178.0
UnhealthyInheritance12,14.0,29.0,330.0,166.0,1810.0
UnhealthyInheritance13,14.0,25.0,216.0,144.0,1203.0
UnhealthyInheritance14,13.0,8.0,102.0,62.0,662.0
UnhealthyInheritance15,13.0,1.0,18.0,22.0,135.0
UnhealthyInheritance16,12.0,12.0,108.0,92.0,719.0
UnhealthyInheritance17,11.0,9.0,92.0,65.0,498.0
UnhealthyInheritance18,11.0,13.0,94.0,67.0,393.0
UnhealthyInheritance19,10.0,5.0,53.0,57.0,479.0
UnhealthyInheritance20,9.0,11.0,143.0,114.0,1326.0
UnhealthyInheritance21,9.0,1.0,5.0,20.0,159.0
UnhealthyInheritance22,8.0,0.0,0.0,9.0,45.0
UnhealthyInheritance23,8.0,19.0,175.0,133.0,1500.0
UnhealthyInheritance24,8.0,19.0,214.0,121.0,1281.0
UnhealthyInheritance25,8.0,4.0,22.0,27.0,152.0
UnhealthyInheritance26,8.0,17.0,156.0,122.0,1119.0
UnhealthyInheritance27,8.0,18.0,292.0,114.0,1234.0
UnhealthyInheritance28,8.0,3.0,22.0,28.0,236.0
UnhealthyInheritance29,8.0,16.0,208.0,115.0,1286.0
UnhealthyInheritance30,7.0,8.0,102.0,78.0,741.0
UnhealthyInheritance31,7.0,20.0,302.0,123.0,1309.0
UnhealthyInheritance32,7.0,0.0,0.0,1.0,2.0
UnhealthyInheritance33,7.0,12.0,139.0,112.0,1091.0
UnhealthyInheritance34,7.0,1.0,6.0,50.0,597.0
UnhealthyInheritance35,7.0,10.0,167.0,52.0,568.0
UnhealthyInheritance36,6.0,4.0,52.0,41.0,323.0
UnhealthyInheritance37,6.0,0.0,0.0,9.0,30.0
UnhealthyInheritance38,6.0,19.0,188.0,95.0,860.0
UnhealthyInheritance39,6.0,2.0,6.0,35.0,230.0
UnhealthyInheritance40,6.0,1.0,8.0,19.0,160.0
UnhealthyInheritance41,6.0,2.0,11.0,10.0,257.0
UnhealthyInheritance42,6.0,16.0,160.0,89.0,817.0
UnhealthyInheritance43,5.0,0.0,0.0,6.0,20.0
UnhealthyInheritance44,5.0,12.0,139.0,98.0,956.0
UnhealthyInheritance45,5.0,7.0,46.0,47.0,321.0
UnhealthyInheritance46,5.0,2.0,19.0,43.0,527.0
UnhealthyInheritance47,5.0,9.0,121.0,77.0,776.0
UnhealthyInheritance48,5.0,0.0,0.0,6.0,74.0
UnhealthyInheritance49,4.0,0.0,0.0,2.0,5.0
UnhealthyInheritance50,4.0,2.0,6.0,24.0,167.0
UnhealthyInheritance51,4.0,8.0,102.0,74.0,768.0
UnhealthyInheritance52,4.0,0.0,0.0,4.0,16.0
UnhealthyInheritance53,4.0,0.0,0.0,2.0,11.0
UnhealthyInheritance54,4.0,2.0,6.0,24.0,167.0
UnhealthyInheritance55,4.0,0.0,0.0,0.0,0.0
UnhealthyInheritance56,4.0,2.0,6.0,13.0,125.0
UnhealthyInheritance57,4.0,5.0,141.0,18.0,379.0
UnhealthyInheritance58,4.0,2.0,20.0,30.0,377.0
UnhealthyInheritance59,4.0,10.0,108.0,79.0,768.0
UnhealthyInheritance60,4.0,10.0,106.0,71.0,740.0
UnhealthyInheritance61,4.0,2.0,6.0,23.0,161.0
UnhealthyInheritance62,4.0,0.0,0.0,5.0,12.0
UnhealthyInheritance63,4.0,1.0,5.0,13.0,110.0
UnhealthyInheritance64,4.0,0.0,0.0,5.0,15.0
UnhealthyInheritance65,4.0,3.0,22.0,33.0,283.0
UnhealthyInheritance66,4.0,12.0,139.0,90.0,929.0
UnhealthyInheritance67,3.0,0.0,0.0,8.0,139.0
UnhealthyInheritance68,3.0,1.0,8.0,16.0,167.0
UnhealthyInheritance69,3.0,2.0,6.0,19.0,149.0
UnhealthyInheritance70,3.0,9.0,106.0,62.0,641.0
