IssueType,Issue Size,#Bug Commits,Tot Loc bug changed,#Changes,Tot Loc changed
UnstableInterface1,103.0,110.0,1221.0,867.0,9467.0
UnstableInterface2,81.0,105.0,1242.0,740.0,7676.0
UnstableInterface3,77.0,83.0,936.0,705.0,7905.0
UnstableInterface4,74.0,77.0,904.0,665.0,7321.0
UnstableInterface5,74.0,86.0,1091.0,687.0,6959.0
UnstableInterface6,70.0,101.0,1092.0,653.0,6227.0
UnstableInterface7,69.0,74.0,892.0,642.0,6905.0
UnstableInterface8,66.0,83.0,1045.0,649.0,6751.0
UnstableInterface9,63.0,84.0,1024.0,627.0,6457.0
UnstableInterface10,62.0,85.0,925.0,613.0,6174.0
UnstableInterface11,61.0,89.0,844.0,609.0,5962.0
UnstableInterface12,54.0,65.0,806.0,562.0,5700.0
UnstableInterface13,53.0,64.0,866.0,536.0,5380.0
UnstableInterface14,45.0,54.0,660.0,473.0,4758.0
UnstableInterface15,44.0,53.0,656.0,472.0,4733.0
UnstableInterface16,40.0,72.0,852.0,505.0,5901.0
UnstableInterface17,33.0,49.0,760.0,423.0,5417.0
UnstableInterface18,31.0,27.0,302.0,334.0,3365.0
UnstableInterface19,22.0,41.0,705.0,298.0,3549.0

UnstableInterface-All,136.0,135.0,1423.0,1025.0,10857.0
