Index,Size,Fan-in,Fan-out,CrossingCenter
Crossing1,95,87,52,core.src.main.java.jenkins.model.Jenkins_java,
Crossing2,35,31,5,core.src.main.java.hudson.model.Descriptor_java,
Crossing3,35,19,24,core.src.main.java.hudson.Functions_java,
Crossing4,34,25,22,core.src.main.java.hudson.model.Computer_java,
Crossing5,30,24,15,core.src.main.java.hudson.model.Job_java,
Crossing6,29,17,23,core.src.main.java.hudson.model.AbstractProject_java,
Crossing7,28,19,16,core.src.main.java.hudson.model.Run_java,
Crossing8,24,18,13,core.src.main.java.hudson.model.Queue_java,
Crossing9,23,18,9,core.src.main.java.hudson.model.Node_java,
Crossing10,21,11,16,core.src.main.java.hudson.model.AbstractBuild_java,
Crossing11,20,14,9,core.src.main.java.hudson.model.Items_java,
Crossing12,19,7,14,core.src.main.java.hudson.model.View_java,
Crossing13,19,7,17,core.src.main.java.hudson.PluginManager_java,
Crossing14,17,11,8,core.src.main.java.hudson.model.User_java,
Crossing15,17,5,16,core.src.main.java.hudson.scm.SCM_java,
Crossing16,16,11,7,core.src.main.java.hudson.FilePath_java,
Crossing17,14,7,11,core.src.main.java.hudson.model.UpdateCenter_java,
Crossing18,14,7,8,core.src.main.java.hudson.model.AbstractItem_java,
Crossing19,13,7,6,core.src.main.java.hudson.model.Cause_java,
Crossing20,13,6,8,core.src.main.java.hudson.model.Slave_java,
Crossing21,12,7,9,core.src.main.java.hudson.model.Fingerprint_java,
Crossing22,12,10,5,core.src.main.java.hudson.Launcher_java,
Crossing23,11,4,6,core.src.main.java.hudson.diagnosis.OldDataMonitor_java,
Crossing24,11,6,8,core.src.main.java.hudson.model.Executor_java,
Crossing25,10,7,6,core.src.main.java.hudson.model.UpdateSite_java,
Crossing26,9,5,7,core.src.main.java.hudson.triggers.Trigger_java,
Crossing27,8,6,6,core.src.main.java.hudson.PluginWrapper_java,

