Index,Size
ModularityViolation1,69
ModularityViolation2,65
ModularityViolation3,59
ModularityViolation4,54
ModularityViolation5,48
ModularityViolation6,46
ModularityViolation7,43
ModularityViolation8,42
ModularityViolation9,41
ModularityViolation10,40
ModularityViolation11,35
ModularityViolation12,23
ModularityViolation13,19
ModularityViolation14,14
ModularityViolation15,14
ModularityViolation16,13
ModularityViolation17,11
ModularityViolation18,9
ModularityViolation19,3
ModularityViolation20,2
ModularityViolation21,2
ModularityViolation22,2

