"FileName","ChangeChurn"
"war.yarn_lock","9430"
"war.images.computer-user-offline_svg","3047"
"war.src.main.less.base.style_less","2407"
"war.src.main.webapp.css.style_css","2183"
"pom_xml","1049"
"test.src.test.java.hudson.model.RSSTest_java","819"
"core.src.main.java.jenkins.security.SuppressionFilter_java","760"
"war.images.computer_svg","739"
"test.pom_xml","691"
"test-pom.pom_xml","637"
"war.images.graph_svg","632"
"core.src.main.java.jenkins.model.Jenkins_java","629"
"war.images.new-package_svg","626"
"test.src.test.java.jenkins.security.SuppressionFilterTest_java","608"
"war.pom_xml","606"
"war.images.keys_svg","558"
"war.src.main.less.modules.buttons_less","549"
"core.pom_xml","527"
"war.images.go-up_svg","514"
"bom.pom_xml","498"
"core.src.main.java.hudson.PluginManager_java","486"
"test.src.test.java.jenkins.telemetry.impl.java11.MissingClassTelemetryFasterTest_java","480"
"core.src.main.java.hudson.Functions_java","477"
"war.images.document_svg","477"
"cli.pom_xml","474"
"test.src.test.java.lib.form.PasswordTest_java","468"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassTelemetry_java","442"
"test.src.test.java.jenkins.security.StackTraceSuppressionTest_java","430"
"war.images.terminal_svg","430"
"war.images.secure_svg","416"
"test.src.test.java.jenkins.security.ResourceDomainTest_java","415"
"core.src.main.java.jenkins.security.stapler.StaplerDispatchValidator_java","402"
"core.src.main.java.jenkins.agents.WebSocketAgents_java","391"
"war.images.shield_svg","389"
"core.src.main.java.hudson.util.ProcessTree_java","382"
"test.src.test.java.hudson.UDPBroadcastThreadTest_java","382"
"core.src.main.java.jenkins.security.StackTraceSuppressionFilter_java","382"
"war.images.system-log-out_svg","363"
"war.images.certificate_svg","363"
"core.src.main.java.jenkins.security.ResourceDomainRootAction_java","356"
"core.src.main.java.hudson.Util_java","349"
"war.src.main.webapp.scripts.hudson-behavior_js","346"
"war.images.warning_svg","343"
"war.images.save-new_svg","342"
"war.images.plugin_svg","341"
"core.src.main.java.hudson.model.UpdateCenter_java","340"
"core.src.main.java.hudson.DNSMultiCast_java","337"
"war.images.emblem-urgent_svg","332"
"core.src.main.java.hudson.slaves.SlaveComputer_java","322"
"war.src.main.webapp.css.google-fonts.roboto.fonts.roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-300_svg","315"
"core.src.main.java.hudson.model.queue.WorkUnitContext_java","314"
"war.src.main.webapp.css.google-fonts.roboto.fonts.roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-700_svg","311"
"core.src.main.java.jenkins.util.AntClassLoader_java","310"
"war.src.main.webapp.css.google-fonts.roboto.fonts.roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-regular_svg","309"
"test.src.test.java.jenkins.security.StackTraceSuppressionFilterTest_java","308"
"war.src.main.webapp.css.google-fonts.roboto.fonts.roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-500_svg","306"
"war.src.main.webapp.css.google-fonts.roboto.fonts.roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-900_svg","305"
"core.src.main.java.hudson.model.Run_java","304"
"war.src.main.js.pluginSetupWizardGui_js","302"
"core.src.main.java.jenkins.security.ResourceDomainConfiguration_java","300"
"test.src.test.java.hudson.security.csrf.DefaultCrumbIssuerSEC1491Test_java","295"
"test.src.test.java.hudson.model.SimpleJobTest_java","288"
"_github.release-drafter_yml","287"
"war.images.logo_svg","284"
"docs.MAINTAINERS_adoc","282"
"core.src.main.java.hudson.model.UpdateSite_java","280"
"core.src.main.java.hudson.cli.CLIAction_java","279"
"core.src.main.java.jenkins.telemetry.impl.AutoRefresh_java","276"
"test.src.test.java.jenkins.AgentProtocolSecurity1682Test_java","270"
"war.images.red_svg","266"
"test.src.test.java.jenkins.AgentProtocolTest_java","261"
"war.src.main.less.modules.page-header_less","260"
"test.src.test.java.jenkins.model.JenkinsManagePermissionTest_java","259"
"test.src.test.java.hudson.security.WhoAmITest_java","259"
"test.src.test.java.hudson.diagnosis.ReverseProxySetupMonitorTest_java","258"
"core.src.main.java.hudson.PluginWrapper_java","254"
"war.images.star-gold_svg","250"
"war.src.test.js.pluginSetupWizard_spec_js","245"
"core.src.main.java.hudson.util.jna.DotNet_java","241"
"test-jdk8.pom_xml","240"
"cli.src.main.java.hudson.cli.CLI_java","235"
"core.src.main.resources.hudson.PluginManager.table_jelly","228"
"war.images.star-large-gold_svg","225"
"core.src.main.resources.lib.form.password_jelly","223"
"test.src.test.java.jenkins.agents.WebSocketAgentsTest_java","222"
"war.src.main.less.base.layout-commons_less","221"
"cli.src.main.java.hudson.cli.PlainCLIProtocol_java","221"
"test.src.test.java.hudson.model.queue.BuildKeepsRunningWhenFaultySubTasksTest_java","218"
"war.images.hourglass_svg","218"
"core.src.main.resources.jenkins.install.pluginSetupWizard_zh_CN_properties","216"
"test.src.test.java.hudson.security.ACLTest_java","211"
"core.src.main.resources.hudson.PluginManager.installed_jelly","206"
"core.src.main.java.jenkins.websocket.WebSocketSession_java","202"
"war.images.edit-delete_svg","197"
"test.src.test.java.hudson.tasks.EnvVarsInConfigTasksTest_java","195"
"test.src.test.java.hudson.PluginManagerInstalledGUITest_java","194"
"war.webpack_config_js","193"
"core.src.main.java.hudson.model.Computer_java","192"
"war.src.test.js.pluginSetupWizard-spec_js","190"
"test.src.test.java.jenkins.model.JenkinsLocationConfigurationSEC1471Test_java","188"
"core.src.main.java.hudson.init.impl.InstallUncaughtExceptionHandler_java","187"
"core.src.main.resources.hudson.PluginManager.advanced_jelly","186"
"test.src.test.java.jenkins.security.stapler.StaplerDispatchValidatorTest_java","183"
"test.src.test.java.hudson.slaves.SlaveComputerTest_java","183"
"war.src.main.webapp.css.responsive-grid_css","181"
"core.src.main.resources.hudson.PluginManager._table_js","180"
"test.src.test.resources.hudson.model.hudson_tasks_Maven_MavenInstaller_json_html","174"
"war.src.main.less.pluginSetupWizard_less","172"
"core.src.main.resources.lib.layout.breadcrumbs_css","169"
"core.src.main.java.hudson.model.User_java","158"
"core.src.main.java.hudson.triggers.SlowTriggerAdminMonitor_java","156"
"test.src.test.java.jenkins.install.LoadDetachedPluginsTest_java","156"
"test.src.test.java.hudson.scm.AbstractScmTagActionTest_java","156"
"war.src.main.webapp.css.layout-common_css","155"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassEvents_java","154"
"test.src.test.java.jenkins.telemetry.MissingClassTelemetryTest_java","152"
"core.src.main.java.jenkins.model.DownloadSettings_java","151"
"core.src.main.resources.lib.layout.layout_jelly","150"
"war.src.main.js.util.jenkins_js","149"
"test.src.test.java.jenkins.model.GlobalBuildDiscarderTest_java","149"
"core.src.main.java.hudson.FilePath_java","145"
"core.src.main.java.hudson.model.ManagementLink_java","144"
"war.src.main.webapp.css.icomoon.fonts.icomoon_svg","142"
"test.src.test.java.jenkins.model.JenkinsTest_java","141"
"test.src.test.java.hudson.security.csrf.CrumbExclusionTest_java","141"
"core.src.main.java.hudson.model.Queue_java","139"
"core.src.main.java.hudson.model.TimeZoneProperty_java","139"
"core.src.main.java.jenkins.security.ExceptionTranslationFilter_java","138"
"test.src.test.java.hudson.model.QueueTest_java","137"
"core.src.main.java.hudson.security.ACL_java","133"
"war.src.test.js.widgets.config.tabbar_spec_js","133"
"core.src.main.java.hudson.util.FormFieldValidator_java","132"
"core.src.main.java.hudson.model.Items_java","129"
"_github.workflows.changelog_yml","127"
"core.src.main.java.jenkins.util.io.CompositeIOException_java","127"
"war.src.main.less.abstracts.colors_less","126"
"war.src.test.js.widgets.config.scrollspy_spec_js","126"
"core.src.main.java.hudson.model.View_java","125"
"test.src.test.java.jenkins.triggers.TriggerTest_java","125"
"core.src.main.java.hudson.UDPBroadcastThread_java","125"
"core.src.main.java.hudson.model.AbstractProject_java","124"
"test.src.test.java.hudson.model.AbstractProjectSEC1781Test_java","122"
"test.src.test.java.jenkins.security.seed.UserSeedSecurityListenerTest_java","122"
"test.src.test.java.hudson.model.FileParameterValueTest_java","120"
"core.src.main.java.jenkins.websocket.WebSockets_java","119"
"war.src.main.less.base.visibility-utils_less","117"
"test.src.test.java.hudson.security.TokenBasedRememberMeServices2Test_java","116"
"test.src.test.java.hudson.ExtensionListTest_java","115"
"test.src.test.java.hudson.model.ApiSEC1704Test_java","115"
"test.src.test.java.jenkins.security.stapler.Security400Test_java","112"
"core.src.main.java.hudson.ExtensionFinder_java","111"
"core.src.main.resources.jenkins.model.Jenkins.manage_jelly","111"
"test.src.test.java.hudson.security.csrf.DefaultCrumbIssuerSEC626Test_java","111"
"core.src.main.java.hudson.Launcher_java","109"
"war.gulpfile_js","109"
"core.src.main.resources.lib.layout.pageHeader_jelly","109"
"test.src.test.java.hudson.model.ViewDescriptorTest_java","108"
"core.src.test.java.hudson.slaves.NodeListTest_java","108"
"war.src.test.js.widgets.config.scrollspy-spec_js","108"
"core.src.main.java.jenkins.slaves.JnlpSlaveAgentProtocol_java","107"
"test.src.test.java.jenkins.model.JenkinsSystemReadAndManagePermissionTest_java","106"
"core.src.main.java.hudson.model.DownloadService_java","104"
"test.src.test.java.jenkins.security.SuspiciousRequestFilterTest_java","104"
"core.src.main.java.jenkins.slaves.JnlpSlaveAgentProtocol3_java","101"
"war.src.main.less.base.typography_less","101"
"core.src.main.java.hudson.model.Slave_java","100"
"war.src.test.js.widgets.config.tabbar-spec_js","99"
"core.src.main.java.jenkins.DailyCheck_java","99"
"core.src.main.java.hudson.model.Fingerprint_java","98"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassEvent_java","98"
"core.src.main.java.hudson.tasks.LogRotator_java","97"
"core.src.main.java.hudson.util.DOSToUnixPathHelper_java","96"
"core.src.main.java.jenkins.model.IdStrategy_java","96"
"war.src.main.js.widgets.config.tabbar_js","94"
"war.src.main.less.ui-refresh-overrides_less","94"
"test.src.test.resources.jenkins.AgentProtocolSecurity1682Test.testShouldReallyEnable3.config_xml","94"
"core.src.main.java.jenkins.slaves.DeprecatedAgentProtocolMonitor_java","94"
"core.src.main.resources.hudson.PluginManager._table_css","93"
"test.src.test.java.hudson.security.SecurityRealmTest_java","90"
"test.src.test.java.hudson.model.ItemGroupMixInTest_java","90"
"core.src.main.java.jenkins.security.ResourceDomainFilter_java","90"
"core.src.main.java.hudson.security.HudsonPrivateSecurityRealm_java","88"
"test.src.test.java.hudson.tasks.ArtifactArchiverTest_java","88"
"core.src.main.java.jenkins.security.ResourceDomainRecommendation_java","85"
"core.src.main.resources.jenkins.model.Jenkins.oops_jelly","84"
"core.src.main.java.hudson.security.csrf.DefaultCrumbIssuer_java","83"
"core.src.main.java.hudson.ProxyConfiguration_java","83"
"test.src.test.java.hudson.ExtensionFinderTest_java","83"
"war.src.main.js.util.page_js","83"
"war.src.main.less.modules.page-footer_less","83"
"CONTRIBUTING_md","82"
"core.src.main.resources.hudson.atom_jelly","81"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderStrategy_java","81"
"test.src.test.java.lib.form.EnumTest_java","81"
"core.src.main.java.jenkins.model.GlobalBuildDiscarderConfiguration_java","80"
"core.src.main.resources.hudson.security.WhoAmI.index_jelly","80"
"core.src.main.java.jenkins.model.BackgroundGlobalBuildDiscarder_java","80"
"core.src.main.java.hudson.slaves.JNLPLauncher_java","78"
"core.src.main.java.jenkins.model.SimpleGlobalBuildDiscarderStrategy_java","78"
"test.src.test.java.hudson.model.UpdateSiteTest_java","78"
