"FileName","TargetChurn"
"test.src.test.java.hudson.model.RSSTest_java","284"
"core.src.main.resources.jenkins.install.pluginSetupWizard_zh_CN_properties","216"
"test.src.test.java.hudson.model.queue.BuildKeepsRunningWhenFaultySubTasksTest_java","202"
"core.src.main.java.jenkins.agents.WebSocketAgents_java","200"
"test.src.test.java.hudson.PluginManagerInstalledGUITest_java","194"
"test.src.test.java.hudson.slaves.SlaveComputerTest_java","182"
"core.src.main.java.hudson.slaves.SlaveComputer_java","153"
"war.src.main.webapp.scripts.hudson-behavior_js","145"
"test.src.test.java.jenkins.install.LoadDetachedPluginsTest_java","135"
"core.src.main.java.hudson.DNSMultiCast_java","130"
"test.src.test.java.jenkins.security.seed.UserSeedSecurityListenerTest_java","122"
"test.src.test.java.jenkins.telemetry.impl.java11.MissingClassTelemetryFasterTest_java","122"
"core.src.main.java.hudson.PluginWrapper_java","114"
"test.src.test.java.jenkins.security.stapler.Security400Test_java","110"
"core.src.main.java.jenkins.model.Jenkins_java","102"
"test.src.test.java.hudson.security.TokenBasedRememberMeServices2Test_java","102"
"test.src.test.java.hudson.model.ViewDescriptorTest_java","102"
"test.src.test.java.jenkins.security.ResourceDomainTest_java","97"
"test.src.test.java.jenkins.model.JenkinsTest_java","96"
"core.src.main.java.hudson.PluginManager_java","95"
"core.src.main.java.hudson.tasks.LogRotator_java","93"
"core.src.main.java.jenkins.util.io.CompositeIOException_java","93"
"war.src.main.less.base.style_less","90"
"test.src.test.java.jenkins.agents.WebSocketAgentsTest_java","90"
"core.src.main.java.hudson.Util_java","85"
"core.src.main.resources.hudson.PluginManager._table_js","79"
"test.src.test.java.hudson.ExtensionListTest_java","77"
"core.src.main.resources.hudson.atom_jelly","77"
"test.src.test.java.hudson.model.QueueTest_java","76"
"core.src.main.java.hudson.model.Run_java","73"
"core.src.test.java.hudson.model.QueueTest_java","72"
"core.src.main.java.hudson.tasks.Fingerprinter_java","68"
"test.src.test.java.hudson.util.FormValidationTest_java","66"
"core.src.main.resources.jenkins.install.SetupWizard.authenticate-security-token_zh_CN_properties","64"
"test.src.test.java.hudson.PluginManagerTest_java","63"
"core.src.main.java.hudson.model.UpdateCenter_java","62"
"core.src.test.java.hudson.slaves.ComputerLauncherTest_java","60"
"core.src.test.java.hudson.model.AbstractItemTest_java","59"
"test.src.test.java.jenkins.model.AssetManagerTest_java","58"
"core.src.main.resources.jenkins.install.SetupWizard.setupWizardConfigureInstance_zh_CN_properties","56"
"core.src.main.resources.hudson.rss20_jelly","55"
"core.src.main.resources.jenkins.install.UpgradeWizard.client-scripts_zh_CN_properties","52"
"core.src.main.java.jenkins.websocket.WebSocketSession_java","50"
"core.src.main.resources.jenkins.install.Messages_zh_CN_properties","50"
"core.src.test.java.hudson.model.FingerprintCleanupThreadTest_java","50"
"core.src.main.resources.jenkins.install.SetupWizard.proxy-configuration_zh_CN_properties","48"
"core.src.main.resources.jenkins.install.SetupWizard.setupWizardFirstUser_zh_CN_properties","48"
"core.src.main.java.hudson.model.queue.WorkUnitContext_java","47"
"core.src.main.resources.hudson.PluginManager.installed_jelly","42"
"core.src.main.java.jenkins.telemetry.impl.java11.MissingClassEvents_java","41"
"core.src.main.java.hudson.model.View_java","40"
"test.src.test.java.jenkins.model.GlobalBuildDiscarderTest_java","40"
"test.src.test.java.jenkins.model.PeepholePermalinkTest_java","40"
"core.src.test.java.jenkins.util.io.PathRemoverTest_java","38"
"core.src.main.resources.hudson.tasks.Fingerprinter.help-defaultExcludes_groovy","38"
"core.src.main.java.hudson.model.Computer_java","37"
"core.src.main.java.hudson.model.RSS_java","36"
"core.src.main.java.hudson.ExtensionComponent_java","36"
"core.src.main.java.hudson.ExtensionFinder_java","35"
"core.src.main.java.jenkins.security.ResourceDomainRootAction_java","33"
"war.src.main.webapp.css.style_css","32"
"core.src.main.java.hudson.model.ListView_java","32"
"core.src.main.java.hudson.slaves.NodeProvisioner_java","32"
"core.src.main.java.hudson.model.UpdateSite_java","30"
"core.src.main.java.jenkins.util.io.PathRemover_java","30"
"core.src.main.java.hudson.slaves.SlaveComputerUtil_java","30"
"core.src.main.java.hudson.model.Executor_java","30"
"war.src.main.less.abstracts.colors_less","29"
"war.pom_xml","28"
"core.pom_xml","28"
"war.src.main.js.pluginSetupWizardGui_js","28"
"test.src.test.resources.jenkins.model.GlobalBuildDiscarderTest.testLoadingWithDiscarders.jenkins_model_GlobalBuildDiscarderConfiguration_xml","28"
"core.src.main.java.hudson.model.Job_java","26"
"core.src.main.java.hudson.util.RobustReflectionConverter_java","25"
"core.src.main.java.hudson.security.TokenBasedRememberMeServices2_java","25"
"core.src.main.resources.lib.hudson.rssBar_jelly","24"
"core.src.main.resources.hudson.tasks.Fingerprinter.help-defaultExcludes_properties","24"
"core.src.main.resources.hudson.tasks.Fingerprinter.config_properties","24"
"pom_xml","22"
"war.src.main.webapp.scripts.yui.button.button-debug_js","22"
"test.src.test.java.hudson.util.HudsonIsLoading_java","22"
"test.src.test.java.hudson.util.HudsonIsLoadingTest_java","22"
"core.src.main.java.hudson.util.ProcessTree_java","21"
"core.src.main.resources.hudson.model.queue._api_jelly","21"
"test.src.test.java.hudson.util.HudsonIsRestarting_java","21"
"test.src.test.java.hudson.util.HudsonIsRestartingTest_java","21"
"core.src.main.resources.lib.form.textarea_jelly","20"
"core.src.main.java.hudson.ClassicPluginStrategy_java","20"
"core.src.main.resources.lib.form.password_jelly","20"
"core.src.main.java.hudson.tools.DownloadFromUrlInstaller_java","20"
"core.src.main.java.jenkins.security.seed.UserSeedSecurityListener_java","20"
"core.src.main.java.hudson.security.SecurityRealm_java","19"
"core.src.main.java.jenkins.security.ResourceDomainConfiguration_java","18"
"core.src.main.java.hudson.model.ChoiceParameterDefinition_java","18"
"core.src.main.java.hudson.DescriptorExtensionList_java","17"
"core.src.main.java.hudson.model.User_java","17"
"core.src.main.java.hudson.util.DescriptorList_java","17"
"test.src.test.java.hudson.ExtensionFinderTest_java","17"
"core.src.main.resources.hudson.widgets.HistoryWidget.index_jelly","16"
"core.src.main.java.hudson.security.HttpSessionContextIntegrationFilter2_java","16"
"core.src.main.java.hudson.TcpSlaveAgentListener_java","16"
"core.src.main.java.hudson.init.InitMilestone_java","16"
"core.src.main.resources.hudson.Messages_properties","16"
