"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"src.org.jgroups.logging.Log_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"src.org.jgroups.protocols.UNICAST_java","0","0","0","6","42","0","0","false","1","3","0","0","false"
"src.org.jgroups.stack.NakReceiverWindow_java","0","0","0","0","0","0","0","false","0","2","1","0","false"
"src.org.jgroups.util.Seqno_java","0","0","0","0","0","0","0","false","0","5","1","0","false"
"src.org.jgroups.demos.ExecutionServiceDemo_java","0","0","0","0","0","0","0","false","0","0","1","0","false"
"src.org.jgroups.protocols.STATS_java","0","0","0","4","16","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.UNICAST2_java","0","0","0","29","1002","0","2","false","2","3","0","3","false"
"src.org.jgroups.protocols.tom.MessageID_java","0","0","0","1","5","0","0","false","0","0","0","0","false"
"src.org.jgroups.demos.TotalOrder_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.protocols.RATE_LIMITER_java","0","0","0","12","362","0","0","false","0","3","0","0","false"
"src.org.jgroups.demos.RelayDemoRpc_java","0","0","0","6","181","0","0","false","0","0","0","0","false"
"src.org.jgroups.annotations.Property_java","0","0","0","0","0","1","0","false","0","1","0","0","false"
"src.org.jgroups.auth.X509Token_java","0","0","0","1","34","1","0","false","0","2","1","0","false"
"src.org.jgroups.util.NullFuture_java","0","0","0","0","0","0","0","false","0","5","0","0","false"
"src.org.jgroups.jmx.ResourceDMBean_java","0","0","0","3","656","1","0","false","0","2","0","0","false"
"src.org.jgroups.annotations.ManagedAttribute_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.protocols.DELAY_java","0","0","0","2","150","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.Executing_java","0","0","0","3","417","0","0","false","0","4","2","0","false"
"src.org.jgroups.blocks.mux.Muxer_java","0","0","0","0","0","0","0","false","0","1","1","0","false"
"src.org.jgroups.protocols.tom.ToaHeader_java","0","0","0","3","59","0","0","false","0","0","0","0","false"
"src.org.jgroups.ReceiverAdapter_java","0","0","0","0","0","0","0","false","0","4","0","0","false"
"src.org.jgroups.protocols.pbcast.NAKACK2_java","0","0","0","31","1255","0","2","false","2","2","0","2","false"
"src.org.jgroups.protocols.tom.TOA_java","0","0","0","6","248","0","0","false","0","0","0","0","false"
"src.org.jgroups.protocols.tom.SequenceNumberManager_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"src.org.jgroups.util.Headers_java","0","0","0","2","26","1","0","false","0","6","0","0","false"
"src.org.jgroups.conf.ClassConfigurator_java","0","0","0","2","52","1","0","false","0","3","0","0","false"
"src.org.jgroups.Address_java","0","0","0","1","8","0","0","false","0","5","2","0","false"
"src.org.jgroups.util.StateTransferResult_java","0","0","0","0","0","0","0","false","0","5","0","0","false"
"src.org.jgroups.util.SeqnoComparator_java","0","0","0","0","0","0","0","false","0","5","1","0","false"
"src.org.jgroups.PhysicalAddress_java","0","0","0","0","0","0","0","false","0","4","2","0","false"
"src.org.jgroups.blocks.mux.NoMuxHandler_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.util.ExposedDataOutputStream_java","0","0","0","0","0","0","0","false","0","5","0","0","false"
"src.org.jgroups.protocols.AuthHeader_java","0","0","0","2","94","1","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.Locking_java","0","0","0","2","210","0","0","false","0","4","1","0","false"
"src.org.jgroups.protocols.pbcast.CoordGmsImpl_java","0","0","0","10","54","1","0","false","0","1","3","0","false"
"src.org.jgroups.blocks.ReplicatedTree_java","0","0","0","2","2","0","0","false","0","2","0","0","false"
"src.org.jgroups.TimeoutException_java","0","0","0","0","0","0","0","false","0","4","0","0","false"
"src.org.jgroups.blocks.MessageDispatcher_java","0","0","0","14","513","1","0","false","1","4","2","0","false"
"src.org.jgroups.protocols.ENCRYPT_java","0","0","0","1","98","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.PEER_LOCK_java","0","0","0","2","16","0","0","false","0","2","0","0","false"
"src.org.jgroups.Header_java","0","0","0","0","0","0","0","false","0","4","0","0","false"
"src.org.jgroups.blocks.MemcachedConnector_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"src.org.jgroups.blocks.ReplCache_java","0","0","0","0","0","0","0","false","0","2","3","0","false"
"src.org.jgroups.blocks.MethodCall_java","0","0","0","1","34","1","0","false","0","1","0","0","false"
"src.org.jgroups.util.Tuple_java","0","0","0","0","0","0","0","false","0","6","0","0","false"
"src.org.jgroups.annotations.Immutable_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.stack.DefaultRetransmitter_java","0","0","0","0","0","0","0","false","0","2","1","0","false"
"src.org.jgroups.JChannel_java","0","0","0","19","572","1","1","false","0","6","1","1","false"
"src.org.jgroups.conf.XmlConfigurator_java","0","0","0","1","14","1","0","false","0","3","1","0","false"
"src.org.jgroups.blocks.executor.ExecutionRunner_java","0","0","0","2","206","0","0","false","0","1","1","0","false"
"src.org.jgroups.demos.QuoteServer_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.protocols.DAISYCHAIN_java","0","0","0","6","190","0","0","false","0","3","0","0","false"
"src.org.jgroups.stack.GossipRouter_java","0","0","0","8","76","1","1","false","4","4","1","3","false"
"src.org.jgroups.protocols.relay.Relayer_java","0","0","0","34","1332","1","1","false","1","1","2","3","false"
"src.org.jgroups.protocols.HDRS_java","0","0","0","2","20","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.BPING_java","0","0","0","4","14","0","1","false","3","3","2","3","false"
"src.org.jgroups.util.ExposedByteArrayOutputStream_java","0","0","0","0","0","0","0","false","0","5","0","0","false"
"src.org.jgroups.protocols.COUNTER_java","0","0","0","1","4","0","0","false","0","4","0","0","false"
"src.org.jgroups.util.DefaultTimeScheduler_java","0","0","0","3","56","1","1","false","1","5","0","1","false"
"src.org.jgroups.Membership_java","0","0","0","0","0","0","0","false","0","4","0","0","false"
"src.org.jgroups.demos.LockServiceDemo_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.stack.Retransmitter_java","0","0","0","0","0","0","0","false","0","2","2","0","false"
"src.org.jgroups.stack.ExponentialInterval_java","0","0","0","0","0","0","0","false","0","1","1","0","false"
"src.org.jgroups.ChannelListener_java","0","0","0","0","0","0","0","false","0","4","0","0","false"
"src.org.jgroups.UpHandler_java","0","0","0","0","0","0","0","false","0","4","1","0","false"
"src.org.jgroups.conf.PropertyConverter_java","0","0","0","0","0","0","0","false","0","2","1","0","false"
"src.org.jgroups.protocols.SEQUENCER_java","0","0","0","34","1830","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.FD_SOCK_java","0","0","0","12","232","0","2","false","2","3","0","2","false"
"src.org.jgroups.AnycastAddress_java","0","0","0","1","4","0","0","false","0","4","0","0","false"
"src.org.jgroups.blocks.ReplicatedHashMap_java","0","0","0","1","6","0","0","false","0","2","1","0","false"
"src.org.jgroups.protocols.BSH_java","0","0","0","1","140","0","0","false","0","3","0","0","false"
"src.org.jgroups.util.SeqnoList_java","0","0","0","5","90","0","0","false","0","5","0","0","false"
"src.org.jgroups.demos.DrawCommand_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.blocks.Request_java","0","0","0","4","52","1","0","false","0","2","1","0","false"
"src.org.jgroups.protocols.tom.DeliveryManagerImpl_java","0","0","0","2","79","0","0","false","0","0","0","0","false"
"src.org.jgroups.blocks.locking.LockInfo_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"src.org.jgroups.demos.ViewDemo_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.stack.RouterStub_java","0","0","0","1","154","1","0","false","0","3","1","0","false"
"src.org.jgroups.protocols.tom.DeliveryProtocol_java","0","0","0","1","6","0","0","false","0","0","0","0","false"
"src.org.jgroups.demos.ReplCacheDemo_java","0","0","0","0","0","0","0","false","0","0","2","0","false"
"src.org.jgroups.blocks.locking.LockNotification_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"src.org.jgroups.demos.wb.GraphPanel_java","0","0","0","0","0","1","0","false","0","0","0","0","false"
"src.org.jgroups.Version_java","0","0","0","39","130","0","0","false","0","4","0","0","false"
"src.org.jgroups.util.ProgressCheckRejectionPolicy_java","0","0","0","2","154","1","0","false","0","5","0","0","false"
"src.org.jgroups.demos.KeyStoreGenerator_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"src.org.jgroups.util.UUID_java","0","0","0","1","2","0","0","false","0","7","0","0","false"
"src.org.jgroups.blocks.locking.LockService_java","0","0","0","0","0","0","0","false","0","1","1","0","false"
"src.org.jgroups.util.FutureListener_java","0","0","0","0","0","0","0","false","0","5","1","0","false"
"src.org.jgroups.protocols.relay.SiteAddress_java","0","0","0","1","13","0","0","false","0","0","2","0","false"
"src.org.jgroups.protocols.TRACE_java","0","0","0","2","20","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.RACKSPACE_PING_java","0","0","0","0","0","0","0","false","0","2","1","0","false"
"src.org.jgroups.util.ResponseCollector_java","0","0","0","1","7","0","0","false","0","5","0","0","false"
"src.org.jgroups.protocols.DISCARD_java","0","0","0","5","456","0","0","false","1","3","0","2","false"
"src.org.jgroups.util.SingletonAddress_java","0","0","0","0","0","0","0","false","0","5","0","0","false"
"src.org.jgroups.protocols.CENTRAL_EXECUTOR_java","0","0","0","0","0","0","0","false","0","3","1","0","false"
"src.org.jgroups.protocols.DELAY_JOIN_REQ_java","0","0","0","2","118","0","0","false","0","4","0","0","false"
"src.org.jgroups.demos.wb.Whiteboard_java","0","0","0","0","0","1","0","false","0","0","0","0","false"
"src.org.jgroups.protocols.VERIFY_SUSPECT_java","0","0","0","4","281","0","0","false","0","3","0","0","false"
"src.org.jgroups.protocols.TCP_java","0","0","0","13","88","0","2","false","1","4","2","3","false"
"src.org.jgroups.blocks.RspFilter_java","0","0","0","0","0","0","0","false","0","2","0","0","false"
"src.org.jgroups.protocols.pbcast.STATE_java","0","0","0","1","2","0","0","false","0","1","1","0","false"
"src.org.jgroups.ViewId_java","0","0","0","0","0","1","0","false","0","4","0","0","false"
"src.org.jgroups.blocks.RequestOptions_java","0","0","0","1","31","0","0","false","0","3","0","0","false"
"src.org.jgroups.demos.wb.MessageDialog_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
