IssueType,Issue Size,#Changes,Tot Loc changed
UnhealthyInheritance1,48.0,411.0,11421.0
UnhealthyInheritance2,9.0,31.0,1271.0
UnhealthyInheritance3,8.0,26.0,650.0
UnhealthyInheritance4,7.0,66.0,1832.0
UnhealthyInheritance5,6.0,49.0,648.0
UnhealthyInheritance6,6.0,23.0,670.0
UnhealthyInheritance7,6.0,21.0,615.0
UnhealthyInheritance8,5.0,19.0,98.0
UnhealthyInheritance9,5.0,133.0,4245.0
UnhealthyInheritance10,5.0,27.0,1323.0
UnhealthyInheritance11,4.0,0.0,0.0
UnhealthyInheritance12,4.0,6.0,342.0
UnhealthyInheritance13,4.0,33.0,805.0
UnhealthyInheritance14,4.0,0.0,0.0
UnhealthyInheritance15,4.0,0.0,0.0
UnhealthyInheritance16,4.0,93.0,2752.0
UnhealthyInheritance17,4.0,5.0,223.0
UnhealthyInheritance18,4.0,0.0,0.0
UnhealthyInheritance19,4.0,1.0,30.0
UnhealthyInheritance20,4.0,2.0,16.0
UnhealthyInheritance21,3.0,0.0,0.0
UnhealthyInheritance22,3.0,0.0,0.0
UnhealthyInheritance23,3.0,4.0,219.0
UnhealthyInheritance24,3.0,11.0,471.0
UnhealthyInheritance25,3.0,62.0,2356.0
UnhealthyInheritance26,3.0,1.0,30.0
UnhealthyInheritance27,3.0,3.0,80.0
UnhealthyInheritance28,3.0,78.0,2708.0
UnhealthyInheritance29,3.0,0.0,0.0

UnhealthyInheritance-All,120.0,564.0,16052.0
