Index,Size
UnhealthyInheritance1,48
UnhealthyInheritance2,9
UnhealthyInheritance3,8
UnhealthyInheritance4,7
UnhealthyInheritance5,6
UnhealthyInheritance6,6
UnhealthyInheritance7,6
UnhealthyInheritance8,5
UnhealthyInheritance9,5
UnhealthyInheritance10,5
UnhealthyInheritance11,4
UnhealthyInheritance12,4
UnhealthyInheritance13,4
UnhealthyInheritance14,4
UnhealthyInheritance15,4
UnhealthyInheritance16,4
UnhealthyInheritance17,4
UnhealthyInheritance18,4
UnhealthyInheritance19,4
UnhealthyInheritance20,4
UnhealthyInheritance21,3
UnhealthyInheritance22,3
UnhealthyInheritance23,3
UnhealthyInheritance24,3
UnhealthyInheritance25,3
UnhealthyInheritance26,3
UnhealthyInheritance27,3
UnhealthyInheritance28,3
UnhealthyInheritance29,3

