"FileName","ChangeChurn"
"src.org.jgroups.protocols.TP_java","2529"
"src.org.jgroups.protocols.relay.RELAY2_java","2132"
"src.org.jgroups.protocols.SEQUENCER_java","1830"
"src.org.jgroups.protocols.relay.Relayer_java","1332"
"src.org.jgroups.protocols.pbcast.NAKACK2_java","1255"
"src.org.jgroups.blocks.TCPConnectionMap_java","1222"
"src.org.jgroups.jmx.ResourceDMBeanOld_java","1108"
"src.org.jgroups.util.JUnitXMLReporter_java","1057"
"src.org.jgroups.protocols.UNICAST2_java","1002"
"tests.junit-functional.org.jgroups.tests.Relay2Test_java","992"
"tests.byteman.org.jgroups.tests.byteman.SequencerFailoverTest_java","901"
"src.org.jgroups.protocols.FORWARD_TO_COORD_java","890"
"src.org.jgroups.util.ForwardQueue_java","805"
"src.org.jgroups.protocols.FD_java","732"
"src.org.jgroups.protocols.SWIFT_PING_java","727"
"src.org.jgroups.jmx.ResourceDMBean_java","656"
"tests.junit-functional.org.jgroups.tests.MessageDispatcherRSVPTest_java","650"
"tests.junit-functional.org.jgroups.protocols.FORWARD_TO_COORD_Test_java","641"
"doc.ReleaseNotes-3_1_0_txt","634"
"tests.other.org.jgroups.tests.TestGroupMulticastOrder_java","620"
"tests.perf.org.jgroups.tests.perf.UUPerf_java","615"
"src.org.jgroups.stack.Protocol_java","613"
"src.org.jgroups.protocols.pmcast.GROUP_MULTICAST_java","579"
"src.org.jgroups.JChannel_java","572"
"tests.junit-functional.org.jgroups.tests.MessageBatchTest_java","556"
"src.org.jgroups.Message_java","521"
"src.org.jgroups.blocks.MessageDispatcher_java","513"
"src.org.jgroups.util.Util_java","507"
"tests.byteman.org.jgroups.tests.byteman.SequencerMergeTest_java","506"
"src.org.jgroups.util.MessageBatch_java","500"
"src.org.jgroups.protocols.RSVP_java","487"
"src.org.jgroups.protocols.relay.config.RelayConfig_java","469"
"src.org.jgroups.protocols.DISCARD_java","456"
"tests.junit-functional.org.jgroups.protocols.RATE_LIMITER_Test_java","449"
"tests.junit.org.jgroups.tests.OOBTest_java","438"
"src.org.jgroups.protocols.Executing_java","417"
"src.org.jgroups.protocols.rules.SUPERVISOR_java","414"
"tests.junit-functional.org.jgroups.tests.SeqnoTableTest_java","396"
"tests.junit-functional.org.jgroups.tests.MergerTest_java","394"
"tests.junit-functional.org.jgroups.protocols.NAKACK2_RetransmitTest_java","370"
"src.org.jgroups.protocols.RATE_LIMITER_java","362"
"src.org.jgroups.util.TimeScheduler3_java","357"
"tests.other.org.jgroups.tests.UnicastTestRpc_java","352"
"doc.manual.en.modules.advanced_xml","349"
"tests.junit.org.jgroups.tests.TUNNEL_Test2_java","346"
"tests.byteman.org.jgroups.tests.byteman.ForwardToCoordFailoverTest_java","334"
"src.org.jgroups.protocols.PDC_java","330"
"src.org.jgroups.protocols.FD_SIMPLE_java","328"
"tests.junit-functional.org.jgroups.protocols.UNICAST2_Test_java","324"
"tests.junit-functional.org.jgroups.tests.TimeSchedulerTest_java","320"
"tests.junit.org.jgroups.tests.EncryptMessageOrderTestCase_java","319"
"src.org.jgroups.protocols.pbcast.GMS_java","317"
"tests.junit-functional.org.jgroups.tests.TCPConnectionMapTest_java","308"
"src.org.jgroups.protocols.pmcast.manager.DeliverManagerImpl_java","306"
"tests.other.org.jgroups.tests.CheckGroupMulticastOrder_java","300"
"src.org.jgroups.protocols.pbcast.NAKACK_java","283"
"src.org.jgroups.protocols.SIZE_java","282"
"src.org.jgroups.protocols.VERIFY_SUSPECT_java","281"
"tests.junit.org.jgroups.tests.RejectionPoliciesTest_java","280"
"src.org.jgroups.protocols.FILE_PING_java","277"
"src.org.jgroups.protocols.MFC2_java","274"
"tests.junit-functional.org.jgroups.tests.RSVPTest_java","273"
"doc.ReleaseNotes-3_2_0_txt","272"
"conf.jg-magic-map_xml","270"
"tests.junit-functional.org.jgroups.protocols.SUPERVISOR_Test_java","266"
"tests.junit.org.jgroups.tests.OverlappingMergeTest_java","265"
"src.org.jgroups.util.Table_java","265"
"tests.junit-functional.org.jgroups.protocols.VERIFY_SUSPECT_Test_java","260"
"tests.junit.org.jgroups.tests.SequencerMergeTest_java","255"
"tests.junit-functional.org.jgroups.protocols.NAKACK_REBROADCAST_Test_java","250"
"src.org.jgroups.protocols.tom.TOA_java","248"
"conf.scripts.MessageBeforeConnectedTest.BecomeServerTest.testSendingOfMsgsOnUnconnectedChannel_btm","246"
"src.org.jgroups.protocols.COMPRESS_java","246"
"conf.scripts.BecomeServerTest.testSendingOfMsgsOnUnconnectedChannel_btm","242"
"tests.byteman.org.jgroups.tests.byteman.TCPConnectionMapTest_java","241"
"tests.junit.org.jgroups.tests.TCPGOSSIP_Test_java","237"
"conf.relay_xsd","233"
"src.org.jgroups.protocols.FD_SOCK_java","232"
"src.org.jgroups.util.SeqnoTable_java","232"
"tests.junit-functional.org.jgroups.blocks.GroupRequestTest_java","232"
"src.org.jgroups.protocols.pbcast.ClientGmsImpl_java","224"
"src.org.jgroups.protocols.pmcast.stats.StatsCollector_java","219"
"src.org.jgroups.protocols.Discovery_java","213"
"src.org.jgroups.protocols.relay.SiteUUID_java","211"
"src.org.jgroups.protocols.Locking_java","210"
"src.org.jgroups.blocks.executor.ExecutionRunner_java","206"
"src.org.jgroups.auth.DemoToken_java","206"
"tests.byteman.org.jgroups.tests.byteman.MessageBeforeConnectedTest_java","202"
"tests.junit-functional.org.jgroups.tests.AckCollectorTest_java","201"
"tests.junit.org.jgroups.tests.ChannelConcurrencyTest_java","201"
