"FileName","ChangeFreq"
"src.org.jgroups.protocols.TP_java","67"
"src.org.jgroups.protocols.relay.RELAY2_java","53"
"build_xml","45"
"pom_xml","40"
"src.org.jgroups.Version_java","39"
"src.org.jgroups.protocols.relay.Relayer_java","34"
"src.org.jgroups.protocols.SEQUENCER_java","34"
"src.org.jgroups.util.Util_java","32"
"src.org.jgroups.protocols.pbcast.NAKACK2_java","31"
"src.org.jgroups.protocols.UNICAST2_java","29"
"src.org.jgroups.blocks.TCPConnectionMap_java","23"
"src.org.jgroups.protocols.FORWARD_TO_COORD_java","22"
"src.org.jgroups.stack.Protocol_java","20"
"src.org.jgroups.protocols.pbcast.GMS_java","19"
"src.org.jgroups.JChannel_java","19"
"src.org.jgroups.protocols.pbcast.NAKACK_java","18"
"conf.jg-magic-map_xml","16"
"conf.jg-protocol-ids_xml","15"
"src.org.jgroups.blocks.MessageDispatcher_java","14"
"src.org.jgroups.protocols.TCP_java","13"
"src.org.jgroups.protocols.Discovery_java","13"
"doc.manual.en.modules.protocols_xml","12"
"src.org.jgroups.protocols.FD_SOCK_java","12"
"tests.junit-functional.org.jgroups.protocols.UNICAST2_Test_java","12"
"src.org.jgroups.protocols.RATE_LIMITER_java","12"
"tests.junit.org.jgroups.tests.SequencerMergeTest_java","12"
"src.org.jgroups.blocks.RequestCorrelator_java","12"
"src.org.jgroups.protocols.FD_ALL_java","11"
"src.org.jgroups.protocols.pbcast.ClientGmsImpl_java","11"
"src.org.jgroups.Message_java","11"
"conf.jg-messages_de_properties","11"
"tests.junit-functional.org.jgroups.protocols.FORWARD_TO_COORD_Test_java","11"
"src.org.jgroups.protocols.BasicTCP_java","11"
"tests.junit-functional.org.jgroups.tests.Relay2Test_java","11"
"src.org.jgroups.protocols.pbcast.CoordGmsImpl_java","10"
"conf.relay1_xml","10"
"tests.junit.org.jgroups.tests.SequencerOrderTest_java","10"
"src.org.jgroups.util.ForwardQueue_java","10"
"conf.jg-messages_properties","10"
"conf.scripts.SequencerFailoverTest.testResendingVersusNewMessages_btm","10"
"conf.relay2_xml","10"
"tests.junit-functional.org.jgroups.tests.RSVPTest_java","9"
"src.org.jgroups.protocols.FD_java","9"
"src.org.jgroups.blocks.BasicConnectionTable_java","9"
"src.org.jgroups.protocols.RSVP_java","9"
"src.org.jgroups.protocols.UDP_java","9"
"tests.byteman.org.jgroups.tests.byteman.SequencerFailoverTest_java","9"
"src.org.jgroups.protocols.relay.config.RelayConfig_java","9"
"src.org.jgroups.protocols.pbcast.ParticipantGmsImpl_java","9"
"src.org.jgroups.stack.GossipRouter_java","8"
"tests.junit-functional.org.jgroups.tests.MergerTest_java","8"
"tests.byteman.org.jgroups.tests.byteman.SequencerMergeTest_java","8"
"src.org.jgroups.util.TimeScheduler2_java","8"
"src.org.jgroups.util.JUnitXMLReporter_java","8"
"src.org.jgroups.util.MessageBatch_java","8"
"conf.scripts.BecomeServerTest.testSendingOfMsgsOnUnconnectedChannel_btm","8"
"tests.junit-functional.org.jgroups.tests.SizeTest_java","8"
"src.org.jgroups.blocks.GroupRequest_java","8"
"tests.junit-functional.org.jgroups.tests.MessageDispatcherRSVPTest_java","8"
"src.org.jgroups.protocols.relay.SiteUUID_java","8"
"src.org.jgroups.Event_java","8"
"tests.junit.org.jgroups.tests.OOBTest_java","7"
"lib.licenses.thirdparty-licenses_xml","7"
"src.org.jgroups.stack.Configurator_java","7"
"conf.udp_xml","7"
"tests.junit-functional.org.jgroups.tests.MessageBatchTest_java","7"
"tests.other.org.jgroups.tests.UnicastTestRpc_java","7"
"src.org.jgroups.blocks.UnicastRequest_java","7"
"conf.testng.byteman_xml","7"
"conf.udp-largecluster_xml","7"
"tests.junit-functional.org.jgroups.protocols.RATE_LIMITER_Test_java","7"
"src.org.jgroups.protocols.UNICAST_java","6"
"src.org.jgroups.protocols.tom.TOA_java","6"
"conf.tcp_xml","6"
"tests.other.org.jgroups.tests.Probe_java","6"
"src.org.jgroups.blocks.RpcDispatcher_java","6"
"src.org.jgroups.protocols.SCOPE_java","6"
"src.org.jgroups.stack.DiagnosticsHandler_java","6"
"conf.toa_xml","6"
"src.org.jgroups.demos.RelayDemoRpc_java","6"
"src.org.jgroups.protocols.DAISYCHAIN_java","6"
"tests.junit-functional.org.jgroups.tests.ConnectionMapUnitTest_java","6"
"src.org.jgroups.protocols.pbcast.STABLE_java","6"
"src.org.jgroups.util.SeqnoTable_java","6"
"src.org.jgroups.protocols.relay.SiteMaster_java","6"
"tests.junit-functional.org.jgroups.tests.SeqnoTableTest_java","5"
"tests.junit.org.jgroups.tests.OverlappingMergeTest_java","5"
"doc.design.RELAY2_txt","5"
"src.org.jgroups.protocols.pbcast.FLUSH_java","5"
"tests.junit-functional.org.jgroups.blocks.ConnectionMapTest_java","5"
"src.org.jgroups.util.SeqnoList_java","5"
"doc.manual.en.modules.advanced_xml","5"
"src.org.jgroups.protocols.DISCARD_java","5"
"src.org.jgroups.stack.ProtocolStack_java","5"
"src.org.jgroups.protocols.FILE_PING_java","5"
"conf.fast-local_xml","5"
"src.org.jgroups.protocols.pbcast.NakAckHeader_java","5"
"tests.junit-functional.org.jgroups.tests.SeqnoListTest_java","5"
"tests.junit-functional.org.jgroups.tests.UNICAST_Test_java","5"
"tests.junit-functional.org.jgroups.blocks.GroupRequestTest_java","4"
"tests.byteman.org.jgroups.tests.byteman.SequencerFailoverTestHelper_java","4"
"src.org.jgroups.protocols.BPING_java","4"
"src.org.jgroups.blocks.Request_java","4"
"src.org.jgroups.protocols.VERIFY_SUSPECT_java","4"
"tests.junit.org.jgroups.tests.ChannelTestBase_java","4"
