IssueType,Issue Size,#Changes,Tot Loc changed
Crossing1,46.0,413.0,13064.0
Crossing2,22.0,211.0,5601.0
Crossing3,20.0,165.0,6307.0
Crossing4,16.0,102.0,2218.0
Crossing5,16.0,106.0,2280.0
Crossing6,15.0,104.0,3739.0
Crossing7,15.0,117.0,5139.0
Crossing8,14.0,94.0,1352.0
Crossing9,14.0,96.0,2650.0
Crossing10,13.0,126.0,3948.0
Crossing11,12.0,87.0,1113.0
Crossing12,12.0,147.0,6679.0
Crossing13,11.0,118.0,4506.0
Crossing14,11.0,110.0,5331.0
Crossing15,11.0,105.0,4858.0
Crossing16,9.0,71.0,1057.0
Crossing17,7.0,64.0,988.0

Crossing-All,160.0,1167.0,29459.0
