IssueType,Issue Size,#Changes,Tot Loc changed
ModularityViolation1,175.0,1163.0,23177.0
ModularityViolation2,173.0,1166.0,22179.0
ModularityViolation3,156.0,1042.0,21067.0
ModularityViolation4,155.0,1048.0,24466.0
ModularityViolation5,134.0,952.0,22393.0
ModularityViolation6,132.0,946.0,22736.0
ModularityViolation7,129.0,930.0,21262.0
ModularityViolation8,127.0,897.0,19974.0
ModularityViolation9,123.0,882.0,19897.0
ModularityViolation10,122.0,861.0,18768.0
ModularityViolation11,122.0,879.0,19782.0
ModularityViolation12,114.0,816.0,18719.0
ModularityViolation13,111.0,819.0,19801.0
ModularityViolation14,105.0,788.0,19623.0
ModularityViolation15,104.0,771.0,18418.0
ModularityViolation16,99.0,443.0,4884.0
ModularityViolation17,95.0,670.0,15615.0
ModularityViolation18,74.0,380.0,6117.0
ModularityViolation19,67.0,363.0,6207.0
ModularityViolation20,62.0,330.0,3099.0
ModularityViolation21,57.0,385.0,6848.0
ModularityViolation22,54.0,242.0,2421.0
ModularityViolation23,35.0,266.0,5583.0
ModularityViolation24,33.0,193.0,3627.0
ModularityViolation25,28.0,186.0,3539.0
ModularityViolation26,25.0,91.0,496.0
ModularityViolation27,19.0,165.0,4777.0
ModularityViolation28,18.0,151.0,2962.0
ModularityViolation29,17.0,65.0,255.0
ModularityViolation30,16.0,138.0,4107.0
ModularityViolation31,15.0,110.0,3974.0
ModularityViolation32,15.0,114.0,2257.0
ModularityViolation33,14.0,122.0,3588.0
ModularityViolation34,13.0,63.0,1115.0
ModularityViolation35,12.0,92.0,2614.0
ModularityViolation36,10.0,42.0,427.0
ModularityViolation37,9.0,48.0,311.0
ModularityViolation38,8.0,65.0,2559.0
ModularityViolation39,8.0,49.0,2083.0
ModularityViolation40,7.0,49.0,666.0
ModularityViolation41,6.0,52.0,3903.0
ModularityViolation42,6.0,35.0,1282.0
ModularityViolation43,6.0,38.0,886.0
ModularityViolation44,5.0,42.0,1288.0
ModularityViolation45,4.0,16.0,68.0
ModularityViolation46,3.0,15.0,81.0
ModularityViolation47,3.0,13.0,112.0
ModularityViolation48,3.0,15.0,530.0
ModularityViolation49,3.0,18.0,108.0
ModularityViolation50,3.0,13.0,213.0
ModularityViolation51,2.0,15.0,942.0
ModularityViolation52,2.0,8.0,75.0
ModularityViolation53,2.0,6.0,124.0
ModularityViolation54,2.0,10.0,105.0
ModularityViolation55,2.0,6.0,33.0
ModularityViolation56,2.0,6.0,16.0
ModularityViolation57,2.0,12.0,448.0
ModularityViolation58,2.0,12.0,71.0

ModularityViolation-All,494.0,2659.0,56053.0
