IssueType,Issue Size,#Changes,Tot Loc changed
PackageCycle1,67.0,368.0,10613.0
PackageCycle2,62.0,280.0,8934.0
PackageCycle3,53.0,197.0,2018.0
PackageCycle4,52.0,218.0,2660.0
PackageCycle5,49.0,223.0,6398.0
PackageCycle6,34.0,105.0,609.0
PackageCycle7,32.0,234.0,6412.0
PackageCycle8,31.0,196.0,5219.0
PackageCycle9,29.0,194.0,4476.0
PackageCycle10,24.0,99.0,4323.0
PackageCycle11,22.0,75.0,778.0
PackageCycle12,22.0,112.0,3872.0
PackageCycle13,20.0,92.0,2231.0
PackageCycle14,20.0,96.0,3703.0
PackageCycle15,19.0,73.0,1389.0
PackageCycle16,18.0,100.0,1611.0
PackageCycle17,18.0,51.0,871.0
PackageCycle18,17.0,150.0,5235.0
PackageCycle19,14.0,88.0,2644.0
PackageCycle20,13.0,69.0,1477.0
PackageCycle21,12.0,78.0,1631.0
PackageCycle22,12.0,65.0,567.0
PackageCycle23,12.0,55.0,919.0
PackageCycle24,12.0,89.0,3238.0
PackageCycle25,12.0,91.0,2797.0
PackageCycle26,10.0,55.0,532.0
PackageCycle27,10.0,56.0,945.0
PackageCycle28,10.0,60.0,579.0
PackageCycle29,9.0,53.0,495.0
PackageCycle30,9.0,76.0,3463.0
PackageCycle31,7.0,31.0,387.0
PackageCycle32,7.0,31.0,304.0
PackageCycle33,5.0,24.0,352.0
PackageCycle34,4.0,15.0,249.0
PackageCycle35,4.0,15.0,306.0
PackageCycle36,4.0,39.0,456.0
PackageCycle37,2.0,18.0,1153.0
PackageCycle38,2.0,20.0,1218.0

PackageCycle-All,385.0,1745.0,41031.0
