IssueType,Issue Size,#Changes,Tot Loc changed
UnhealthyInheritance1,102.0,765.0,19015.0
UnhealthyInheritance2,33.0,137.0,2412.0
UnhealthyInheritance3,29.0,116.0,1903.0
UnhealthyInheritance4,28.0,155.0,5228.0
UnhealthyInheritance5,22.0,82.0,1165.0
UnhealthyInheritance6,21.0,125.0,3463.0
UnhealthyInheritance7,20.0,120.0,3127.0
UnhealthyInheritance8,19.0,71.0,1215.0
UnhealthyInheritance9,19.0,92.0,1809.0
UnhealthyInheritance10,16.0,71.0,932.0
UnhealthyInheritance11,13.0,84.0,2394.0
UnhealthyInheritance12,13.0,69.0,1258.0
UnhealthyInheritance13,11.0,28.0,101.0
UnhealthyInheritance14,11.0,37.0,226.0
UnhealthyInheritance15,10.0,66.0,891.0
UnhealthyInheritance16,9.0,54.0,1960.0
UnhealthyInheritance17,9.0,66.0,1089.0
UnhealthyInheritance18,9.0,33.0,167.0
UnhealthyInheritance19,9.0,29.0,142.0
UnhealthyInheritance20,9.0,37.0,767.0
UnhealthyInheritance21,9.0,31.0,332.0
UnhealthyInheritance22,9.0,73.0,1097.0
UnhealthyInheritance23,8.0,27.0,1048.0
UnhealthyInheritance24,8.0,53.0,869.0
UnhealthyInheritance25,7.0,70.0,868.0
UnhealthyInheritance26,7.0,70.0,1603.0
UnhealthyInheritance27,7.0,32.0,431.0
UnhealthyInheritance28,7.0,38.0,432.0
UnhealthyInheritance29,7.0,62.0,863.0
UnhealthyInheritance30,7.0,39.0,1814.0
UnhealthyInheritance31,6.0,28.0,177.0
UnhealthyInheritance32,6.0,28.0,125.0
UnhealthyInheritance33,6.0,30.0,599.0
UnhealthyInheritance34,6.0,16.0,45.0
UnhealthyInheritance35,6.0,45.0,313.0
UnhealthyInheritance36,6.0,15.0,39.0
UnhealthyInheritance37,6.0,46.0,2446.0
UnhealthyInheritance38,6.0,36.0,1081.0
UnhealthyInheritance39,6.0,27.0,95.0
UnhealthyInheritance40,6.0,39.0,593.0
UnhealthyInheritance41,5.0,36.0,1170.0
UnhealthyInheritance42,5.0,38.0,2555.0
UnhealthyInheritance43,5.0,17.0,120.0
UnhealthyInheritance44,5.0,56.0,2181.0
UnhealthyInheritance45,5.0,41.0,599.0
UnhealthyInheritance46,4.0,10.0,26.0
UnhealthyInheritance47,4.0,31.0,1464.0
UnhealthyInheritance48,4.0,32.0,893.0
UnhealthyInheritance49,4.0,13.0,380.0
UnhealthyInheritance50,4.0,33.0,298.0
UnhealthyInheritance51,4.0,11.0,113.0
UnhealthyInheritance52,4.0,26.0,214.0
UnhealthyInheritance53,4.0,10.0,26.0
UnhealthyInheritance54,4.0,27.0,1187.0
UnhealthyInheritance55,4.0,13.0,210.0
UnhealthyInheritance56,4.0,21.0,203.0
UnhealthyInheritance57,3.0,5.0,75.0
UnhealthyInheritance58,3.0,17.0,597.0
UnhealthyInheritance59,3.0,18.0,637.0
UnhealthyInheritance60,3.0,15.0,173.0
UnhealthyInheritance61,3.0,16.0,300.0
UnhealthyInheritance62,3.0,10.0,312.0
UnhealthyInheritance63,3.0,16.0,215.0
UnhealthyInheritance64,3.0,19.0,277.0
UnhealthyInheritance65,3.0,5.0,79.0
UnhealthyInheritance66,3.0,31.0,3882.0
UnhealthyInheritance67,3.0,16.0,1247.0
UnhealthyInheritance68,3.0,14.0,212.0
UnhealthyInheritance69,3.0,7.0,21.0
UnhealthyInheritance70,3.0,11.0,28.0
UnhealthyInheritance71,3.0,11.0,72.0
UnhealthyInheritance72,3.0,9.0,30.0
UnhealthyInheritance73,3.0,13.0,531.0
UnhealthyInheritance74,3.0,11.0,82.0
UnhealthyInheritance75,3.0,12.0,301.0
UnhealthyInheritance76,3.0,10.0,30.0
UnhealthyInheritance77,3.0,12.0,50.0
UnhealthyInheritance78,3.0,12.0,379.0
UnhealthyInheritance79,3.0,14.0,188.0
UnhealthyInheritance80,3.0,27.0,1440.0
UnhealthyInheritance81,2.0,6.0,16.0

UnhealthyInheritance-All,391.0,2010.0,43517.0
