Index,Size,Fan-in,Fan-out,CrossingCenter
Crossing1,46,39,9,src.main.java.org.orekit.utils.IERSConventions_java,
Crossing2,22,20,4,src.main.java.org.orekit.data.DataProvidersManager_java,
Crossing3,20,14,6,src.main.java.org.orekit.frames.EOPHistory_java,
Crossing4,16,11,4,src.main.java.org.orekit.frames.FieldTransform_java,
Crossing5,16,10,5,src.main.java.org.orekit.attitudes.InertialProvider_java,
Crossing6,15,5,9,src.main.java.org.orekit.estimation.measurements.GroundStation_java,
Crossing7,15,9,8,src.main.java.org.orekit.data.DataContext_java,
Crossing8,14,6,7,src.main.java.org.orekit.propagation.numerical.NumericalPropagator_java,
Crossing9,14,9,4,src.main.java.org.orekit.propagation.FieldSpacecraftState_java,
Crossing10,13,6,6,src.main.java.org.orekit.time.GNSSDate_java,
Crossing11,12,5,6,src.main.java.org.orekit.propagation.semianalytical.dsst.forces.DSSTNewtonianAttraction_java,
Crossing12,12,4,7,src.main.java.org.orekit.frames.LazyLoadedEop_java,
Crossing13,11,6,6,src.main.java.org.orekit.time.LazyLoadedTimeScales_java,
Crossing14,11,4,7,src.main.java.org.orekit.data.LazyLoadedDataContext_java,
Crossing15,11,6,5,src.main.java.org.orekit.time.UTCScale_java,
Crossing16,9,4,6,src.main.java.org.orekit.propagation.analytical.tle.TLEPropagator_java,
Crossing17,7,6,4,src.main.java.org.orekit.frames.EOPHistoryLoader_java,

