Index,Size
ModularityViolation1,175
ModularityViolation2,173
ModularityViolation3,156
ModularityViolation4,155
ModularityViolation5,134
ModularityViolation6,132
ModularityViolation7,129
ModularityViolation8,127
ModularityViolation9,123
ModularityViolation10,122
ModularityViolation11,122
ModularityViolation12,114
ModularityViolation13,111
ModularityViolation14,105
ModularityViolation15,104
ModularityViolation16,99
ModularityViolation17,95
ModularityViolation18,74
ModularityViolation19,67
ModularityViolation20,62
ModularityViolation21,57
ModularityViolation22,54
ModularityViolation23,35
ModularityViolation24,33
ModularityViolation25,28
ModularityViolation26,25
ModularityViolation27,19
ModularityViolation28,18
ModularityViolation29,17
ModularityViolation30,16
ModularityViolation31,15
ModularityViolation32,15
ModularityViolation33,14
ModularityViolation34,13
ModularityViolation35,12
ModularityViolation36,10
ModularityViolation37,9
ModularityViolation38,8
ModularityViolation39,8
ModularityViolation40,7
ModularityViolation41,6
ModularityViolation42,6
ModularityViolation43,6
ModularityViolation44,5
ModularityViolation45,4
ModularityViolation46,3
ModularityViolation47,3
ModularityViolation48,3
ModularityViolation49,3
ModularityViolation50,3
ModularityViolation51,2
ModularityViolation52,2
ModularityViolation53,2
ModularityViolation54,2
ModularityViolation55,2
ModularityViolation56,2
ModularityViolation57,2
ModularityViolation58,2

