Index,Size
PackageCycle1,67
PackageCycle2,62
PackageCycle3,53
PackageCycle4,52
PackageCycle5,49
PackageCycle6,34
PackageCycle7,32
PackageCycle8,31
PackageCycle9,29
PackageCycle10,24
PackageCycle11,22
PackageCycle12,22
PackageCycle13,20
PackageCycle14,20
PackageCycle15,19
PackageCycle16,18
PackageCycle17,18
PackageCycle18,17
PackageCycle19,14
PackageCycle20,13
PackageCycle21,12
PackageCycle22,12
PackageCycle23,12
PackageCycle24,12
PackageCycle25,12
PackageCycle26,10
PackageCycle27,10
PackageCycle28,10
PackageCycle29,9
PackageCycle30,9
PackageCycle31,7
PackageCycle32,7
PackageCycle33,5
PackageCycle34,4
PackageCycle35,4
PackageCycle36,4
PackageCycle37,2
PackageCycle38,2

