Index,Size
UnhealthyInheritance1,102
UnhealthyInheritance2,33
UnhealthyInheritance3,29
UnhealthyInheritance4,28
UnhealthyInheritance5,22
UnhealthyInheritance6,21
UnhealthyInheritance7,20
UnhealthyInheritance8,19
UnhealthyInheritance9,19
UnhealthyInheritance10,16
UnhealthyInheritance11,13
UnhealthyInheritance12,13
UnhealthyInheritance13,11
UnhealthyInheritance14,11
UnhealthyInheritance15,10
UnhealthyInheritance16,9
UnhealthyInheritance17,9
UnhealthyInheritance18,9
UnhealthyInheritance19,9
UnhealthyInheritance20,9
UnhealthyInheritance21,9
UnhealthyInheritance22,9
UnhealthyInheritance23,8
UnhealthyInheritance24,8
UnhealthyInheritance25,7
UnhealthyInheritance26,7
UnhealthyInheritance27,7
UnhealthyInheritance28,7
UnhealthyInheritance29,7
UnhealthyInheritance30,7
UnhealthyInheritance31,6
UnhealthyInheritance32,6
UnhealthyInheritance33,6
UnhealthyInheritance34,6
UnhealthyInheritance35,6
UnhealthyInheritance36,6
UnhealthyInheritance37,6
UnhealthyInheritance38,6
UnhealthyInheritance39,6
UnhealthyInheritance40,6
UnhealthyInheritance41,5
UnhealthyInheritance42,5
UnhealthyInheritance43,5
UnhealthyInheritance44,5
UnhealthyInheritance45,5
UnhealthyInheritance46,4
UnhealthyInheritance47,4
UnhealthyInheritance48,4
UnhealthyInheritance49,4
UnhealthyInheritance50,4
UnhealthyInheritance51,4
UnhealthyInheritance52,4
UnhealthyInheritance53,4
UnhealthyInheritance54,4
UnhealthyInheritance55,4
UnhealthyInheritance56,4
UnhealthyInheritance57,3
UnhealthyInheritance58,3
UnhealthyInheritance59,3
UnhealthyInheritance60,3
UnhealthyInheritance61,3
UnhealthyInheritance62,3
UnhealthyInheritance63,3
UnhealthyInheritance64,3
UnhealthyInheritance65,3
UnhealthyInheritance66,3
UnhealthyInheritance67,3
UnhealthyInheritance68,3
UnhealthyInheritance69,3
UnhealthyInheritance70,3
UnhealthyInheritance71,3
UnhealthyInheritance72,3
UnhealthyInheritance73,3
UnhealthyInheritance74,3
UnhealthyInheritance75,3
UnhealthyInheritance76,3
UnhealthyInheritance77,3
UnhealthyInheritance78,3
UnhealthyInheritance79,3
UnhealthyInheritance80,3
UnhealthyInheritance81,2

