"FileName","ChangeChurn"
"src.test.resources.regular-data.Earth-orientation-parameters.yearly.finals2000A_2002_xml","25557"
"src.test.resources.ionex.corrupted-bad-data-gpsg0150_19i","21463"
"src.tutorials.resources.dsst-od.sbch0440_16o","20836"
"src.tutorials.resources.dsst-od.brig0440_16o","18878"
"src.test.resources.earth.finals2000A_all","17324"
"src.tutorials.resources.dsst-od.azbh0440_16o","16114"
"src.tutorials.resources.dsst-od.shld0440_16o","14988"
"src.tutorials.resources.dsst-od.seat0440_16o","12722"
"src.test.resources.ionex.gpsg0150_19i","10744"
"src.test.resources.orbit-determination.GNSS.sbch0440_16o","10418"
"src.test.resources.orbit-determination.GNSS.brig0440_16o","9439"
"src.test.resources.orbit-determination.GNSS.azbh0440_16o","8057"
"src.test.resources.orbit-determination.GNSS.shld0440_16o","7494"
"src.changes.changes_xml","6878"
"src.test.resources.orbit-determination.GNSS.seat0440_16o","6361"
"src.tutorials.java.fr.cs.examples.estimation.DSSTOrbitDetermination_java","5200"
"src.test.java.org.orekit.estimation.sequential.KalmanOrbitDeterminationTest_java","3094"
"src.site.xdoc.changes_xml","2998"
"src.tutorials.java.fr.cs.examples.estimation.OrbitDetermination_java","2694"
"src.test.java.org.orekit.estimation.leastsquares.OrbitDeterminationTest_java","2666"
"src.test.java.org.orekit.estimation.leastsquares.DSSTOrbitDeterminationTest_java","2511"
"src.main.java.org.orekit.gnss.HatanakaCompressFilter_java","2358"
"src.main.java.org.orekit.frames.LazyLoadedFrames_java","2085"
"pom_xml","2063"
"src.main.java.org.orekit.models.earth.ionosphere.NeQuickModel_java","1636"
"src.main.java.org.orekit.utils.CR3BPMultipleShooting_java","1618"
"src.test.java.org.orekit.forces.drag.TimeSpanDragForceTest_java","1595"
"src.main.java.org.orekit.utils.IERSConventions_java","1540"
"src.tutorials.resources.dsst-od.dsst-orbit-determination_in","1482"
"src.test.java.org.orekit.estimation.leastsquares.common.AbstractOrbitDetermination_java","1461"
"src.main.java.org.orekit.files.ccsds.OCMFile_java","1374"
"src.main.java.org.orekit.bodies.CR3BPSystem_java","1270"
"src.test.java.org.orekit.estimation.measurements.gnss.MeasurementCombinationFactoryTest_java","1150"
"src.main.java.org.orekit.orbits.HaloOrbit_java","1141"
"src.main.java.org.orekit.files.ccsds.OCMParser_java","1122"
"src.test.java.org.orekit.geometry.fov.EllipticalFieldOfViewTest_java","1085"
"src.main.java.org.orekit.geometry.fov.EllipticalFieldOfView_java","1069"
"src.main.java.org.orekit.models.earth.ionosphere.GlobalIonosphereMapModel_java","1008"
"src.main.java.org.orekit.orbits.RichardsonExpansionContext_java","968"
"src.main.java.org.orekit.frames.FramesFactory_java","945"
"src.main.java.org.orekit.propagation.numerical.GLONASSNumericalPropagator_java","931"
"src.main.java.org.orekit.models.earth.ionosphere.FieldNeQuickParameters_java","908"
"src.main.java.org.orekit.utils.AbstractMultipleShooting_java","892"
"src.tutorials.java.fr.cs.examples.propagation.DSSTPropagation_java","881"
"src.main.java.org.orekit.frames.AbstractFrames_java","852"
"src.test.resources.antex.igs14-unknown-nb-frequencies_atx","848"
"src.test.java.org.orekit.estimation.common.AbstractOrbitDetermination_java","846"
"src.test.resources.rapid-data-xml.finals_daily_xml","835"
"src.main.java.org.orekit.models.earth.ionosphere.NeQuickParameters_java","828"
"src.test.java.org.orekit.estimation.sequential.UnivariateprocessNoiseTest_java","784"
"src.main.java.org.orekit.estimation.measurements.gnss.AbstractLambdaMethod_java","765"
"src.main.java.org.orekit.propagation.analytical.gnss.GLONASSPropagator_java","746"
"src.test.resources.orbit-determination.GNSS.dsst_od_test_GPS07_in","742"
"src.test.java.org.orekit.gnss.HatanakaCompressFilterTest_java","732"
"src.main.java.org.orekit.frames.LazyLoadedEop_java","731"
"src.test.resources.nequick.ccir11_asc","715"
"src.test.resources.nequick.ccir13_asc","715"
"src.test.resources.nequick.ccir20_asc","715"
"src.test.resources.nequick.ccir22_asc","715"
"src.test.resources.nequick.ccir19_asc","715"
"src.test.resources.nequick.ccir15_asc","715"
"src.test.resources.nequick.ccir17_asc","715"
"src.test.resources.nequick.ccir12_asc","715"
"src.test.resources.nequick.ccir21_asc","715"
"src.test.resources.nequick.ccir14_asc","715"
"src.test.resources.nequick.ccir16_asc","715"
"src.test.resources.nequick.ccir18_asc","715"
"src.main.java.org.orekit.time.LazyLoadedTimeScales_java","714"
"spotbugs-exclude-filter_xml","697"
"src.tutorials.java.fr.cs.examples.bodies.Phasing_java","688"
"src.test.resources.orbit-determination.GNSS.od_test_GPS07_in","685"
"src.main.java.org.orekit.gnss.ObservationType_java","682"
"src.main.java.org.orekit.utils.MultipleShooting_java","663"
"src.test.java.org.orekit.estimation.measurements.gnss.AbstractLambdaReducerTest_java","630"
"src.test.resources.rinex.bogi1210_09o","622"
"src.main.java.org.orekit.gnss.RinexLoader_java","620"
"src.main.java.org.orekit.time.AbsoluteDate_java","617"
"src.main.java.org.orekit.time.FieldAbsoluteDate_java","610"
"src.main.java.org.orekit.bodies.PredefinedIAUPoles_java","586"
"src.test.java.org.orekit.estimation.sequential.KalmanNumericalOrbitDeterminationTest_java","586"
"src.test.java.org.orekit.forces.gravity.HolmesFeatherstoneAttractionModelTest_java","573"
"src.tutorials.java.fr.cs.examples.bodies.DEFile_java","545"
"src.tutorials.resources.W3B_aer","543"
"src.test.java.org.orekit.gnss.RinexLoaderTest_java","537"
"src.main.java.org.orekit.propagation.FieldSpacecraftState_java","526"
"src.main.java.org.orekit.forces.maneuvers.ConstantThrustManeuver_java","510"
"src.main.java.org.orekit.files.ccsds.Keyword_java","504"
"src.main.java.org.orekit.orbits.LyapunovOrbit_java","501"
"src.test.java.org.orekit.forces.gravity.SingleBodyRelativeAttractionTest_java","491"
"src.test.java.org.orekit.forces.gravity.SingleBodyAbsoluteAttractionTest_java","490"
"src.test.java.org.orekit.propagation.FieldSpacecraftStateTest_java","489"
"src.test.java.org.orekit.propagation.numerical.GLONASSNumericalPropagatorTest_java","485"
"src.main.java.org.orekit.orbits.CR3BPDifferentialCorrection_java","482"
"src.site.markdown.tutorial.propagation_md","480"
"src.test.java.org.orekit.propagation.events.MagneticFieldDetectorTest_java","477"
"src.test.java.org.orekit.utils.FieldAbsolutePVCoordinatesTest_java","475"
"src.tutorials.java.fr.cs.examples.propagation.PropagationInNonInertialFrame_java","474"
"src.test.java.org.orekit.estimation.leastsquares.NumericalOrbitDeterminationTest_java","468"
"src.tutorials.java.fr.cs.examples.KeyValueFileParser_java","460"
"src.test.java.org.orekit.propagation.events.FieldOfViewDetectorTest_java","453"
"src.main.java.org.orekit.estimation.measurements.gnss.IonosphereFreeCombination_java","451"
"src.test.resources.rapid-data-xml.finals2000A_daily_xml","445"
"src.test.java.org.orekit.files.ccsds.OCMParserTest_java","443"
"src.main.java.org.orekit.bodies.LazyLoadedCelestialBodies_java","442"
"src.test.java.org.orekit.utils.AbsolutePVCoordinatesTest_java","442"
"src.test.java.org.orekit.forces.CR3BPForceModelTest_java","441"
"src.main.java.org.orekit.propagation.analytical.tle.TLESeries_java","438"
"src.site.markdown.tutorial.propagation-in-non-inertial-frame_md","434"
"src.tutorials.resources.orbit-determination_in","434"
"src.main.java.org.orekit.orbits.RichardsonExpansion_java","432"
"src.main.java.org.orekit.propagation.events.FieldOfView_java","426"
"src.main.java.org.orekit.estimation.measurements.gnss.WideLaneCombination_java","415"
"src.tutorials.java.fr.cs.examples.propagation.PropagationInNonInertialFrame_md","414"
"src.test.resources.ccsds.XML.TDMExampleAllKeywords_xml","414"
"release-guide_md","413"
"src.main.java.org.orekit.propagation.numerical.EpochDerivativesEquations_java","413"
"src.main.java.org.orekit.estimation.measurements.gnss.NarrowLaneCombination_java","410"
"src.main.java.org.orekit.utils.FieldAbsolutePVCoordinates_java","409"
"src.main.java.org.orekit.propagation.numerical.AbsolutePartialDerivativesEquations_java","401"
"src.main.java.org.orekit.propagation.events.MagneticFieldDetector_java","400"
"src.main.java.org.orekit.time.TimeScales_java","400"
"src.main.java.org.orekit.geometry.fov.PolygonalFieldOfView_java","399"
"src.test.java.org.orekit.geometry.fov.CircularFieldOfViewTest_java","396"
"src.main.java.org.orekit.estimation.measurements.gnss.GeometryFreeCombination_java","394"
"src.test.java.org.orekit.bodies.CR3BPSystemTest_java","389"
"src.main.java.org.orekit.estimation.measurements.gnss.AbstractLambdaReducer_java","381"
"src.design.data-context-class-diagram_puml","374"
"src.main.java.org.orekit.utils.CR3BPDifferentialCorrection_java","374"
"src.site.markdown.tutorial.integration-in-other-languages_md","372"
"src.main.java.org.orekit.propagation.analytical.gnss.GPSPropagator_java","366"
"src.main.java.org.orekit.propagation.analytical.EcksteinHechlerPropagator_java","366"
"src.tutorials.java.fr.cs.examples.propagation.TrackCorridor_java","365"
"src.main.java.org.orekit.propagation.analytical.gnss.AbstractGNSSPropagator_java","361"
"build_xml","359"
"src.main.java.org.orekit.models.earth.SaastamoinenModel_java","359"
"src.main.java.org.orekit.forces.drag.TimeSpanDragForce_java","356"
"src.main.java.org.orekit.forces.gravity.potential.LazyLoadedGravityFields_java","354"
"src.test.java.org.orekit.propagation.analytical.gnss.GalileoPropagatorTest_java","353"
